,0,aspect,prediction
0,"repost from january 13 , 2004 with a better fit-title . ",,fit-title!better
1,does your apex-dvd-player only play dvd-audio without video ? ,,
2,or does it play audio and video but scrolling in black and white ? ,,
3,"before you try to return the player or waste hours calling apex-tech-support , or run the player over with your car , try these simple troubleshooting ideas first . ",,
4,no picture : ,,
5,hopefully you still have the remote control . ,,|control!remote
6,"if you tossed it out the window , you need to fetch it . ",,
7,"using the remote control , press the i/p button located on the bottom right corner of the remote . ",,corner!right|control!remote|press!located|button!i/p
8,the i/p button switches the tv-display between interlace and progressive . ,,|button!i/p|tv-display!button
9,"if this doesnt bring back the picture , try pressing this button without playing a dvd . ",,
10,"if you dont get video back , now you can run the player over with your car ! ",,
11,picture-scrolling in b/w : ,,
12,you need the remote control for this so you better get it from your dog before he burries it in the backyard . ,,
13,press the p/n-button located on the bottom right corner of the remote . ,,p/n-button!located|press!located|corner!bottom|corner!p/n-button
14,the p/n-button switches your dvd players video output-signal between pal and ntsc . ,,|output-signal!video|pal!video|ntsc!pal
15,"by pressing p/n , you should be able to get a good picture on the screen . ",,picture!good|screen!good
16,for other problems go to http://www.apexdigitalinc.com/support.asp ,,
17,i hope i have helped you continue to enjoy the apex-dvd-player with these troubleshooting tips . ,,apex-dvd-player!enjoy|hope!helped
18,i have done some research and experimenting with the remote when my apex ad-2500 seemed to have lost its video-signal . ,,
19,im a more happier person after discovering the i/p button ! ,i/p button!+,person!happier|im!happier|button!i/p
20,the button was probably accidentally pushed to cause the black screen in the first place . ,,|screen!black|place!first|place!screen
21,"but , if you 're looking for my opinion of the apex-dvd-player , i love it ! ",dvd player!+,
22,it practically plays almost everything you give it . ,dvd player!+,
23,i 've had the player for about 2 years now and it still performs nicely with the exception of an occasional wwhhhrrr-sound from the motor . ,player!+,
24,for the price it is a well spent investment ! ,price!+,
25,i would recommend buying one . ,,
26,i 've owned 6 or 7 dvd players since 1998 . ,,
27,"this is by far the nicest one , in so many ways . ",dvd player!+,
28,"it 's very sleek looking with a very good front-panel-button layout , and it has a great feature-set . ",look!+,layout!good|front-panel-button!good|feature-set!great
29,its fast-forward and rewind work much more smoothly and consistently than those of other models i 've had . ,forward!+|rewind!+,
30,"it plays alternate video formats ( vcds , svcds , cvds ) very well . ",video format!+,
31,and amazon.com has it for such a great price -- how can you go wrong ? ,price!+,price!great
32,i 've bought one for the den and will buy a 2nd one for the bedroom . ,,
33,strengths are well listed by other reviewers . ,,
34,"what got me to buy was the reviewer that said it would play dvd-rs fill of files ( e. , mp3s ) . ",play!+|dvd-r!+,
35,it sure does ! ,dvd-r!+,
36,that 's a rare and valuable feature . ,dvd-r!+,|feature!rare
37,"i have a dvd-burner on my computer and a zillion mp3s , and it 's a lot nicer to access them 4.5 gb at a time ( dvd-r ) than 0.7 gb at a time ( cd-r ) ! ",,
38,"another nice thing is that the unit has both optical and coax digital audio outputs , though the latter was not mentioned in the literature i 'd scanned before buying . ",audio output!+,thing!nice|audio!digital|unit!optical
39,"saved me from having to buy an expensive optical cable , as i already had a coax cable . ",,|cable!expensive
40,"at double-speed ( 2x forward speed ) , it still plays mp3s with sound -- they are pitch-corrected and smooth , but twice as fast ! ",forward!+,
41,"i wish it would do the same for movies , but that 's one rare / cool feature you will have to forgo . ",,feature!rare|wish!same|wish!feature
42,"weaknesses are minor : the feel and layout of the remote control are only so-so ; it does n't show the complete filenames of mp3s with really long names ; you must cycle through every zoom-setting ( 2x , 3x , 4x , 1/2x , etc. ) before getting back to normal size [ sorry if i 'm just ignorant of a way to get back to 1x quickly ] . ",remote control!-|mp3 filename!-,control!remote|feel!remote|layout!so-so|layout!feel|cycle!feel|size!normal
43,"if you 're a bargain-hunter and you want a great feature set for a rock-bottom price , i highly recommend this model . ",,feature!great|model!recommend|price!rock-bottom|bargain-hunter!feature
44,"update : the finish is more "" mirror "" than silver -- and i like it ! ",finish!+,
45,many of our disney movies do n't play on this dvd-player . ,play!-|disney movie!-,|dvd-player!many
46,i spoke to a rep. at apex and was told that a new format is being used and we wont be able to view any disney movies made in the last couple months . ,,|format!new|couple!last
47,player has a problem with dual-layer dvd 's such as alias season 1 and season 2 . ,dual-layer dvd!-,player!problem|problem!player|dvd!dual-layer|season!dual-layer
48,"for the money , get a better quality-player . ",,quality-player!better|money!quality-player
49,player works and looks great - if you can get the dvd 's to play . ,player!+|look!+,
50,"i know the saying is "" you get what you pay for "" but at this stage of game-dvd players must have better quality than this - there is no excuse . ",player!-,quality!better|stage!quality
51,will never purchase apex again . ,apex!-,
52,customer-service and technical support are overloaded and nonresponsive - tells you about the quality of their products and their willingness to stand behind them . ,customer service!-|technical support!-,
53,"pass this player up , and never believe the reviews on a product-right before christmas ! ",,
54,"for the first few weeks , this player was everything i expected it to be , an affordable multi-format dvd-player with a stylish slim case as advertised . ",case!+,dvd-player!affordable|case!affordable|everything!first
55,"then my dvds would stop playing in the middle , or not even be read at all . ",dvd!-|read!-|play!-,
56,new cds almost always began skipping after a few plays . ,cd!-,
57,"i thought it was just the player , but then i started checking the discs to find that the apex 2600 is actually ruining my media . ",player!-,apex!ruining
58,there are funny little ridges on the dvd that look like the slice of a tree-trunk ! ,,dvd!funny
59,this player is not worth any price and i recommend that you do n't purchase it . ,player!-,price!recommend|player!worth
60,"i intend to contact the company , but from what i 've read . ",,
61,i just got screwed out of fifty bucks . ,,
62,apex does n't answer the phone . ,support!-,
63,* sigh . ,,
64,no way to contact their customer-service . ,customer service!-,|way!customer-service
65,very bad quality . ,quality!-,quality!bad
66,i bought this apex 2600 dvd-player for myself at christmas because it got good reviews as a good value for the money on a variety of different sites . ,player!+,value!good|money!good|variety!different
67,i took it to my father 's house to play a tom jones concert-dvd and he loved the player so much i gave it to him . ,player!+,player!loved
68,now i need to buy myself another one ! ,,
69,have used it frequently and have had no problems . ,player!+,
70,"i always research electronics online before i buy because even within the same company , some models are better than others . ",,|company!same
71,i liked this one enough to buy another . ,player!+,
72,my dad also has an apex-tv and it was another great value for the money . ,apex!+,value!great|money!great|dad!value|apex-tv!dad
73,great quality-picture and features . ,picture quality!+,
74,thought i 'd weigh in here with my stats . ,,
75,i 've bought 3 apex-dvd players now . ,,
76,"they play just about everything , but # 2 and # 3 died very shortly after getting them . ",player!-,
77,i am back to using # 1 . ,,
78,"nice machines , but i consider their quality pretty low now . ",player!-,
79,this item broke just two weeks after i gave it to my kids for christmas . ,player!-,item!broke
80,the door would not close . ,door!-,
81,i tried to contact apex to return it ( i missed the amazon-return-period ) and it took 3 months to get through to their customer-service-dept . ,customer service!-,amazon-return-period!missed
82,i am still trying to resolve it four months later . ,,
83,it looks great - and is loaded with features . ,look!+|feature!+,
84,"unfortunately it turns out to be the "" disposable "" type . ",player!-,
85,have had problems since the first day ,player!-,day!problems
86,"- not playing some dvds and then finally after less than 60 days , it just would not recognize anything i pop in it . ",play!-|dvd!-,
87,save money on the long run - buy something decent once instead of buying cheap every month . ,,something!decent|run!long
88,the apex 2600 has been a steady performer for me . ,apex!+,performer!steady|apex!steady
89,"i bought mine in december of 2003 , and have had no real problems with it . ",player!+,
90,it does tend to run quite hot and should be given lots of room for air-circulation . ,heat!-,
91,"it did also seem to have a strong "" new electronics "" smell for some time . ",smell!-,time!smell
92,"the only thing i did experience was a problem of the player-freezing while playing , which i was able to clear by opening it up and blowing it out with "" canned air . "" ",freezing!-,thing!problem|experience!problem|problem!only|experience!thing
93,"this problem vanished after the first month , so i assume it was a temporary dust-issue . ",,month!first|month!problem
94,the two main reasons i had for getting this model were the range of disks types played and the recommendation of a friend . ,,|range!main
95,"( he had owned two apex-dvd players , and was pleased with both of them . ) ",player!+,
96,"the fact that this model would play jpeg slideshows was a big plus for me as a visual artist , and i discovered by accident ( it is not mentioned anywhere in the literature ) that it will play mpeg1 files on a regular cd-r data disk without vcd-formatting . ",jpeg slideshow!+,|disk!regular|fact!big
97,"the remote is okay , but i am not a fan of remotes with tiny buttons . ",remote!-,|fan!remote
