,review,target,dp,dp_clause
0,"the auto-focus performs well , but i love having the 12 optional scene modes - they are dummy-proof , and correspond to many situations in which i would actually seek to use the camera . ",auto focus!+,,love!love|auto-focus!love
1,"comes with a 16 mb compact flash and one rechargable battery the charging unit , included , is fast and small . ",rechargable battery!+,flash!compact|flash!fast|battery!rechargable|mb!compact|unit!compact,flash!compact|mb!compact|battery!rechargable|battery!compact|battery!flash|unit!compact
2,"i bought a 256 mb-cf and a second battery , so it 's good to go on a long vacation . ",,|battery!second|mb-cf!second|vacation!long,mb-cf!good|battery!second|battery!mb-cf|vacation!long
3,i bought this camera because it fit my budget and the pre-production and production-model reviews were positive . ,,budget!positive|pre-production!positive,pre-production!positive|budget!positive|budget!pre-production
4,"i fell in love with this camera , it combines ease of use , with an immense amount of options and power . ",camera!+|use!+,amount!immense|amount!ease,amount!immense|use!immense
5,"i did everything i could , and it took many days of frustration before concluding that the only way to transfer to pc is with the card-reader . ",,|way!only|frustration!many|card-reader!only,|way!card-reader|frustration!many|card-reader!only
6,i used lexar 256 mb and i still use it which means nothing is wrong with lexar . ,,nothing!wrong|lexar!nothing,lexar!wrong|nothing!wrong
7,so if you use your card-reader ; copy images - you got to onceagain open them through their software to put the date ; time . ,,,software!card-reader
8,"in that too , there is n't a direct way to add date ; time - you got to say ' print images ' to a different directory in which there is an option to specify the date ; time . ",,|way!direct|directory!way|option!way|time!way,|way!direct|directory!different|directory!way|option!way|time!way
9,"else with simpler viking-cf cards , it takes couple of seconds to write a picture with approximately "" fine **"" picture-quality  "" image-size : 1600 . ",,viking-cf!simpler,image-size!fine|picture!fine|viking-cf!simpler
10,"worse of all , they claim that it 's some kind of internal damage and refuse to cover the cost via warranty ! ",,,cost!worse|warranty!cost
11,i am an amateur photographer and here is a piece of advise to all the folks who are thinking about making a move the digital world . ,,|world!digital|piece!amateur|move!digital,piece!amateur|world!digital|move!digital
12,"nikon got the final nod for its settings auto and manual along with movie modes , medium; compact size , price , brand-name , good software that is included and previous reviews . ",,size!compact|price!compact|software!good|nod!nikon|nikon!nod|auto!final|manual!auto,price!compact|software!compact|size!compact|nod!nikon|size!price|auto!final|nikon!nod|manual!auto
13,"with our compact 35mm broken , and a vacation in europe at hand , i finally decided to enter the digital age . ",,mm!compact|vacation!compact|age!digital|europe!mm|hand!mm,mm!broken|age!digital|vacation!compact|vacation!mm|europe!mm|hand!mm
14,"the lense is a lot better , and the 4mb produce fantastic pictures . ",,produce!fantastic,lense!better|produce!fantastic
15,"the possibilities with auto , manual , and the very helpful "" scene "" mode , which offers 11 optimized situational settings like portrait , landscape , beach / snow , sunset-etc. , are endless . ",auto mode!+|manual mode!+|scene mode!+,scene!helpful|auto!helpful|mode!helpful|manual!auto,scene!helpful|auto!helpful|mode!helpful|manual!auto|mode!auto
16,"the 4300 comes with excellent easy to install software i use it on xp and win98 without problem , battery-charger , usb and video-cable . ",software!+,,xp!excellent|win98!xp
17,"i experimented with online print ordering with the two major us brick and mortar retailers , and they both delivered great results . ",print!+,|print!online,print!great|brick!major
18,"the battery-life is ok , but can be somewhat short when working a lot with the monitor on . ",battery life!+,|battery-life!ok,lot!ok|battery-life!ok|monitor!lot
19,"i highly recommend the accessory kit , which provides you with everything else you need : ",,kit!recommend,|kit!recommend
20,"over all a fantastic very compact camera , which made us experience photography on a totally new level ! ",camera!+,camera!fantastic|level!new,photography!fantastic|camera!fantastic|level!new|level!photography
21,i currently own an olympus-d-550 which takes wonderful outdoor pictures . ,,,olympus-d-550!wonderful
22,"the digital zoom takes as good of pictures , as the optical zoom does ! ",digital zoom!+,|zoom!digital,zoom!digital
23,"the inside pics , can be a bit challenging , but when you can instantly delete pics you dont like , that are not focused perfectly , or need lighting adjustments , make this camera very simple and effective . ",picture!-,|camera!simple,camera!simple
24,"battery-life is good , although i recommend two rechargebles , or a alkaline-backup , for those emergency pics you have to have . ",battery life!+,battery-life!good,alkaline-backup!recommend|battery-life!good
25,"this is my second digital camera , though i also use one at work and have some experience with several nikon and canon models . ",,|camera!second,camera!digital
26,"the nikon coolpix 4300 is wonderful -- easy to use , high quality , and compact in size . ",use!+,quality!easy|size!quality,|quality!easy|size!quality
27,with an extra battery and a couple of good sized memory cards you are all set for a day of picture taking while on vacation . ,,couple!good|battery!extra|memory!good,couple!good|battery!extra|memory!good|battery!couple
28,"if something were to happen to my nikon coolpix 4300 , i would order another just like it . ",,|coolpix!nikon,coolpix!like
29,i 'm extremely glad i bought this camera . ,camera!+,,camera!glad
30,"i expected the 12x digital zoom to be grainy , but onfull size high to fine quality , the zoomed images are quite impressive . ",zoomed image!+,quality!fine|zoom!digital|12x!digital|size!zoom,size!high|onfull!high|zoom!digital|quality!fine|12x!digital|quality!size
31,"i only wish you could get high quality-tiff images at all resolutions , but does n't seem any of the buget cameras do . ",,,wish!high
32,"still , at least from my perspective , a great camera for the money , and i 'm a happy camper ! ",camera!+,camera!great|money!great|camper!happy|camper!great,camera!great|perspective!great|camper!happy|money!great|camper!camera
