,review,target,dp,dp_clause
0,"i have had the phone for 1 week , the signal-quality has been great in the detroit-area ( suburbs ) and in my recent road-trip between detroit and northern kentucky ( cincinnati ) i experienced perfect signal and reception along i-75 , far superior to at &#38; t 's which does not work along several long stretches on that same route . ",signal quality!+,signal-quality!great|reception!perfect|road-trip!recent|detroit!recent|kentucky!detroit|signal!signal-quality|i-75!superior|route!several|cincinnati!detroit,signal-quality!great|reception!perfect|road-trip!recent|detroit!recent|signal!reception|road-trip!signal-quality|i-75!superior|route!several|kentucky!detroit|i-75!signal-quality|cincinnati!northern|cincinnati!detroit
1,"i have owned motorola , panasonic and nokia phones over the last 8 years and generally prefer nokia , this phone combines many of the best nokia features , the only feature missing for me is the voice-recognition . ",,nokia!prefer|motorola!prefer|feature!only|phone!many|panasonic!motorola|voice-recognition!phone,nokia!prefer|motorola!prefer|feature!only|phone!many|panasonic!motorola|voice-recognition!many|voice-recognition!phone
2,"the speaker-phone is very functional and i use it in the car , very audible even with freeway-noise . ",speaker phone!+,|speaker-phone!functional,speaker-phone!functional
3,"the infrared is a blessing if you have a previous nokia and want to transfer your old phone-book to this phone , saved me hours of re-entering my numbers . ",infrared!+,|phone-book!old|blessing!nokia|phone!phone-book,phone-book!old|nokia!previous|phone!phone-book|blessing!nokia|blessing!nokia
4,the day finally arrived when i was sure i 'd leave sprint . ,sprint!-,,day!sure
5,"after years with that carrier 's expensive plans and horrible customer-service , portability seemed heaven-sent . ",sprint plan!-,carrier!expensive,portability!horrible|carrier!expensive
6,"here 's the brief synopsis : the phone is tiny , cute , feels kind of "" plastic-like "" ( as if it might break ) , but seems pretty sturdy . ",size!+|sturdy!+,|phone!tiny,phone!tiny|kind!cute
7,"it has lots of little cute features , my favorite being the games and the pim ( personal information-manager -- i.e. organizer ) , and the radio ! ",game!+,pim!favorite|radio!favorite,organizer!favorite|manager!personal|pim!favorite|radio!favorite|radio!pim|information!personal
8,"the phone comes with okay ringtones , some decent backgrounds / screensavers , but the phone has very little memory ( mine had 230kb as it arrived from amazon , so you do n't have too many options on what you can put on there ) . ",ringtone!+,|memory!little|phone!memory,amazon!many|memory!little|phone!memory
9,"the buttons on the phone are small , even for my small fingertips , but you get used to them rather quickly . ",button!-,|phone!small,phone!small
10,i have excellent hearing but the volume-level on this phone is especially quiet . ,volume!-,hearing!quiet|volume-level!quiet|phone!hearing,volume-level!quiet|phone!quiet|hearing!excellent
11,forget talking on it in public -- you just can 't hear the other person ! ,,|person!other|t!person,person!other|t!person
12,"on the up-side , the phone has amazing battery-life . ",battery life!+,battery-life!amazing|up-side!battery-life|phone!battery-life,battery-life!amazing|up-side!battery-life|up-side!battery-life|phone!battery-life|phone!battery-life
13,"i assumed they had exceptional service , but their reception in my area ( los angeles ) is horrendous . ",t-mobile reception!-,service!exceptional|area!horrendous|reception!horrendous,reception!horrendous|service!exceptional|area!horrendous
14,"also , their t-zones , although cheap ( $ 4.99 / mo. ) never works . ",t-zone!-,,mo.!cheap
15,"this one csr insisted on trying to get me to say that he 'd answered all my questions ( same interaction as i just described ) , and well .. . ",,|interaction!same,interaction!same
16,"i 'm staying with sprint , and though i fear that their csr is n't nearly as good as t-mobile 's , the clarity of their reception is exceptional . ",sprint!+,csr!good|reception!exceptional|clarity!exceptional|t-mobile!csr,clarity!exceptional|reception!exceptional|csr!good|t-mobile!csr
17,it was worth a shot -- too bad it did n't work out . ,,shot!bad|shot!work,|shot!bad|shot!work
18,i bought one of these phones in kuwait to use with the mtc prepaid telephone-service-ez because i would be able to use it when i return to the states with t-mobile . ,,|return!able,return!able
19,i highly recommend a nokia 6610 . ,nokia!+,,nokia!recommend
20,no other color-phone has the combination of features that the 6610 offers . ,feature!+,|color-phone!other|combination!color-phone,color-phone!other|combination!color-phone
21,"from the speakerphone that can be used up to 15 feet away with clarity , to the downloadable poly-graphic megatones that adds a personal touch to this nifty phone . ",speakerphone!+,phone!nifty,touch!personal|phone!nifty|phone!touch
22,"wish it were a flip phone , but thats not a deal-breaker ! ",,|phone!flip|wish!flip|deal-breaker!phone,|phone!flip|wish!flip|deal-breaker!flip|deal-breaker!phone
23,the more subtle tones that were included with the phone are hard to hear at times . ,tone!-,,phone!subtle
24,"it is a teeny phone , so it is hard to put a big mechanism in . ",,phone!hard|mechanism!big,mechanism!big|phone!teeny|phone!hard
25,"i do n't use the vibration , because it is often easier to hear it vibrate then to feel it . ",,,vibration!vibration
26,"great battery-life , perfect size , but a tid-bit quieter than i would like . ",battery life!+,size!perfect|size!great,size!great|tid-bit!great
27,"that is a major minus , but its not that bad . ",,|minus!major,minus!major
28,we got two phones for the t-mobile-family-plan ( indeed very easy to switch to the family-plan ) and one came with a broken headphone ( can hear but cannot be heard ) and one died today after less than two weeks of use . ,phone!-,headphone!broken,use!died|headphone!broken
29,"so i spent half an hour on the phone with tech-support , only to have the online tech-person pull one off the shelf and tell me he had the same problem . ",,,tech-person!online|shelf!tech-person
30,"i returned to the store , whereupon the clerk insisted that he could make it work ; he could n't . ",,,clerk!work|whereupon!clerk|store!whereupon
