,0,aspect,prediction
0,this computer is absolutely amazing!!!,LAPTOP,computer!amazing
1,10 plus hours of battery...,BATTERY,
2,super fast processor and really nice graphics card..,CPU|GRAPHICS,processor!super|card!super
3,and plenty of storage with 250 gb(though i will upgrade this and the ram..),HARD_DISC,
4,this computer is really fast and i'm shocked as to how easy it is to get used to...,LAPTOP|LAPTOP,computer!fast
5,i've only had mine a day but i'm already used to it...,LAPTOP,
6,get this computer for portability and fast processing!!!,LAPTOP|CPU,processing!fast|portability!fast
7,the laptop was really good and it goes really fast just the way i thought it would of run.,LAPTOP|LAPTOP,laptop!good
8,i would really recommend to any person out there to get this laptop cause its really worth it.,LAPTOP,laptop!worth
9,and its really cheap and you wont regret buying it.,LAPTOP|LAPTOP,
10,"as a computer-science-student in college, i find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP|LAPTOP|LAPTOP,
11,"without a big ol' clunky machine in my backpack, i feel like i can do programming-homework anywhere.",LAPTOP|LAPTOP|LAPTOP,machine!clunky|backpack!clunky
12,i highly recommend this computer for students looking for a solid machine to get them through college.,LAPTOP|LAPTOP,computer!recommend|machine!solid
13,"a great feature is the spotlight-search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",OS,feature!great
14,oh my goodness-i am not a happy camper.,LAPTOP,camper!happy
15,my hp is very heavy.,LAPTOP,|hp!heavy
16,not easy to carry.,LAPTOP,
17,the battery has never worked well.,BATTERY|BATTERY,battery!worked
18,the battery gets so hot it is scary.,BATTERY,
19,"yet, hp won't do anything about the problem.",SUPPORT,
20,i returned the computer to hp and they kept it for 3 months.,SUPPORT,
21,when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem.,SUPPORT,hp!correct|hp!problem|warranty!problem|problem!warranty|problem!hp
22,"so, you can imagine how unhappy i am with this item.",LAPTOP,
23,currently if i use the laptop i can't sit it on my lap because it will burn my legs.,LAPTOP,
24,"well, they don't care a bunch.",SUPPORT,
25,"but, at the same time they (the company) would not and could not do anything about my problem.",SUPPORT,|time!same
26,i would  say if you want to buy one of these machines be careful.,LAPTOP,
27,"and, if you are going to deal with hp be careful.",COMPANY,
28,"in my house, hp is a nasty word.",COMPANY,word!nasty|house!nasty|hp!nasty
29,"since i purchased my toshiba netbook, i have been very pleased with it, i have a laptob and a desktop.",LAPTOP,
30,the netbook is easier for me to take to bed and carry around with me.,LAPTOP,netbook!easier
31,"the screen takes some getting use to, because it is smaller than the laptop.",DISPLAY|DISPLAY,
32,i have not have any problems.,LAPTOP,
33,"the notebook pc,toshiba qosmio is the best gift my father could have ever gotten me.",LAPTOP,gift!best|pc!best|notebook!gift|qosmio!gift
34,he gave me this pc about 3 years ago and up to this point-im still sitting here using it.,LAPTOP,
35,its still going.,LAPTOP,
36,it is in the best condition and has a really high quality.,LAPTOP,condition!best|quality!high
37,this is something i would deffinately reccomend to someone.,LAPTOP,
38,you will not regret buying such a great thing like this!,LAPTOP,thing!great
39,it can't get any better.,LAPTOP,
40,"waited on getting this computer, but it has been a great change.",LAPTOP,change!great
41,ease of use is just one of the benefits i love about my mac.,LAPTOP,
42,this laptop meets every expectation and windows 7 is great!,LAPTOP|OS,laptop!great|expectation!great
43,"it's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP|LAPTOP|LAPTOP,hook!easy|network!wireless|network!easy
44,it's even easy to hook up to other wireless networks.,LAPTOP,|hook!other
45,the battery doesn't last long but i'm sure an upgrade-battery would solve that problem.,BATTERY,upgrade-battery!problem|battery!long|problem!upgrade-battery
46,i don't use my laptop in a way though that needs a long battery-life so it's perfect for me.,BATTERY,|way!laptop
47,"most everything is fine with this machine: speed, capacity, build.",LAPTOP|LAPTOP|HARD_DISC|LAPTOP,everything!fine|machine!everything|capacity!everything
48,"the only thing i don't understand is that the resolution of the screen isn't high enough for some pages, such as yahoo!mail.",DISPLAY,|thing!only|screen!high|resolution!high|yahoo!mail!resolution
49,i bought it for really cheap also and it's amazing.,LAPTOP|LAPTOP,
50,recommended to people as their first laptop.,LAPTOP,|laptop!first
51,"plain and simple, it(laptop) runs great and loads fast.",LAPTOP,
52,"easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",LAPTOP|LAPTOP,
53,i'm already hooked on the sleek look and dependability that this laptop has shown.,LAPTOP|LAPTOP,look!sleek|dependability!sleek
54,"being a pc user my whole life, it's taking a bit of time to adapt to the os of a mac but i'm finding my way around.",OS,|life!whole|user!whole
55,the unibody design is edgy and durable.,LAPTOP|LAPTOP,|design!edgy
56,the led backlit display makes my pictures pop so much more.,DISPLAY,display!led
57,i'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,MOUSE|LAPTOP,browsing!quicker
58,a key contributor that led me to mac is the art-aspect.,LAPTOP,|contributor!key|art-aspect!key
59,they have developed excellent proprietary software for editing-video and pictures and i'm looking forward to utilizing these tools on the regular.,SOFTWARE,software!excellent|editing-video!excellent
60,i'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,LAPTOP|LAPTOP,machine!powerful
61,it's more expensive but well worth it in the long run.,LAPTOP|LAPTOP,run!expensive
62,"great product, very easy to use and great graphics.",LAPTOP|LAPTOP|GRAPHICS,product!great
63,"one drawback, i wish the keys were backlit.",KEYBOARD,|drawback!backlit
64,"i'm glad i bought this laptop, it was worth the few ($100) extra dollars.",LAPTOP|LAPTOP,
65,it had most of the features and all of the power that i wanted to replace my desktop-machine.,LAPTOP|LAPTOP,
66,i wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,LAPTOP|LAPTOP,surprise!pleasant|laptop!hard|trip!pleasant
67,i'm very happy with this machine!,LAPTOP,
68,"i love the size, keyboard, the functions.",LAPTOP|KEYBOARD|LAPTOP,size!love|keyboard!love
69,i don't really have a complaint.,LAPTOP,
70,"it is easy to use, good quality and good price.",LAPTOP|LAPTOP|LAPTOP,quality!good|price!good
71,perfect trifecta!,LAPTOP,trifecta!perfect
72,i would recommend this product.,LAPTOP,product!recommend
73,the salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,SOFTWARE|LAPTOP,
74,this is my first dell i heard their customer-service was lacking and that they were working on improving it!,SUPPORT,|dell!first
75,the dvd burner broke after burning 3 dvd'd during that time!,OPTICAL_DRIVES,burner!broke|dvd!broke
76,they sent me a replacement-part and without informing me are requiring that i return it within 15 days or contact them and let them know the broken part will be returned later.,SUPPORT,part!broken
77,if this is an improvement in customer service then i would hate too see what it was before!,SUPPORT,
78,i spoke to 4 different people and was told they needed to transfer me to a 5th person!,SUPPORT,|person!5th
79,needless to say i told them no and have a nice day and hung up!,SUPPORT,day!nice
80,i can guarantee this will be the last dell i will ever purchase!,LAPTOP|COMPANY,|dell!last
81,breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,LAPTOP|SUPPORT,part!damaged
82,i do not recommend this company or their products!!!!,COMPANY,company!recommend
83,"so far, a great product.",LAPTOP,product!great
84,"high price-tag, however.",LAPTOP,|price-tag!high
85,still trying to learn how to use it.,LAPTOP,
86,it is the worst computer-dell ever made.,LAPTOP,computer-dell!worst
87,it is hard to fix and makes it a hassle to own one.,LAPTOP|LAPTOP,hassle!hard
88,breaks easily.,LAPTOP,
89,only good thing is the graphics quality.,GRAPHICS,thing!good|quality!good
90,there are so many wonderful features and benefits to the new macbook!,LAPTOP|LAPTOP,|macbook!new
91,no viruses!,LAPTOP,
92,this laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,LAPTOP|LAPTOP,laptop!fast
93,i am loyal to apple.,COMPANY,
94,i am very happy!,LAPTOP,
95,this just keeps having it's hard drive replaced!,HARD_DISC,drive!hard
96,acer won't replace the laptop.,SUPPORT,|acer!laptop|laptop!acer
97,the manufacturer's warranty only covers replacement/repair of parts.,WARRANTY,
98,this thing is a lemon.,LAPTOP,thing!lemon
99,this macbook is an outstanding product with great value.,LAPTOP,product!outstanding|macbook!outstanding|value!great|value!outstanding
100,its ease of use and the top service from apple- be it their phone-assistance or bellying up to the genius-bar- cannot be beat.,LAPTOP|SUPPORT,service!top|ease!top|apple!top
101,"suffice it to say, my macbook pro keeps me going with its long battery-life and blazing speed.",BATTERY|LAPTOP,|macbook!pro
102,it does run a little warm but that is a negligible concern.,LAPTOP,concern!warm
103,i have had nothing but problems since the day i took it out of the box!,LAPTOP|LAPTOP,
104,my first problem was with the pre-loaded norton firewall/security program.,SOFTWARE,program!problem|norton!pre-loaded|firewall/security!pre-loaded
105,it would not let me connect to my wifi system where i lived.,LAPTOP,
106,it took toshiba tech-support 4 calls and 4 different techs to correct the problem.,SUPPORT,problem!correct|toshiba!tech-support
107,"then just the other day, my left ""mouse"" button snapped!",MOUSE,|day!other|mouse!left|button!left
108,"being only 2 months old, i am not a happy camper!",LAPTOP,camper!happy
109,buyer beware.,LAPTOP,
110,"this one, in my opinion, might be a lemon!",LAPTOP,
111,it rarely works and when it does it's incredibly slow.,LAPTOP|LAPTOP,
112,i have had to take it to the geek-squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!,LAPTOP,
113,"*if you are looking for a good laptop, this is not it!",LAPTOP,laptop!good
114,like the price and operation.,LAPTOP|LAPTOP,
115,"some features arent friendly ( volume-wheel, sound quality, etc.",LAPTOP|MULTIMEDIA_DEVICES|MULTIMEDIA_DEVICES,|quality!volume-wheel
116,"but, for the cost this is a winner.",LAPTOP|LAPTOP,
117,i absolutely love my mac!,LAPTOP,mac!love
118,i can't imagine my life without it anymore!,LAPTOP,
119,i've haven't had any major problems with the laptop except that the plastic-piece that covers the usb-port wires have all come off.,LAPTOP|PORTS,
120,apparently they are defective since they are not securely attached.,PORTS,
121,i can barely use any usb devices because they will not stay connected properly.,LAPTOP,
122,i called toshiba and they want me to be without my laptop for about two weeks while they look at the problem.,SUPPORT,
123,i think i might rather suffer for something that is simple to fix in my opinion.,SUPPORT,
124,i bought this laptop was the worst laptop i've ever bought.,LAPTOP,laptop!worst
125,i spent alot of money on this product and its been a nightmare.,LAPTOP|LAPTOP,
126,and having to deal with the company has been a even worse nightmare.,SUPPORT,
127,they sent it back with a huge crack in it and it still didn't work.,SUPPORT,
128,and that was the fourth time-ive sent it to them to get fixed.,SUPPORT,
129,its been a year and am still waiting to see what there going to do about my laptop.,SUPPORT,
130,so if anyones looking to buy a computer or laptop you should stay far far away from any that have the name toshiba on it...,COMPANY,
131,i saved for this laptop for 3 months and i can tell you personally it was worth the wait.,LAPTOP,wait!worth
132,"the display on this computer is the best i've seen in a very long time, the battery-life is very long and very convienent.",DISPLAY|BATTERY,display!best|time!long|battery-life!time
