,review,target,dp,dp_clause
0,a few of my work constituants owned the g2 and highly recommended the canon for picture-quality . ,picture quality!+,canon!recommended|picture-quality!recommended|g2!few,canon!recommended|g2!few|picture-quality!recommended
1,i 'm easily enlarging pictures to 8 1/2 x 11 with no visable loss in picture-quality and not even using the best possible setting as yet ( super fine ) . ,picture quality!+,,setting!possible
2,"ensure you get a larger flash , 128 or 256 , some are selling with the larger flash , 32mb will do in a pinch but you 'll quickly want a larger flash-card as with any of the 4mp cameras . ",,|pinch!32mb,flash!pinch|flash-card!flash|pinch!32mb
3,"bottom line , well made camera , easy to use , very flexible and powerful features to include the ability to use external flash and lense / filters choices . ",camera!+|use!+|feature!+,line!easy|line!flexible|flash!external|lense!external|ability!flash,line!bottom|flash!external|lense!external|ability!flash
4,"this is my first digital camera , and what a ' toy ' it is ! ",camera!+,|camera!first|toy!camera,camera!first|toy!camera
5,"i am a software-engineer and am very keen into technical details of everything i buy , i spend around 3 months before buying the digital camera ; and i must say , g3 worth every single cent i spent on it . ",,g3!worth|camera!digital|cent!g3,camera!digital|everything!technical|g3!worth|cent!single|cent!g3
6,"just a little overview , powershot-g3 is the flagship of canon 's powershot-series and its an slr-like camera , its 4 megapixel and ( alsmost ) full manual control gives the pictures a touch of brilliance . ",picture!+,|overview!little|flagship!little|touch!flagship|camera!slr-like|megapixel!slr-like|control!camera|canon!camera|alsmost!full,powershot-g3!little|overview!little|control!full|megapixel!full|camera!slr-like|flagship!little|camera!megapixel|alsmost!full|touch!flagship|canon!camera
7,"+ you can have different kind of lens if you want + flashes , etc. ",,|kind!different|lens!different,kind!different|lens!different
8,"as its 4mp , you might need bigger storage to store high quality images and recording movies ( you can record 3 minutes of video ) . ",,|quality!high,storage!video|quality!high
9,* main dial is not backlit . ,dial!-,|dial!backlit,dial!main
10,* lens visible in optical viewfinder . ,viewfinder!-,|lens!visible|viewfinder!lens,viewfinder!optical|lens!visible
11,i did extensive research comparing different 4 and 5 megapixel cameras . ,,|megapixel!different,|megapixel!different|research!extensive
12,"a couple of online camera-review sites were extremely helpful , as they provided complete exhaustive reviews of nearly every camera made , plus provided a great number of high resolution-sample images to compare amongst the models . ",,couple!helpful|number!great|camera!complete,number!great|couple!helpful|camera!complete
13,"in a word , "" awesome "" is how i would describe this camera . ",camera!+,,camera!awesome
14,"and with the panoramic "" stitch "" mode , it guides you through stitching together multiple pictures to build a seamless panoramic image . ",,stitch!panoramic|mode!panoramic|image!seamless,stitch!panoramic|mode!panoramic|image!seamless|image!stitch
15,"i am absolutely in awe of this camera , canon put enormous quality into the g3 . ",camera!+,|quality!enormous|awe!quality|canon!quality|g3!canon,awe!awe|quality!enormous|canon!quality|g3!canon
16,i bought my canon-g3 about a month ago and i have to say i am very satisfied . ,canon g3!+,,canon-g3!satisfied
17,"the lens is visible in the viewfinder when the lens is set to the wide angle , but since i use the lcd most of the time , this is not really much of a bother to me . ",viewfinder!-,|lens!visible|viewfinder!lens,lens!visible|angle!wide|viewfinder!lens
18,still i am a little suprised that canon did not correct this design-flaw before releasing the camera . ,,canon!correct|design-flaw!correct,canon!correct|design-flaw!correct|design-flaw!canon
19,i have only had this camera for one full day and i have to say that it is wonderful . ,camera!+,|day!full,day!full
20,"i 'm one of those people that can only concentrate on one screen at a time so i 've been having trouble paying attention to the little display-panel on top , but that does n't stop me from loving this camera . ",,camera!loving|display-panel!little|top!little,display-panel!little|top!little|camera!loving
21,"1 ) slr like programming and exposure-control gives you latitude to be creative , yet its progam and auto-exposure settings provide excellent photos if you do n't want to bother with the settings . ",exposure control!+,,progam!excellent|auto-exposure!progam
22,3 ) 4x-zoom is nice ,zoom!+,4x-zoom!nice,|4x-zoom!nice
23,"1 ) quite bulky ( it 's about the same size as my minolta vectis s-1 aps slr ) and uses a heavy battery , although not very solid as it is contructed mostly of plastic ( unlike canon 's elph-line ) ",size!-,|size!same|battery!heavy,size!same|size!bulky|battery!heavy
24,the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry . ,optical zoom!+,addition!works|14x!works|zoom!works|zoom!works,zoom!digital|addition!digital|zoom!digital|zoom!blurry|zoom!works|14x!works
25,"i have not yet seen any of the usual problems with digital pictures ( purple fringing , etc ) so i am very pleased . ",picture!+,|fringing!digital|etc!purple,etc!digital|fringing!purple|fringing!digital
