,name,type,P,R,F
0,Apex AD2600 Progressive-scan DVD player,hasil,0.7456359102244389,0.8,0.771861890932559
1,Canon G3,hasil,0.7098039215686275,0.7990275526742301,0.7517776504684235
2,Creative Labs Nomad Jukebox Zen Xtra 40GB,hasil,0.8663967611336032,0.7365562194459533,0.7962178936653012
3,Nikon coolpix 4300,hasil,0.6590909090909091,0.7781155015197568,0.7136745974525354
4,Nokia 6610,hasil,0.7377622377622378,0.8760504201680672,0.8009813471219582
5,Apex AD2600 Progressive-scan DVD player,hasil_chunk,0.7007481296758105,0.7477064220183486,0.723466091722542
6,Canon G3,hasil_chunk,0.6862745098039216,0.8333333333333334,0.7526881720430109
7,Creative Labs Nomad Jukebox Zen Xtra 40GB,hasil_chunk,0.8663967611336032,0.7536600891152132,0.8061058599329984
8,Nikon coolpix 4300,hasil_chunk,0.7272727272727273,0.8166089965397924,0.769356153219234
9,Nokia 6610,hasil_chunk,0.7097902097902098,0.9056122448979592,0.7958322750212583
10,Apex AD2600 Progressive-scan DVD player,hasil_clause,0.7531172069825436,0.6609071274298056,0.7040056069355354
11,Canon G3,hasil_clause,0.7529411764705882,0.7830882352941176,0.7677188635147693
12,Creative Labs Nomad Jukebox Zen Xtra 40GB,hasil_clause,0.8852901484480432,0.6886120996441281,0.774662478125348
13,Nikon coolpix 4300,hasil_clause,0.7556818181818182,0.7810457516339869,0.7681544670259298
14,Nokia 6610,hasil_clause,0.7237762237762237,0.8402948402948403,0.7776953878095803
