,id,opinion,sentiment,type
0,2,average,positive,baru
1,3,beat,negative,baru
2,4,best,negative,-
3,6,cheap,positive,-
4,7,complimentary,negative,-
5,8,deff,negative,baru
6,9,delish,positive,baru
7,11,extensive,positive,baru
8,12,extra,negative,baru
9,13,fair,negative,-
10,14,fishy,negative,baru
11,17,high,negative,baru
12,20,indian,positive,baru
13,22,large,negative,baru
14,23,least,positive,baru
15,24,less,negative,baru
16,25,mortal,negative,baru
17,26,much,positive,baru
18,27,ok,negative,baru
19,28,only,negative,baru
20,30,plain,negative,baru
21,32,pricey,positive,-
22,34,such,positive,baru
23,35,tasteless,negative,baru
24,37,welll,positive,baru
25,38,wonderful,negative,-
