,id,review,target,category,term
0,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,SERVICE,noon|place|staff
1,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,"food,portions","FOOD,FOOD",food|portions
2,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",food,FOOD,Saul|food
3,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,"foie gras terrine with figs,duck confit","FOOD,FOOD",duck|confit|foie|terrine|figs|world
4,1014458:3,The wine list is interesting and has many good values.,"wine list,wine list","FOOD,PRICES",wine|list|values
5,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,SERVICE,cart|attendant|lotus|leaf|rice|rice
6,1016296:3,"Food was okay, nothing great.",Food,FOOD,Food
7,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,"Chow fun,pork shu mai,NULL","FOOD,FOOD",Chow|pork|table|family
8,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","Service,oysters,NULL","SERVICE,FOOD,PRICES",Service|devine|oysters|price
9,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.","NULL,service,decor","FOOD,SERVICE,AMBIENCE",perfection|service|decor|cool
10,1032695:2,I had the duck breast special on my last visit and it was incredible.,duck breast special,FOOD,duck|breast|visit
11,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","food,Thai fusion stuff,NULL","FOOD,FOOD,FOOD",food|Thai|fusion|stuff
12,1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Grilled Chicken special with Edamame Puree,FOOD,Grilled|Chicken|Edamame|Puree
13,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,"Edamame pureed,Edamame pureed","FOOD,FOOD",Edamame|pureed|salt
14,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.","place,decor,vent","AMBIENCE,AMBIENCE,AMBIENCE",decor|night|ceiling|effort|place|look
