,id,review,target,label,predict,terms
0,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,SERVICE,SERVICE|AMBIENCE|SERVICE,noon|place|staff
1,1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",,SERVICE,FOOD|FOOD|FOOD|FOOD|FOOD,noodles|requests|sugar|dishes|table
2,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,"food,portions","FOOD,FOOD",FOOD|FOOD,food|portions
3,1004293:4,"After all that, they complained to me about the small tip.",,SERVICE,AMBIENCE,tip
4,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",food,FOOD,FOOD|FOOD,times|food
5,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,"foie gras terrine with figs,duck confit","FOOD,FOOD",FOOD|FOOD|FOOD|FOOD|FOOD|FOOD,duck|confit|foie|terrine|figs|world
6,1014458:3,The wine list is interesting and has many good values.,"wine list,wine list","FOOD,PRICES",FOOD|FOOD|PRICES,wine|list|values
7,1014458:4,"For the price, you cannot eat this well in Manhattan.","NULL,NULL","PRICES,FOOD",PRICES,price
8,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,SERVICE,SERVICE|SERVICE|FOOD|FOOD|FOOD|FOOD,cart|attendant|lotus|leaf|rice|rice
9,1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,,SERVICE,AMBIENCE|FOOD|FOOD,times|dish|ive
10,1016296:3,"Food was okay, nothing great.",Food,FOOD,FOOD,nothing
11,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,"Chow fun,pork shu mai,NULL","FOOD,FOOD",FOOD|FOOD|FOOD|FOOD|SERVICE|FOOD,fun|pork|shu|mai|table|family
12,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","Service,oysters,NULL","SERVICE,FOOD,PRICES",FOOD|PRICES,oysters|price
13,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.","NULL,service,decor","FOOD,SERVICE,AMBIENCE",FOOD|FOOD|SERVICE|AMBIENCE|AMBIENCE,everything|perfection|service|decor|cool
14,1032695:2,I had the duck breast special on my last visit and it was incredible.,duck breast special,FOOD,FOOD|FOOD|SERVICE,duck|breast|visit
15,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","food,Thai fusion stuff,NULL","FOOD,FOOD,FOOD",FOOD|FOOD|FOOD|AMBIENCE|FOOD,food|fusion|stuff|bit|thing
16,1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Grilled Chicken special with Edamame Puree,FOOD,FOOD,thing
17,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,"Edamame pureed,Edamame pureed","FOOD,FOOD",FOOD|FOOD|FOOD,pureed|bit|salt
18,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.","place,decor,vent","AMBIENCE,AMBIENCE,AMBIENCE",AMBIENCE|AMBIENCE|FOOD|AMBIENCE|AMBIENCE|AMBIENCE|AMBIENCE,decor|night|tho|ceiling|effort|place|look
19,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!","sake list,NULL","FOOD,SERVICE",FOOD|SERVICE|PRICES,sake|list|request
20,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!","spicy tuna roll,rock shrimp tempura","FOOD,FOOD",FOOD|FOOD|FOOD|FOOD|FOOD|FOOD,tuna|roll|rock|shrimp|tempura|appetizer
21,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,service,SERVICE,AMBIENCE|SERVICE,bit|service
22,1055910:2,Food-awesome.,Food,FOOD,,
23,1055910:3,Service- friendly and attentive.,Service,SERVICE,,
24,1055910:4,Ambiance- relaxed and stylish.,Ambiance,AMBIENCE,FOOD,ambiance
25,1058221:2,the food is decent.,food,FOOD,FOOD,food
26,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",service,SERVICE,SERVICE|FOOD|FOOD,service|taste|mouth
27,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",waiter,SERVICE,PRICES|PRICES|FOOD|SERVICE|FOOD|FOOD|PRICES,policy|bit|self-respect|waiter|trivialities|water|check
28,1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",,SERVICE,FOOD|FOOD|FOOD|FOOD|PRICES|SERVICE|AMBIENCE,vintage|tee|shirt|agenda|company|friends|experience
29,1062641:2,Food is great.,Food,FOOD,,
30,1062641:3,Service is top notch.,Service,SERVICE,AMBIENCE,notch
31,1064477:0,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",sea urchin,FOOD,FOOD|AMBIENCE|FOOD|FOOD|FOOD,sushi|restaurant|sea|urchin|sushi
32,1064477:1,"It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.",,FOOD,FOOD|FOOD,mouth|consistency-not
33,1064477:2,The sushi seemed pretty fresh and was adequately proportioned.,"sushi,sushi","FOOD,FOOD",FOOD,sushi
34,1064477:3,The rice to fish ration was also good--they didn't try to overpack the rice.,rice to fish ration,FOOD,FOOD|FOOD|FOOD|FOOD,rice|fish|ration|rice
35,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,"half price sushi deal,half price sushi deal","FOOD,PRICES",FOOD|FOOD|PRICES|FOOD|PRICES,advanatage|half|price|sushi|deal
36,1074868:4,The food was well prepared and the service impecable.,"food,service","FOOD,SERVICE",FOOD|SERVICE|AMBIENCE,food|service|impecable
37,1084394:1,Quite simply it's like stepping out of Manhattan and into a haven of tranquility.,,AMBIENCE,AMBIENCE|FOOD,haven|tranquility
38,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,"Prix Fixe menu,Prix Fixe menu,Prix Fixe menu","FOOD,FOOD,PRICES",FOOD|PRICES|PRICES|PRICES,menu|penny|quantity|quality
39,1086415:1,"It is terrific, as is the value.","NULL,NULL","FOOD,PRICES",PRICES,value
40,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.","food,food,food","FOOD,FOOD,PRICES",FOOD,food
41,1086415:3,"I am not a vegetarian but, almost all the dishes were great.",dishes,FOOD,FOOD,dishes
42,1086478:0,"The food here is rather good, but only if you like to wait for it.","food,NULL","FOOD,SERVICE",FOOD,food
43,1086478:1,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.","somosas,chai,chole,dhosas,dhal","FOOD,FOOD,FOOD,FOOD,FOOD",FOOD|FOOD|FOOD|FOOD|FOOD,somosas|chai|chole|dhosas|dhal
