,id,review,label,pred_multiple,terms
0,0,"i am not necessarily fanatical about this place, but it was a fun time for low prices.",VALUE,VALUE|VALUE|VALUE|VALUE|VALUE,price|place|place|time|prices
1,2,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|FOOD,price|food|high|prices|view|food
2,3,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|FOOD,price|food|high|prices|view|food
3,4,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|FOOD,price|food|high|prices|view|food
4,5,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|FOOD,price|food|high|prices|view|food
5,6,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|FOOD,price|food|high|prices|view|food
6,7,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|FOOD,price|food|high|prices|view|food
7,8,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|FOOD,price|food|high|prices|view|food
8,9,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|FOOD,price|food|high|prices|view|food
9,10,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|FOOD,price|food|high|prices|view|food
10,11,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|FOOD,price|food|high|prices|view|food
11,12,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|FOOD,price|food|high|prices|view|food
12,13,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|FOOD,price|food|high|prices|view|food
13,14,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|FOOD,price|food|high|prices|view|food
14,15,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|FOOD,price|food|high|prices|view|food
15,16,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|FOOD,price|food|high|prices|view|food
16,17,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE|VALUE|VALUE|FOOD,price|food|high|prices|view|food
17,18,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE|FOOD|VALUE,price|food|high|food|prices
18,19,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE|FOOD|VALUE,price|food|high|food|prices
19,20,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE|FOOD|VALUE,price|food|high|food|prices
20,21,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE|FOOD|VALUE,price|food|high|food|prices
21,22,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE|FOOD|VALUE,price|food|high|food|prices
22,23,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE|FOOD|VALUE,price|food|high|food|prices
23,24,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE|FOOD|VALUE,price|food|high|food|prices
24,25,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE|FOOD|VALUE,price|food|high|food|prices
25,26,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE|FOOD|VALUE,price|food|high|food|prices
26,27,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE|FOOD|VALUE,price|food|high|food|prices
27,28,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE|FOOD|VALUE,price|food|high|food|prices
28,29,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE|FOOD|VALUE,price|food|high|food|prices
29,30,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE|FOOD|VALUE,price|food|high|food|prices
30,31,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE|FOOD|VALUE,price|food|high|food|prices
31,32,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE|FOOD|VALUE,price|food|high|food|prices
32,33,prices are fair across the board for both food and bev.,VALUE|VALUE,VALUE|FOOD|VALUE|VALUE|FOOD|VALUE,price|food|prices|board|food|bev
