,id,review,label,pred_multiple,terms
0,0,"i am not necessarily fanatical about this place, but it was a fun time for low prices.",VALUE,VALUE|VALUE,price|place
1,2,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE,price|food|high
2,3,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE,price|food|high
3,4,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE,price|food|high
4,5,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE,price|food|high
5,6,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE,price|food|high
6,7,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE,price|food|high
7,8,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE,price|food|high
8,9,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE,price|food|high
9,10,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE,price|food|high
10,11,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE,price|food|high
11,12,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE,price|food|high
12,13,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE,price|food|high
13,14,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE,price|food|high
14,15,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE,price|food|high
15,16,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE,price|food|high
16,17,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE|FOOD|VALUE,price|food|high
17,18,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE,price|food|high
18,19,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE,price|food|high
19,20,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE,price|food|high
20,21,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE,price|food|high
21,22,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE,price|food|high
22,23,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE,price|food|high
23,24,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE,price|food|high
24,25,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE,price|food|high
25,26,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE,price|food|high
26,27,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE,price|food|high
27,28,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE,price|food|high
28,29,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE,price|food|high
29,30,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE,price|food|high
30,31,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE,price|food|high
31,32,bad food and high prices,FOOD|VALUE,VALUE|FOOD|VALUE,price|food|high
32,33,prices are fair across the board for both food and bev.,VALUE|VALUE,VALUE|FOOD,price|food
33,34,"price is high but the food is good, so i would come back again.",FOOD|VALUE,VALUE|FOOD|FOOD|VALUE,price|good|food|high
34,35,"great place, great value.",AMBIENCE|VALUE,VALUE|VALUE|VALUE|VALUE,great|great|place|value
35,36,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,VALUE|FOOD|FOOD,price|food|reasonably
36,37,the atmosphere is relaxed and casual.,AMBIENCE,AMBIENCE|AMBIENCE,atmosphere|relaxed
37,38,"great place, great value.",AMBIENCE|VALUE,VALUE|VALUE|VALUE|VALUE,great|great|place|value
38,39,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,VALUE|FOOD|FOOD,price|food|reasonably
39,40,the atmosphere is relaxed and casual.,AMBIENCE,AMBIENCE|AMBIENCE,atmosphere|relaxed
40,41,"great place, great value.",AMBIENCE|VALUE,VALUE|VALUE|VALUE|VALUE,great|great|place|value
41,42,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,VALUE|FOOD|FOOD,price|food|reasonably
42,43,the atmosphere is relaxed and casual.,AMBIENCE,AMBIENCE|AMBIENCE,atmosphere|relaxed
43,44,"great place, great value.",AMBIENCE|VALUE,VALUE|VALUE|VALUE|VALUE,great|great|place|value
44,45,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,VALUE|FOOD|FOOD,price|food|reasonably
45,46,the atmosphere is relaxed and casual.,AMBIENCE,AMBIENCE|AMBIENCE,atmosphere|relaxed
46,47,"great place, great value.",AMBIENCE|VALUE,VALUE|VALUE|VALUE|VALUE,great|great|place|value
47,48,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,VALUE|FOOD|FOOD,price|food|reasonably
48,49,the atmosphere is relaxed and casual.,AMBIENCE,AMBIENCE|AMBIENCE,atmosphere|relaxed
49,50,"great place, great value.",AMBIENCE|VALUE,VALUE|VALUE|VALUE|VALUE,great|great|place|value
50,51,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,VALUE|FOOD|FOOD,price|food|reasonably
51,52,the atmosphere is relaxed and casual.,AMBIENCE,AMBIENCE|AMBIENCE,atmosphere|relaxed
52,53,"great place, great value.",AMBIENCE|VALUE,VALUE|VALUE|VALUE|VALUE,great|great|place|value
53,54,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,VALUE|FOOD|FOOD,price|food|reasonably
54,55,the atmosphere is relaxed and casual.,AMBIENCE,AMBIENCE|AMBIENCE,atmosphere|relaxed
55,56,"great place, great value.",AMBIENCE|VALUE,VALUE|VALUE|VALUE|VALUE,great|great|place|value
56,57,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,VALUE|FOOD|FOOD,price|food|reasonably
57,58,the atmosphere is relaxed and casual.,AMBIENCE,AMBIENCE|AMBIENCE,atmosphere|relaxed
58,59,"great place, great value.",AMBIENCE|VALUE,VALUE|VALUE|VALUE|VALUE,great|great|place|value
59,60,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,VALUE|FOOD|FOOD,price|food|reasonably
60,61,the atmosphere is relaxed and casual.,AMBIENCE,AMBIENCE|AMBIENCE,atmosphere|relaxed
61,62,"great place, great value.",AMBIENCE|VALUE,VALUE|VALUE|VALUE|VALUE,great|great|place|value
62,63,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,VALUE|FOOD|FOOD,price|food|reasonably
63,64,the atmosphere is relaxed and casual.,AMBIENCE,AMBIENCE|AMBIENCE,atmosphere|relaxed
64,65,"great place, great value.",AMBIENCE|VALUE,VALUE|VALUE|VALUE|VALUE,great|great|place|value
65,66,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,VALUE|FOOD|FOOD,price|food|reasonably
66,67,the atmosphere is relaxed and casual.,AMBIENCE,AMBIENCE|AMBIENCE,atmosphere|relaxed
67,68,"great place, great value.",AMBIENCE|VALUE,VALUE|VALUE|VALUE|VALUE,great|great|place|value
68,69,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,VALUE|FOOD|FOOD,price|food|reasonably
69,70,the atmosphere is relaxed and casual.,AMBIENCE,AMBIENCE|AMBIENCE,atmosphere|relaxed
70,71,"great place, great value.",AMBIENCE|VALUE,VALUE|VALUE|VALUE|VALUE,great|great|place|value
71,72,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,VALUE|FOOD|FOOD,price|food|reasonably
72,73,the atmosphere is relaxed and casual.,AMBIENCE,AMBIENCE|AMBIENCE,atmosphere|relaxed
73,74,"great place, great value.",AMBIENCE|VALUE,VALUE|VALUE|VALUE|VALUE,great|great|place|value
74,75,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,VALUE|FOOD|FOOD,price|food|reasonably
75,76,the atmosphere is relaxed and casual.,AMBIENCE,AMBIENCE|AMBIENCE,atmosphere|relaxed
76,77,"great place, great value.",AMBIENCE|VALUE,VALUE|VALUE|VALUE|VALUE,great|great|place|value
77,78,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,VALUE|FOOD|FOOD,price|food|reasonably
78,79,the atmosphere is relaxed and casual.,AMBIENCE,AMBIENCE|AMBIENCE,atmosphere|relaxed
79,80,"great place, great value.",AMBIENCE|VALUE,VALUE|VALUE|VALUE|VALUE,great|great|place|value
80,81,"the food is not flavorful, not plentiful and not reasonably price.",FOOD|FOOD|VALUE,VALUE|FOOD|FOOD,price|food|reasonably
81,82,the atmosphere is relaxed and casual.,AMBIENCE,AMBIENCE|AMBIENCE,atmosphere|relaxed
82,83,"great place, great value.",AMBIENCE|VALUE,VALUE|VALUE|VALUE|VALUE,great|great|place|value
83,84,"the food is flavorful, plentiful and reasonably price.",FOOD|FOOD|VALUE,VALUE|FOOD|FOOD,price|food|reasonably
84,85,the atmosphere is relaxed and casual.,AMBIENCE,AMBIENCE|AMBIENCE,atmosphere|relaxed
85,86,"great place, great value.",AMBIENCE|VALUE,VALUE|VALUE|VALUE|VALUE,great|great|place|value
