,opini,sentimen
0,attractive,positive
1,back,positive
2,beautiful,positive
3,bustling,positive
4,casual,positive
5,charming,positive
6,classy,positive
7,clean,positive
8,confortable,positive
9,cool,positive
10,correct,positive
11,cozy,positive
12,crazy,negative
13,cute,positive
14,dark,negative
15,delightful,positive
16,delish,positive
17,dim,negative
18,disappointing,negative
19,enjoyable,positive
20,excellent,positive
21,fabulous,positive
22,free,positive
23,funny,negative
24,good,positive
25,gorgeous,positive
26,great,positive
27,hidden,positive
28,high,positive
29,horrible,negative
30,interior,positive
31,japanese,positive
32,little,positive
33,live,positive
34,lively,positive
35,loud,negative
36,lovely,positive
37,magnificent,positive
38,more,negative
39,much,positive
40,nice,positive
41,noisy,negative
42,other,positive
43,outdoor,positive
44,parisian,positive
45,peaceful,positive
46,perfect,positive
47,perfecttheyre,positive
48,pleasant,positive
49,quiet,positive
50,reasonable,positive
51,refreshing,positive
52,romantic,positive
53,simple,positive
54,sleek,positive
55,small,positive
56,sohovillageupper,positive
57,special,positive
58,tiny,negative
59,trendy,positive
60,typical,negative
61,un,negative
62,uncomfortable,negative
63,upscale,positive
64,vibrant,positive
65,warm,positive
66,wonderful,positive
67,wooden,negative
68,worth,positive
