,opini,sentimen
0,above,positive
1,acceptable,negative
2,amazing,positive
3,ashamed,negative
4,authentic,negative
5,average,positive
6,averagethe,negative
7,awesome,negative
8,bad,negative
9,best,negative
10,better,negative
11,big,positive
12,bland,negative
13,boring,positive
14,cheap,positive
15,chinese,positive
16,cold,negative
17,crunchy,negative
18,delicious,positive
19,delicous,negative
20,dissapointing,negative
21,edible,negative
22,empty,positive
23,excellent,positive
24,exceptional,negative
25,exotic,positive
26,expensive,positive
27,extensive,positive
28,fancy,positive
29,fantastic,positive
30,fast,positive
31,fine,negative
32,fishy,negative
33,flavorful,negative
34,flavorless,negative
35,free,negative
36,fresh,positive
37,fried,positive
38,friendly,positive
39,good,positive
40,goodbut,positive
41,great,positive
42,greatest,positive
43,heavenly,negative
44,horrible,negative
45,huge,positive
46,incredible,positive
47,indian,positive
48,inedible,negative
49,innovative,negative
50,interesting,positive
51,japanese,negative
52,less,negative
53,little,positive
54,lousy,positive
55,many,positive
56,more,positive
57,mortal,negative
58,most,positive
59,much,negative
60,nasty,negative
61,nice,positive
62,only,positive
63,organic,negative
64,other,positive
65,phenomenal,positive
66,plain,positive
67,possible,negative
68,prepared,positive
69,pricey,negative
70,purple,negative
71,reasonable,positive
72,rough,positive
73,rude,positive
74,simple,negative
75,soggy,positive
76,solid,positive
77,special,positive
78,speedy,positive
79,stale,positive
80,such,positive
81,superb,negative
82,sure,positive
83,taiwanese,positive
84,tasty,positive
85,terrific,positive
86,thai,negative
87,thailand,positive
88,timely,negative
89,trendy,positive
90,uni,negative
91,unusual,positive
92,upstate,positive
93,weird,negative
94,welll,negative
95,wonderful,negative
96,worth,positive
97,yummy,negative
