,opini,sentimen
0,affordable,positive
1,amazing,positive
2,average,positive
3,beat,negative
4,best,positive
5,cheap,negative
6,deff,negative
7,enough,positive
8,extensive,positive
9,fair,positive
10,good,positive
11,great,positive
12,high,negative
13,horrible,negative
14,incredible,positive
15,indian,positive
16,interesting,positive
17,mortal,negative
18,only,negative
19,overpriced,negative
20,plentiful,positive
21,pricey,negative
22,reasonable,positive
23,tasteless,negative
24,terrific,positive
25,welll,positive
26,wonderful,positive
27,worth,positive
