,opini,sentimen
0,2nd,negative
1,arrogant,negative
2,attentive,positive
3,awful,negative
4,bad,negative
5,best,positive
6,better,positive
7,boarderline,negative
8,cheap,negative
9,clumsy,negative
10,comfortable,positive
11,concerned,negative
12,counter,negative
13,delicious,positive
14,delicous,negative
15,empty,negative
16,excellent,positive
17,exceptional,positive
18,extensive,negative
19,fantastic,positive
20,fast,positive
21,few,negative
22,friendlier,negative
23,friendliest,negative
24,friendly,positive
25,good,positive
26,great,positive
27,helpful,positive
28,horrible,negative
29,impeccable,positive
30,japanese,negative
31,little,positive
32,long,positive
33,much,positive
34,nice,positive
35,noir,positive
36,noisy,negative
37,ok,negative
38,okay,negative
39,only,positive
40,open,negative
41,patient,positive
42,perfecttheyre,positive
43,pleasant,positive
44,poor,negative
45,prepared,positive
46,present,positive
47,professional,positive
48,prompt,positive
49,proper,positive
50,purple,negative
51,quick,positive
52,rude,negative
53,sensual,negative
54,short,negative
55,slow,negative
56,small,positive
57,special,positive
58,terrible,negative
59,top,positive
60,unappreciative,positive
61,unobtrusive,positive
62,wonderful,positive
63,worst,negative
64,worth,positive
