,id,opinion,sentiment,type
0,0,attractive,negative,-
1,1,back,positive,baru
2,3,bustling,positive,baru
3,4,casual,positive,baru
4,5,charming,negative,-
5,8,confortable,positive,baru
6,12,crazy,positive,-
7,14,dark,positive,-
8,15,delish,positive,baru
9,16,dim,positive,-
10,19,enjoyable,negative,-
11,27,hidden,positive,baru
12,28,high,positive,baru
13,29,interior,positive,baru
14,30,italian,negative,baru
15,31,japanese,positive,baru
16,32,little,positive,baru
17,33,live,positive,baru
18,35,loud,positive,-
19,37,magnificent,negative,-
20,38,more,negative,baru
21,39,much,positive,baru
22,41,noisy,positive,-
23,42,outdoor,positive,baru
24,43,parisian,positive,baru
25,46,perfecttheyre,positive,baru
26,47,personal,positive,baru
27,52,simple,positive,baru
28,53,sleek,negative,-
29,54,small,positive,baru
30,55,soggy,negative,baru
31,56,sohovillageupper,positive,baru
32,57,special,positive,baru
33,58,tiny,negative,baru
34,60,typical,negative,baru
35,61,un,negative,baru
36,63,upscale,negative,-
37,66,wooden,negative,baru
