,id,opinion,sentiment,type
0,0,above,positive,baru
1,1,acceptable,positive,baru
2,4,authentic,negative,-
3,5,average,positive,baru
4,6,averagethe,positive,baru
5,8,bad,positive,-
6,9,baked,positive,baru
7,12,big,positive,baru
8,13,bland,positive,-
9,14,boring,positive,-
10,15,cheap,positive,-
11,16,chinese,positive,baru
12,18,complimentary,negative,-
13,19,crunchy,negative,baru
14,21,delicous,negative,baru
15,22,dissapointing,positive,baru
16,23,edible,negative,baru
17,24,empty,negative,baru
18,26,exceptional,negative,-
19,27,exotic,positive,baru
20,28,expensive,positive,-
21,29,extensive,negative,baru
22,32,fine,negative,-
23,33,fishy,negative,baru
24,34,flavorful,positive,baru
25,35,flavorless,positive,baru
26,38,fried,positive,-
27,41,goodbut,negative,baru
28,43,greatest,negative,-
29,44,heavenly,negative,-
30,46,huge,positive,baru
31,48,indian,positive,baru
32,49,inedible,negative,baru
33,51,innovative,negative,-
34,53,japanese,negative,baru
35,54,less,negative,baru
36,55,little,positive,baru
37,57,many,positive,baru
38,58,more,positive,baru
39,59,mortal,negative,baru
40,60,most,positive,baru
41,61,much,positive,baru
42,64,only,positive,baru
43,65,organic,negative,baru
44,66,other,positive,baru
45,69,plain,negative,baru
46,70,possible,negative,baru
47,71,prepared,positive,baru
48,72,pricey,positive,-
49,73,purple,negative,baru
50,76,rough,positive,-
51,78,simple,positive,baru
52,79,soggy,negative,baru
53,81,special,positive,baru
54,83,such,positive,baru
55,84,superb,negative,-
56,85,sure,positive,baru
57,86,sweet,negative,-
58,87,taiwanese,positive,baru
59,88,tasty,positive,baru
60,90,thai,positive,baru
61,91,thailand,positive,baru
62,94,uni,positive,baru
63,95,unusual,positive,-
64,96,upstate,negative,baru
65,97,welll,positive,baru
66,100,yummy,positive,baru
