,id,opinion,sentiment,type
0,2,average,positive,baru
1,3,beat,negative,baru
2,4,best,negative,-
3,6,cheap,positive,-
4,7,complimentary,negative,-
5,8,deff,negative,baru
6,9,delish,positive,baru
7,11,extensive,positive,baru
8,12,extra,negative,baru
9,13,fair,negative,-
10,14,fishy,negative,baru
11,18,high,negative,baru
12,21,indian,positive,baru
13,23,large,negative,baru
14,24,least,positive,baru
15,25,less,negative,baru
16,26,little,positive,baru
17,27,mortal,negative,baru
18,28,much,positive,baru
19,29,ok,negative,baru
20,30,only,negative,baru
21,31,other,negative,baru
22,33,plain,negative,baru
23,35,pricey,positive,-
24,37,such,positive,baru
25,38,tasteless,negative,baru
26,40,welll,positive,baru
27,41,wonderful,negative,-
