,id,opinion,sentiment,type
0,0,2nd,negative,baru
1,7,boarderline,negative,baru
2,12,counter,negative,baru
3,14,delicous,negative,baru
4,15,empty,negative,baru
5,18,extensive,negative,baru
6,21,few,negative,baru
7,22,friendlier,negative,baru
8,23,friendliest,negative,baru
9,30,japanese,negative,baru
10,31,little,positive,baru
11,32,long,positive,baru
12,33,much,positive,baru
13,35,noir,positive,baru
14,37,ok,negative,baru
15,38,okay,negative,baru
16,39,only,positive,baru
17,40,open,negative,baru
18,42,perfecttheyre,positive,baru
19,45,prepared,positive,baru
20,46,present,positive,baru
21,47,professional,positive,baru
22,50,purple,negative,baru
23,51,quick,positive,baru
24,53,sensual,negative,baru
25,54,short,negative,baru
26,56,small,positive,baru
27,57,special,positive,baru
28,60,unappreciative,positive,baru
29,61,unobtrusive,positive,baru
