,id,review,opinion,label,preprocessed
0,1028246:1,"service was devine, oysters where a sensual as they come, and the price can't be beat!!!",beat,positive,"['service', 'devine', 'oyster', 'sensual', 'come', 'price', 'cant', 'beat']"
1,1064477:4,we took advanatage of the half price sushi deal on saturday so it was well worth it.,well,positive,"['took', 'advanatage', 'half', 'price', 'sushi', 'deal', 'saturday', 'well', 'worth']"
2,1084394:3,the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).,enough,positive,"['prix', 'fixe', 'menu', 'worth', 'every', 'penny', 'get', 'enough', 'quantity', 'quality']"
3,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",fresh,positive,"['', 'much', 'tasty', 'food', 'fresh', 'continually', 'refilled']"
4,1090587:2,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,reasonable,positive,"['add', 'great', 'service', 'great', 'food', 'reasonable', 'price', 'beginning', 'great', 'evening']"
5,1145510:3,"a large is $20, and toppings are about $3 each.",large,negative,"['large', '', 'topping', '']"
6,1189674:4,"great wine selection, gigondas is worth the price, and the house champagne is a great value.",worth,positive,"['great', 'wine', 'selection', 'gigondas', 'worth', 'price', 'house', 'champagne', 'great', 'value']"
7,1212346:4,tiny dessert was $8.00...just plain overpriced for what it is.,overpriced,negative,"['tiny', 'dessert', 'just', 'plain', 'overpriced']"
8,1221938:0,the drinks are always welll made and wine selection is fairly priced.,fairly,positive,"['drink', 'always', 'welll', 'made', 'wine', 'selection', 'fairly', 'priced']"
9,1225162:4,the bar is very well stocked with interesting beers and well priced wines.,well,positive,"['bar', 'well', 'stocked', 'interesting', 'beer', 'well', 'priced', 'wine']"
10,1310217:2,the price is reasonable although the service is poor.,reasonable,positive,"['price', 'reasonable', 'although', 'service', 'poor']"
11,1338124:2,the spicy tuna roll is huge and probably the best that i've had at this price range.,best,positive,"['spicy', 'tuna', 'roll', 'huge', 'probably', 'best', 'ive', 'price', 'range']"
12,1338124:4,"i have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.",limited,negative,"['reservation', 'eat', 'deal', 'however', 'choice', 'fairly', 'limited', 'probably', 'order', 'food', 'eat', 'le', '', 'going', 'menu']"
13,1340075:1,"they have it all -- great price, food, and service.",great,positive,"['great', 'price', 'food', 'service']"
14,1340075:4,"and it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",reasonable,positive,"['come', 'reasonable', 'price', 'congee', 'noodle', 'rice', 'dish', '']"
15,1398844:3,slightly above average wines start at $70+ with only one selection listed at $30+.,average,negative,"['slightly', 'average', 'wine', 'start', '', 'one', 'selection', 'listed', '']"
16,1459569:2,drinks way over priced.,priced,negative,"['drink', 'way', 'priced']"
17,1471273:3,prices too high for this cramped and unappealing resturant.,cramped,negative,"['price', 'high', 'cramped', 'unappealing', 'resturant']"
18,1490757:2,the prices were cheap compared to the quality of service and food.,cheap,positive,"['price', 'cheap', 'compared', 'quality', 'service', 'food']"
19,1506491:0,"i have known about this secret for the last 13 years, emilio(the godfather) has continued to serve food and wine for the gods at mortal prices.",mortal,positive,"['known', 'secret', 'last', '', 'year', 'emiliothe', 'godfather', 'continued', 'serve', 'food', 'wine', 'god', 'mortal', 'price']"
20,1561259:4,"this place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",like,negative,"['place', 'pricey', 'yes', 'food', 'worth', 'service', 'make', 'feel', 'like', 'paying', 'quater', 'price']"
21,1609375:3,"try the pad thai, it's fabulous and their prices are so cheap!",fabulous,positive,"['try', 'pad', 'thai', 'fabulous', 'price', 'cheap']"
22,1609375:4,"just because it's cheap does not mean the portions are small or the food is nasty, it is great!",great,positive,"['cheap', 'mean', 'portion', 'small', 'food', 'nasty', 'great']"
23,1611489:1,"also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",like,negative,"['also', 'sandwich', 'nearing', '', 'come', 'anything', 'like', 'chip', 'side']"
24,1615322:2,they have authentic indian at amazin prices.,authentic,positive,"['authentic', 'indian', 'amazin', 'price']"
25,1632445:4,the only fallback on this restaurant is the prices.,only,negative,"['fallback', 'restaurant', 'price']"
26,1632445:5,"even though its good seafood, the prices are too high.",good,negative,"['even', 'though', 'good', 'seafood', 'price', 'high']"
