,id,review,opinion,label,predict,score
0,1032695:1,"everything is always cooked to perfection, the service is excellent, the decor cool and understated.",perfection,positive,negative,0.0
1,1041457:6,"the decor is night tho...but they really need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",vent,negative,negative,0.0
2,1086478:5,"the ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",nice,positive,negative,-0.375
3,1090587:1,if you've ever been along the river in weehawken you have an idea of the top of view the chart house has to offer.,top,positive,negative,0.0
4,1102681:0,"once you step into cosette, you're miraculously in a small, off-the-beaten path parisian bistro.",miraculously,positive,positive,0.25
5,1102681:1,"this tiny restaurant is as cozy as it gets, with that certain parisian flair.",cozy,positive,negative,-0.25
6,1126814:0,"leon is an east village gem: casual but hip, with well prepared basic french bistro fare, good specials, a warm and lively atmosphere.",lively,positive,negative,0.0
7,1126886:2,"the service is excellent, the decor is great, and the food is delicious and comes in large portions.",excellent,positive,positive,1.0
8,1153034:2,located at the end of a magnificent block.,magnificent,positive,positive,0.5
9,1154550:1,the place is small and cramped but the food is fantastic.,cramped,negative,negative,0.0
10,1189674:0,first went here to enjoy their garden terrace.,enjoy,positive,positive,1.0
11,1199480:0,"not sure where the previous reviewer, lonk, dined, but saul is in a great neighborhood and has great food!",great,positive,positive,0.25
12,1221938:3,downstairs lounge is always a good attraction,good,positive,positive,0.75
13,1225162:0,"raga's is a romantic, cozy restaurant.",cozy,positive,negative,-0.25
14,1230993:1,i loved everythig about it-especially the shows and actors.,loved,positive,positive,0.375
15,1232468:1,the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,cool,positive,positive,0.375
16,1280179:5,"the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",right,positive,negative,0.0
17,1286916:1,"the first time i went, and was completely taken by the live jazz band and atmosphere, i ordered the lobster cobb salad.",live,positive,negative,0.0
18,1289424:4,the place's decor and hidden bathrooms made for a good laugh.,good,positive,positive,0.75
19,1300636:4,"i highly recommend cafe st. bart's for their food, the ambience and wonderful service.",wonderful,positive,positive,0.75
20,1335154:4,"i didn't complain, i liked the atmosphere so much.",liked,positive,positive,0.125
21,1335656:2,"ambience is so cute and quaint, good for business although we were there on vacation.",quaint,positive,negative,-0.5
22,1340075:2,the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,noisy,negative,negative,-0.375
23,1347423:1,"the staff was accomodating, the food was absolutely delicious and the place is lovely.",lovely,positive,positive,0.625
24,1352948:0,the place is a bistro which means: simple dishes and wine served efficiently in a bustling atmosphere.,efficiently,positive,positive,0.25
25,1353599:0,right off the l in brooklyn this is a nice cozy place with good pizza.,cozy,positive,negative,-0.25
26,1357554:4,it's a nice place to relax and have conversation.,nice,positive,positive,0.75
27,1367358:3,"ambience is delightful, service impeccable.",delightful,positive,positive,0.75
28,1380450:2,service was also horrible and the ambience is not that great.,great,negative,positive,0.25
29,1387314:4,it's a small cute restaurant.,cute,positive,positive,0.625
30,1390357:2,"i like the ambience, it's very dark and original.",like,positive,positive,0.25
31,1394712:0,very affordable and excellent ambient!,excellent,positive,positive,1.0
32,1394712:4,"however, i think this place is a good hang out spot.",good,positive,positive,0.75
33,1395421:1,the pizza and wine were excellent-the service too--but what really made this place was the backyard dining area.,excellent,positive,positive,1.0
34,1398844:0,"first of all, this place is *not* romantic, as claimed by citysearch's editorial review.",romantic,negative,negative,0.0
35,1404042:3,"cute place, nice wait staff but would never go there again.",nice,positive,negative,-0.375
36,1413697:2,the place is so cool and the service is prompt and curtious.,cool,positive,positive,0.375
37,1417496:0,a restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,pleasant,positive,positive,0.75
38,1417496:2,the dining room is quietly elegant with no music to shout over -- how refreshing!,refreshing,positive,positive,0.5
39,1439875:1,"the place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",crowded,negative,positive,0.125
40,1451107:0,this place is so much fun.,fun,positive,negative,0.0
41,1457607:0,the place is a lot of fun.,fun,positive,negative,0.0
42,1457607:2,the characters really make for an enjoyable experience.,enjoyable,positive,positive,0.5
43,1471273:4,zero ambiance to boot.,,negative,negative,0.0
44,1476493:2,"the ambience was nice, but service wasn't so great.",nice,positive,positive,0.75
45,1486041:0,"the atmosphere is nothing special, but it feels like a sushi establishment in tokyo.",like,positive,positive,0.25
46,1486041:1,the owner and staff are all japanese as well and that adds to the entire ambiance.,well,positive,positive,0.667
47,1506491:2,check out the secret back room.,check,positive,negative,-0.125
48,1572033:1,decor is nice though service can be spotty.,nice,positive,positive,0.75
49,1611489:3,"eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",disappointing,positive,negative,-0.75
50,1615322:4,the seats are uncomfortable if you are sitting against the wall on wooden benches.,uncomfortable,negative,negative,-0.625
