,id,review,opinion,label,predict
0,1028246:1,"service was devine, oysters where a sensual as they come, and the price can't be beat!!!",beat,positive,negative
1,1064477:4,we took advanatage of the half price sushi deal on saturday so it was well worth it.,well,positive,positive
2,1084394:3,the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).,worth,positive,positive
3,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",fresh,positive,positive
4,1090587:2,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,reasonable,positive,positive
5,1145510:3,"a large is $20, and toppings are about $3 each.",large,negative,positive
6,1189674:4,"great wine selection, gigondas is worth the price, and the house champagne is a great value.",worth,positive,positive
7,1212346:4,tiny dessert was $8.00...just plain overpriced for what it is.,overpriced,negative,negative
8,1221938:0,the drinks are always welll made and wine selection is fairly priced.,fairly,positive,positive
9,1225162:4,the bar is very well stocked with interesting beers and well priced wines.,well,positive,positive
10,1310217:2,the price is reasonable although the service is poor.,reasonable,positive,positive
11,1338124:2,the spicy tuna roll is huge and probably the best that i've had at this price range.,best,positive,positive
12,1338124:4,"i have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.",limited,negative,negative
13,1340075:1,"they have it all -- great price, food, and service.",great,positive,positive
14,1340075:4,"and it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",reasonable,positive,positive
15,1398844:3,slightly above average wines start at $70+ with only one selection listed at $30+.,average,negative,negative
16,1459569:2,drinks way over priced.,priced,negative,negative
17,1471273:3,prices too high for this cramped and unappealing resturant.,cramped,negative,negative
18,1490757:2,the prices were cheap compared to the quality of service and food.,cheap,positive,negative
19,1506491:0,"i have known about this secret for the last 13 years, emilio(the godfather) has continued to serve food and wine for the gods at mortal prices.",mortal,positive,negative
20,1561259:4,"this place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",like,negative,positive
21,1609375:3,"try the pad thai, it's fabulous and their prices are so cheap!",cheap,positive,negative
