,id,review,target,label,predict,term,polarity
0,1014458:3,the wine list is interesting and has many good values.,"wine list,wine list","FOOD,PRICES",AMBIENCE|FOOD|PRICES,many|wine|good,"positive,positive"
1,1028246:1,"service was devine, oysters where a sensual as they come, and the price can't be beat!!!","Service,oysters,NULL","SERVICE,FOOD,PRICES",PRICES|SERVICE|PRICES|FOOD,price|service|devine|oyster,"positive,positive,positive"
2,1064477:4,we took advanatage of the half price sushi deal on saturday so it was well worth it.,"half price sushi deal,half price sushi deal","FOOD,PRICES",PRICES|FOOD|AMBIENCE,price|sushi|well,"positive,positive"
3,1084394:3,the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).,"Prix Fixe menu,Prix Fixe menu,Prix Fixe menu","FOOD,FOOD,PRICES",PRICES|FOOD|PRICES|PRICES,quality|menu|every|ever,"positive,positive,positive"
4,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.","food,food,food","FOOD,FOOD,PRICES",FOOD|AMBIENCE|PRICES,food|there|much,"positive,positive,positive"
5,1090587:2,add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"service,food,food","SERVICE,FOOD,PRICES",PRICES|FOOD|AMBIENCE|AMBIENCE|AMBIENCE|SERVICE|SERVICE|SERVICE|PRICES,price|food|great|great|great|evening|service|even|reasonable,"positive,positive,positive"
6,1119578:1,the pizza is overpriced and soggy.,"pizza,pizza","FOOD,PRICES",PRICES|PRICES,price|priced,"negative,negative"
7,1126814:3,decent wine at reasonable prices.,"wine,wine","FOOD,PRICES",PRICES|FOOD|PRICES,price|wine|reasonable,"neutral,positive"
8,1145510:2,but the pizza is way to expensive.,pizza,PRICES,,,negative
9,1145510:3,"a large is $20, and toppings are about $3 each.","NULL,toppings","PRICES,PRICES",,,"negative,negative"
10,1162037:2,"the atmosphere isn't the greatest , but i suppose that's how they keep the prices down .","atmosphere,NULL","AMBIENCE,PRICES",PRICES|PRICES|AMBIENCE,price|great|atmosphere,"neutral,positive"
