,id,review,target,category,term,polarity
0,1014458:3,The wine list is interesting and has many good values.,"wine list,wine list","FOOD,PRICES",list!interesting|wine!interesting|values!many,"positive,positive"
1,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","Service,oysters,NULL","SERVICE,FOOD,PRICES",price!beat,"positive,positive,positive"
2,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,"half price sushi deal,half price sushi deal","FOOD,PRICES",advanatage!-|half!-|price!-|sushi!-|deal!-|saturday!-,"positive,positive"
3,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,"Prix Fixe menu,Prix Fixe menu,Prix Fixe menu","FOOD,FOOD,PRICES",menu!worth|prix!worth|fixe!worth|penny!more,"positive,positive,positive"
4,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.","food,food,food","FOOD,FOOD,PRICES",food!fresh,"positive,positive,positive"
5,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"service,food,food","SERVICE,FOOD,PRICES",service!great|food!great|price!reasonable|beginning!great|evening!service,"positive,positive,positive"
6,1119578:1,The pizza is overpriced and soggy.,"pizza,pizza","FOOD,PRICES",pizza!-,"negative,negative"
7,1126814:3,Decent wine at reasonable prices.,"wine,wine","FOOD,PRICES",wine!decent|prices!decent,"neutral,positive"
8,1145510:2,But the pizza is way to expensive.,pizza,PRICES,pizza!-|way!-,negative
9,1145510:3,"A large is $20, and toppings are about $3 each.","NULL,toppings","PRICES,PRICES",toppings!-,"negative,negative"
10,1162037:2,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .","atmosphere,NULL","AMBIENCE,PRICES",atmosphere!greatest,"neutral,positive"
11,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.","wine selection,Gigondas,house champagne","FOOD,FOOD,PRICES",selection!great|wine!great|value!great|price!great|champagne!price|house!value,"positive,positive,positive"
12,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,"dessert,dessert","FOOD,PRICES",dessert!tiny,"negative,negative"
13,1221938:0,The drinks are always welll made and wine selection is fairly priced.,"drinks,wine selection","FOOD,PRICES",drinks!welll,"positive,positive"
14,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,"bar,beers,wines","FOOD,FOOD,PRICES",beers!interesting|wines!interesting,"positive,positive,positive"
15,1310217:2,The price is reasonable although the service is poor.,"NULL,service","PRICES,SERVICE",price!reasonable|service!poor,"positive,negative"
16,1338124:0,"This is some really good, inexpensive sushi.","sushi,sushi","FOOD,PRICES",sushi!good,"positive,positive"
17,1338124:2,The spicy Tuna roll is huge and probably the best that I've had at this price range.,"spicy Tuna roll,spicy Tuna roll,spicy Tuna roll","FOOD,FOOD,PRICES",roll!huge|spicy!huge|tuna!huge,"positive,positive,positive"
18,1338124:4,"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.","all you can eat deal,all you can eat deal","FOOD,PRICES",choices!limited|food!more,"negative,negative"
19,1340075:1,"They have it all -- great price, food, and service.","NULL,NULL,food,service","PRICES,FOOD,SERVICE",price!great|food!great|service!great,"positive,positive,positive,positive"
20,1340075:4,"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).","NULL,congee,noodles,rice dishes","PRICES,PRICES,PRICES,PRICES",price!reasonable,"positive,positive,positive,positive"
21,1394712:0,Very affordable and excellent ambient!,"ambient,NULL","AMBIENCE,PRICES",,"positive,positive"
22,1398844:2,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.","tables,menu,wine list","AMBIENCE,FOOD,PRICES",menu!typical|restaurant!menu,"negative,neutral,negative"
23,1398844:3,Slightly above average wines start at $70+ with only one selection listed at $30+.,"wines,wines","FOOD,PRICES",wines!average,"negative,negative"
24,1439875:3,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,"food,prixe fixe tasting menu,prixe fixe tasting menu,NULL","PRICES,FOOD,PRICES,SERVICE",food!greatest|menu!greatest|price!good|price!greatest|allergies!food|prixe!food|fixe!food|tasting!food,"negative,positive,positive,positive"
25,1459569:2,Drinks way over priced.,Drinks,PRICES,drinks!-|way!-,negative
26,1471273:3,Prices too high for this cramped and unappealing resturant.,"resturant,resturant","PRICES,AMBIENCE",resturant!cramped|prices!high,"negative,negative"
27,1490757:2,The prices were CHEAP compared to the quality of service and food.,"NULL,service,food","PRICES,SERVICE,FOOD",prices!cheap|quality!prices,"positive,positive,positive"
28,1506491:0,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.","food,wine,food,wine","FOOD,FOOD,PRICES,PRICES",prices!mortal|gods!mortal|years!last|secret!last,"positive,positive,positive,positive"
29,1538149:0,"I found the food, service and value exceptional everytime I have been there.","food,service,NULL","FOOD,SERVICE,PRICES",everytime!exceptional|food!exceptional|service!food|value!food,"positive,positive,positive"
30,1561259:4,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.","place,food,service","PRICES,FOOD,SERVICE",place!pricey|food!worth,"negative,positive,negative"
31,1572027:3,I ate here a week ago and found most dishes average at best and too expensive.,"dishes,dishes","FOOD,PRICES",dishes!average,"negative,negative"
32,1609375:3,"Try the Pad Thai, it's fabulous and their prices are so cheap!","Pad Thai,NULL","FOOD,PRICES",prices!cheap,"positive,positive"
33,1609375:4,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!","portions,food,NULL","FOOD,FOOD,PRICES",food!nasty|portions!small,"positive,positive,positive"
34,1611489:1,"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.","sandwiches,sandwiches","FOOD,PRICES",sandwiches!-|anything!-|chips!-|side!-,"negative,negative"
35,1615322:2,They have authentic Indian at amazin prices.,"Indian,Indian","FOOD,PRICES",prices!authentic,"positive,positive"
36,1632445:4,The only fallback on this restaurant is the prices.,restaurant,PRICES,fallback!only|prices!only|restaurant!prices,negative
37,1632445:5,"Even though its good seafood, the prices are too high.","seafood,seafood","FOOD,PRICES",seafood!good|prices!high,"positive,negative"
38,1632445:6,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.,"lobster sandwich,lobster sandwich,lobster sandwich","FOOD,FOOD,PRICES",lobster!-|sandwich!-|price!-,"positive,negative,negative"
39,1649025:2,The food is so cheap and the waiters are nice.,"food,waiters","PRICES,SERVICE",food!cheap|waiters!nice,"positive,positive"
40,1655504:1,Cheese plate is a varied delight and great bargain at $10.,"Cheese plate,Cheese plate,Cheese plate","FOOD,FOOD,PRICES",plate!delight|cheese!delight|bargain!plate|delight!bargain,"positive,positive,positive"
41,1655504:4,Wine list is extensive without being over-priced.,"Wine list,Wine list","FOOD,PRICES",list!extensive|wine!extensive,"positive,positive"
42,1655521:2,"The food was very good, a great deal, and the place its self was great.","food,food,place","FOOD,PRICES,AMBIENCE",food!good|deal!great|place!food|self!great,"positive,positive,positive"
43,1661757:2,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.","ambience,NULL,food","AMBIENCE,PRICES,FOOD",ambience!fun|prices!great|fun!prices|food!tasty|top!fun|fact!food,"positive,positive,positive"
44,1671113:1,The food is great and reasonably priced.,"food,food","FOOD,PRICES",food!great,"positive,positive"
45,1727363:1,This is a wonderful place on all stand points especially value ofr money.,"place,place",PRICES,place!wonderful|points!wonderful,"positive,positive"
46,1748813:1,All of the pizzas are terrific and the price is even better!,"pizzas,pizzas","FOOD,PRICES",price!better|pizzas!terrific,"positive,positive"
47,404464:3,I expected quite a bit more from such an expensive menu.,"menu,menu","PRICES,FOOD",menu!expensive,"negative,negative"
48,426930:0,Authentic Taiwanese food that's cheap... what more could you ask for?,"Taiwanese food,Taiwanese food","FOOD,PRICES",food!authentic,"positive,positive"
49,436868:2,"The sandwiches are dry, tasteless and way overpriced.","sandwiches,sandwiches","FOOD,PRICES",sandwiches!dry,"negative,negative"
50,454704:2,This place is not worth the prices.,"place,place",PRICES,place!worth|prices!place,"negative,negative"
51,475298:2,Food is great and inexpensive.,"Food,Food","FOOD,PRICES",food!great,"positive,positive"
52,475512:3,If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,"bottle minimun,music","PRICES,AMBIENCE",music!blasted|isnt!music,"negative,negative"
53,483111:1,The food is reliable and the price is moderate.,"food,NULL","FOOD,PRICES",food!reliable|price!moderate,"positive,neutral"
54,490565:4,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.","martini,martini,martini,Vanilla Shanty,setting,music","FOOD,FOOD,PRICES,FOOD,AMBIENCE,AMBIENCE",shanty!recommend|vanilla!recommend|setting!great|music!great|mmmm!shanty,"positive,positive,positive,positive,positive,positive"
55,493013:1,"Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.","location,Suan","AMBIENCE,PRICES",location!good|college!near|hutner!near|fact!location|prices!reasonable,"positive,positive"
56,498657:2,"The rest of the dim sum, though pricey by Chinatown standards, is worth it.","dim sum,dim sum","PRICES,FOOD",rest!worth|sum!worth,"negative,positive"
57,505535:0,this little place has a cute interior decor and affordable city prices.,"interior decor,place","AMBIENCE,PRICES",decor!cute|prices!cute|place!little|city!affordable,"positive,positive"
58,507937:2,Spreads and toppings are great - though a bit pricey.,"Spreads,toppings,Spreads,toppings","FOOD,FOOD,PRICES,PRICES",spreads!great|toppings!great,"positive,positive,negative,negative"
59,512294:0,"Great food, great prices, great service.","food,NULL,service","FOOD,PRICES,SERVICE",food!great|prices!great|service!great|service!great,"positive,positive,positive"
60,512294:1,"If you are looking for a good quality, cheap eats - this is the place.","eats,eats","FOOD,PRICES",quality!good|place!cheap,"positive,positive"
61,527109:3,The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,"wine list,meal","FOOD,PRICES",list!extensive|wine!extensive,"positive,positive"
62,527109:4,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...","NULL,measures of liquers","PRICES,FOOD",measures!quibbles|liquers!pour-your-own|quibbles!off-set|bill!off-set,"neutral,positive"
63,558423:4,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.","food,decor,food","FOOD,AMBIENCE,PRICES",food!great|price!great|place!beat,"positive,neutral,positive"
64,565344:1,This little place definitely exceeded my expectations and you sure get a lot of food for your money.,"food,place,food","FOOD,PRICES",place!exceeded|expectations!exceeded,"positive,positive,positive"
65,584025:2,The food is great and they have a good selecion of wines at reasonable prices.,"food,selecion of wines,selecion of wines","FOOD,FOOD,PRICES",food!great|wines!good|selecion!good|prices!selecion,"positive,positive,positive"
66,620892:3,Ravioli was good...but I have to say that I found everything a bit overpriced.,"Ravioli,NULL","FOOD,PRICES",ravioli!good|everything!overpriced|bit!everything,"positive,negative"
67,620892:6,"Food was just average...if they lowered the prices just a bit, it would be a bigger draw.","Food,Food","FOOD,PRICES",food!average|draw!food,"neutral,negative"
68,624715:0,This place is a great bargain.,place,PRICES,place!bargain,positive
69,624715:4,"Just straight up cheap, good food.","food,food","FOOD,PRICES",food!good,"positive,positive"
