,opini,sentimen
0,6th,positive
1,affordable,positive
2,attraction,positive
3,attractive,negative
4,back,positive
5,band,negative
6,beautiful,positive
7,best,positive
8,breathtaking,positive
9,casual,positive
10,character,positive
11,charming,negative
12,classy,positive
13,clean,positive
14,cool,positive
15,cozy,positive
16,cute,positive
17,delightful,positive
18,dim,positive
19,elegant,positive
20,enjoy,positive
21,experience,negative
22,fabulous,positive
23,fare,positive
24,feel,positive
25,food,positive
26,fun,positive
27,ghetto,negative
28,good,positive
29,great,positive
30,hang,positive
31,hidden,positive
32,intimate,positive
33,italian,negative
34,japanese,positive
35,kills,positive
36,like,positive
37,liked,negative
38,little,positive
39,location,positive
40,love,positive
41,lovely,positive
42,magnificent,negative
43,main,positive
44,more,negative
45,nice,positive
46,noisy,positive
47,nothing,positive
48,perfect,positive
49,pleasant,negative
50,quiet,positive
51,recommend,positive
52,relaxed,positive
53,right,positive
54,romantic,positive
55,several,positive
56,simple,positive
57,small,positive
58,soho/village/upper,negative
59,solid,positive
60,special,positive
61,spectacular,negative
62,time,positive
63,top,positive
64,typical,negative
65,unattractive,negative
66,uncomfortable,negative
67,upscale,negative
68,vibrant,positive
69,warm,positive
70,warmer,positive
71,wonderful,positive
