,opini,sentimen
0,amazing,negative
1,authentic,negative
2,average,positive
3,awesome,positive
4,bargain,positive
5,best,positive
6,bland,negative
7,cheap,positive
8,chicken,negative
9,cold,negative
10,consistently,positive
11,delicious,negative
12,delight,positive
13,dog,positive
14,dry,negative
15,enjoy,negative
16,ever-changing,negative
17,excellent,positive
18,exceptional,negative
19,expensive,positive
20,extensive,positive
21,fancy,positive
22,flavor,negative
23,flavorful,negative
24,food,positive
25,fresh,positive
26,fried,positive
27,gem,positive
28,good,positive
29,greasy,positive
30,great,positive
31,greatest,positive
32,heavenly,negative
33,horrible,negative
34,hot,positive
35,huge,positive
36,incredible,positive
37,indian,positive
38,interesting,positive
39,japanese,negative
40,kimchi,positive
41,large,positive
42,last,negative
43,leon,positive
44,like,positive
45,limited,negative
46,loud,negative
47,lousy,negative
48,menu,positive
49,menus,negative
50,more,positive
51,mortal,negative
52,much,negative
53,nasty,negative
54,only,negative
55,overpriced,positive
56,phenomenal,positive
57,portion,negative
58,prepared,positive
59,pretty,negative
60,price,positive
61,prices,positive
62,reasonable,positive
63,recommend,positive
64,salad,positive
65,service,positive
66,shanty,positive
67,shrimp,positive
68,side,positive
69,small,negative
70,solid,positive
71,stale,positive
72,super-fresh,negative
73,tasty,positive
74,tempura,positive
75,terrific,positive
76,tiny,positive
77,trendy,positive
78,unusual,positive
79,watery,negative
80,well,positive
81,welll,negative
82,worth,positive
83,yummy,negative
