,opini,sentimen
0,amazing,positive
1,authentic,negative
2,average,negative
3,awesome,positive
4,bargain,positive
5,best,negative
6,bland,positive
7,cheap,positive
8,chicken,positive
9,cold,negative
10,consistently,negative
11,delicious,positive
12,delight,positive
13,dog,positive
14,dry,negative
15,enjoy,negative
16,ever-changing,negative
17,excellent,positive
18,exceptional,negative
19,expensive,positive
20,extensive,negative
21,fancy,positive
22,flavor,negative
23,flavorful,positive
24,food,positive
25,fresh,positive
26,fried,positive
27,gem,positive
28,good,positive
29,greasy,negative
30,great,positive
31,greatest,negative
32,heavenly,negative
33,horrible,negative
34,hot,negative
35,huge,positive
36,incredible,positive
37,indian,positive
38,interesting,positive
39,japanese,negative
40,kimchi,positive
41,large,positive
42,last,negative
43,leon,positive
44,like,positive
45,limited,positive
46,loud,negative
47,lousy,positive
48,menu,positive
49,menus,negative
50,more,negative
51,mortal,negative
52,much,positive
53,nasty,negative
54,only,positive
55,overpriced,negative
56,phenomenal,positive
57,portion,positive
58,prepared,positive
59,pretty,positive
60,price,positive
61,prices,positive
62,reasonable,positive
63,recommend,positive
64,salad,positive
65,service,positive
66,shanty,positive
67,shrimp,positive
68,side,positive
69,small,negative
70,solid,positive
71,stale,negative
72,super-fresh,negative
73,tasty,positive
74,tempura,positive
75,terrific,positive
76,tiny,negative
77,trendy,positive
78,unusual,positive
79,watery,negative
80,well,positive
81,welll,positive
82,worth,positive
83,yummy,positive
