,opini,sentimen
0,authentic,negative
1,average,positive
2,bad,negative
3,beat,negative
4,better,positive
5,bland,negative
6,cheap,positive
7,complimentary,negative
8,cute,positive
9,diner,negative
10,drinks,positive
11,empy,positive
12,exceeded,negative
13,excellent,positive
14,fair,negative
15,food,positive
16,fresh,negative
17,good,positive
18,great,positive
19,helpful,negative
20,high,negative
21,horrible,negative
22,huge,positive
23,incredible,positive
24,inedible,negative
25,large,negative
26,like,positive
27,limited,positive
28,many,negative
29,more,positive
30,mortal,negative
31,nice,positive
32,ok,negative
33,only,negative
34,other,negative
35,overpriced,negative
36,place,positive
37,plate,positive
38,prices,positive
39,reasonable,positive
40,recommend,positive
41,selecion,positive
42,side,positive
43,speedy,positive
44,super,positive
45,wasted,negative
46,well,negative
47,wonderful,negative
48,worth,positive
