,opini,sentimen
0,attentive,positive
1,awful,negative
2,bad,negative
3,best,negative
4,better,negative
5,clumsy,positive
6,complained,negative
7,concerned,positive
8,cool,negative
9,crew,positive
10,cute,positive
11,enjoy,positive
12,enjoying,negative
13,excellent,positive
14,exceptional,negative
15,extensive,negative
16,fast,positive
17,food,positive
18,friendlier,negative
19,friendliest,negative
20,friendly,positive
21,good,positive
22,great,positive
23,helpful,positive
24,horrible,negative
25,impeccable,negative
26,intimate,positive
27,intimidate,negative
28,ive,negative
29,last,negative
30,like,positive
31,long,negative
32,meal,positive
33,menus,negative
34,new,negative
35,nice,negative
36,nonsense,negative
37,ok,negative
38,okay,negative
39,overpriced,positive
40,patient,negative
41,pleasant,positive
42,poor,positive
43,professional,negative
44,prompt,positive
45,promptly,positive
46,proper,negative
47,quick,negative
48,restaurant,positive
49,rude,negative
50,sandwich,negative
51,service,positive
52,slow,positive
53,small,positive
54,smile,positive
55,speedy,negative
56,spotty,positive
57,style,negative
58,taste,negative
59,terrible,negative
60,times,negative
61,top,negative
62,trouble,negative
63,typical,negative
64,unattractive,negative
65,winnie,positive
66,worst,negative
