,id,review,opinion,label,preprocessed
0,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,great,positive,"['add', 'great', 'service', 'great', 'food', 'reasonable', 'price', 'beginning', 'great', 'evening']"
1,1310217:2,The price is reasonable although the service is poor.,poor,negative,"['price', 'reasonable', 'although', 'service', 'poor']"
2,1340075:1,"They have it all -- great price, food, and service.",great,positive,"['great', 'price', 'food', 'service']"
3,1538149:0,"I found the food, service and value exceptional everytime I have been there.",exceptional|food,positive,"['found', 'food', 'service', 'value', 'exceptional', 'everytime']"
4,1649025:2,The food is so cheap and the waiters are nice.,nice,positive,"['food', 'cheap', 'waiter', 'nice']"
5,512294:0,"Great food, great prices, great service.",great|great,positive,"['great', 'food', 'great', 'price', 'great', 'service']"
6,735448:2,"good music, great food, speedy service affordable prices.",speedy,positive,"['good', 'music', 'great', 'food', 'speedy', 'service', 'affordable', 'price']"
7,744478:1,"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!",restaurant,positive,"['fabulous', 'decor', 'make', 'feel', 'like', 'trendy', 'manhattan', 'restaurant', 'good', 'food', 'cheaplypriced', 'generally', 'friendly', 'staff', 'manhattanite', 'spend', 'time', 'manhattan', 'rice', 'avenue', 'make', 'feel', 'homevery', 'sohovillageupper', 'west', 'side', 'minus', 'expensive', 'price', 'pretentious', 'clienteleall', 'roosevelt', 'avenue']"
8,746254:4,"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",overpriced|clumsy,negative,"['many', 'good', 'restaurant', 'uws', 'need', 'overpriced', 'food', 'absurdly', 'arrogant', 'waitstaff', 'recognize', 'work', 'glorified', 'diner', 'clumsy', 'service', 'management', 'care']"
9,751493:0,I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.,new,negative,"['relatively', 'new', 'area', 'tried', 'pick', 'bgel', 'nd', 'disappointed', 'service', 'thought', 'food', 'overated', 'pricey', 'side']"
10,TM#5:3,Helpful service and average price per dish $10.,helpful,positive,"['helpful', 'service', 'average', 'price', 'per', 'dish', '']"
11,TFS#5:30,"Service was just ok, it is not what you'd expect for $500.",ok,negative,"['service', 'ok', 'expect', '']"
12,CLF#6:5,"They are extremely rude, not even apologizing for the horrible service we got and handing us a bill well over $500 for some drinks adn their pita bread!",horrible,negative,"['extremely', 'rude', 'even', 'apologizing', 'horrible', 'service', 'got', 'handing', 'u', 'bill', 'well', '', 'drink', 'adn', 'pita', 'bread']"
13,DBG#6:7,"The meat is fresh, the sauces are great, you get kimchi and a salad free with your meal and service is good too.",meal,positive,"['meat', 'fresh', 'sauce', 'great', 'get', 'kimchi', 'salad', 'free', 'meal', 'service', 'good']"
14,BFC#7:11,"Considering you will spend at least $60 a head, I expect better service. ",better,negative,"['considering', 'spend', 'least', '', 'head', 'expect', 'better', 'service']"
15,CLF#8:9,Can’t believe how an expensive NYC restaurant can be so disrespectful to its clients.,restaurant,negative,"['', 'believe', 'expensive', 'nyc', 'restaurant', 'disrespectful', 'client']"
16,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,ive,negative,"['ive', 'asked', 'cart', 'attendant', 'lotus', 'leaf', 'wrapped', 'rice', 'replied', 'back', 'rice', 'walked', 'away']"
17,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",excellent,positive,"['everything', 'always', 'cooked', 'perfection', 'service', 'excellent', 'decor', 'cool', 'understated']"
18,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",extensive,positive,"['sake', 'list', 'extensive', 'looking', 'purple', 'haze', 'listed', 'made', 'u', 'upon', 'request']"
19,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,great,positive,"['went', 'around', '', 'friday', 'died', 'bit', 'service', 'great']"
20,1055910:3,Service- friendly and attentive.,friendly,positive,"['service', 'friendly', 'attentive']"
21,1058221:3,"however, it's the service that leaves a bad taste in my mouth.",taste,negative,"['however', 'service', 'leaf', 'bad', 'taste', 'mouth']"
22,1058221:4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",intimidate,negative,"['happen', 'policy', 'go', 'along', 'little', 'bit', 'selfrespect', 'includes', 'letting', 'waiter', 'intimidate', 'ie', 'make', 'feel', 'bad', 'asking', 'triviality', 'like', 'water', 'check']"
23,1062641:3,Service is top notch.,top|top,positive,"['service', 'top', 'notch']"
24,1074868:4,The food was well prepared and the service impecable.,food,positive,"['food', 'well', 'prepared', 'service', 'impecable']"
25,1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.",nice,negative,"['service', 'varys', 'day', 'day', 'sometimes', 'theyre', 'nice', 'sometimes']"
26,1125284:2,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",menus,positive,"['sign', 'special', 'menu', 'food', 'even', 'waitstaff', 'totally', 'japanese']"
27,1126814:1,"My wife and I always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.",enjoy,positive,"['wife', 'always', 'enjoy', 'young', 'always', 'well', 'trained', 'nevertheless', 'friendly', 'staff', 'story']"
28,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",excellent,positive,"['service', 'excellent', 'decor', 'great', 'food', 'delicious', 'come', 'large', 'portion']"
29,1131595:2,The hostess is rude to the point of being offensive.,rude,negative,"['hostess', 'rude', 'point', 'offensive']"
30,1138996:1,"We have been to this place many times, and always have great food, wine, and service.",food,positive,"['place', 'many', 'time', 'always', 'great', 'food', 'wine', 'service']"
31,1138996:2,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",trouble,positive,"['worried', 'would', 'trouble', 'getting', 'somehow', 'managed', 'short', 'wait']"
32,1138996:4,"When we sat, we got great and fast service.",great,positive,"['sat', 'got', 'great', 'fast', 'service']"
33,1147211:2,The waitress was very patient with us and the food is phenomenal!,patient,positive,"['waitress', 'patient', 'u', 'food', 'phenomenal']"
34,1147211:3,"Service was prompt, friendly and great.",prompt,positive,"['service', 'prompt', 'friendly', 'great']"
35,1153034:0,Great pizza and fantastic service.,great,positive,"['great', 'pizza', 'fantastic', 'service']"
36,1153034:1,"There was a small wait, but shorter than I expected.",small,positive,"['small', 'wait', 'shorter', 'expected']"
37,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,intimate,positive,"['id', 'highly', 'recommend', 'special', 'occasion', 'provides', 'intimate', 'setting', 'nice', 'service']"
38,1225162:3,The staff is incredibly helpful and attentive.,helpful,positive,"['staff', 'incredibly', 'helpful', 'attentive']"
39,1227999:1,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...",-|-,negative,"['waitress', 'moved', 'table', 'practically', 'bathroom', 'asked', 'cancel', 'dinner', 'order', 'want', 'eat', 'sitting', 'toilet', 'told']"
40,1230993:2,Our server was very helpful and friendly.,helpful,positive,"['server', 'helpful', 'friendly']"
41,1232468:3,Service was prompt and courteous.,prompt,positive,"['service', 'prompt', 'courteous']"
42,1269216:1,The staff is no nonsense.,nonsense,positive,"['staff', 'nonsense']"
43,1280166:1,"Service was very good - prompt, attentive and non-intrusive.",good,positive,"['service', 'good', 'prompt', 'attentive', 'nonintrusive']"
44,1289424:3,The server was really cool and served us our food and drinks with a smile.,cool,positive,"['server', 'really', 'cool', 'served', 'u', 'food', 'drink', 'smile']"
45,1303888:0,All the staff is absolutely professional!! ,professional,positive,"['staff', 'absolutely', 'professional']"
46,1308557:0,The service was the only thing good about this restaurant.,good,positive,"['service', 'thing', 'good', 'restaurant']"
47,1347423:2,We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.,sure|sure,positive,"['even', 'visit', 'manager', 'wanted', 'make', 'sure', 'enjoying']"
48,1380450:2,Service was also horrible and the ambience is not that great.,horrible,negative,"['service', 'also', 'horrible', 'ambience', 'great']"
49,1398844:4,Service is not what one would expect from a joint in this price category.,-,negative,"['service', 'one', 'would', 'expect', 'joint', 'price', 'category']"
50,1398844:6,Somehow working the italian charm with constant mille grazie does not constitute proper service.,proper,negative,"['somehow', 'working', 'italian', 'charm', 'constant', 'mille', 'grazie', 'constitute', 'proper', 'service']"
51,1404042:3,"Cute place, nice wait staff but would never go there again.",cute|nice,positive,"['cute', 'place', 'nice', 'wait', 'staff', 'would', 'never', 'go']"
52,1413697:2,The place is so cool and the service is prompt and curtious.,prompt,positive,"['place', 'cool', 'service', 'prompt', 'curtious']"
53,1417496:3,"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.",impeccable,positive,"['service', 'impeccable', 'unobtrusive', 'staff', 'know', 'know', 'menu', 'present', 'meal', 'attend', 'need']"
54,1430994:0,The view is breathtaking the service is top notch... the ambiance is wonderfull.,top|top,positive,"['view', 'breathtaking', 'service', 'top', 'notch', 'ambiance', 'wonderfull']"
55,1430994:1,The staff offers impeccable service.,impeccable|service,positive,"['staff', 'offer', 'impeccable', 'service']"
56,1439875:1,"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",excellent,positive,"['place', 'small', 'intimate', 'may', 'feel', 'little', 'crowded', 'service', 'excellent', 'great', 'friend', 'romantic', 'date', 'special', 'occassion']"
57,1451107:6,The staff was the friendliest that have seen in New York.,friendliest,positive,"['staff', 'friendliest', 'seen', 'new', 'york']"
58,1459569:1,Service was slow had to wait to order and get food although not crowded.,slow,negative,"['service', 'slow', 'wait', 'order', 'get', 'food', 'although', 'crowded']"
59,1460715:1,Service was quick.,quick,positive,"['service', 'quick']"
60,1476493:2,"The ambience was nice, but service wasn't so great.",great,negative,"['ambience', 'nice', 'service', 'great']"
61,1538149:3,The service was excellent - friendly and attentive.,excellent,positive,"['service', 'excellent', 'friendly', 'attentive']"
62,1543345:3,Great staff.,great,positive,"['great', 'staff']"
63,1543345:4,Always great service!,great,positive,"['always', 'great', 'service']"
64,1561259:1,But the staff was so horrible to us.,horrible,negative,"['staff', 'horrible', 'u']"
65,1561259:2,The hostess and the waitress were incredibly rude and did everything they could to rush us out.,rude|rude,negative,"['hostess', 'waitress', 'incredibly', 'rude', 'everything', 'could', 'rush', 'u']"
66,1561259:3,We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,-|-,negative,"['planning', 'get', 'dessert', 'waitress', 'basically', 'bill', 'u', 'chance', 'order']"
67,1572033:1,Decor is nice though service can be spotty.,spotty,negative,"['decor', 'nice', 'though', 'service', 'spotty']"
68,1603698:2,"Both times I was extremely dissappointed by the service, which was boarderline rude.",times,negative,"['time', 'extremely', 'dissappointed', 'service', 'boarderline', 'rude']"
69,1606837:2,The service was attentive.,attentive,positive,"['service', 'attentive']"
70,1609375:2,"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",rude,negative,"['svc', 'bit', 'rude', 'time', 'esp', 'big', 'group', 'overall', 'restaurant', 'must']"
71,1623276:0,Patroon features a nice cigar bar and has great staff.,nice|great,positive,"['patroon', 'feature', 'nice', 'cigar', 'bar', 'great', 'staff']"
72,1626564:3,Waitstaff are very friendly.,friendly,positive,"['waitstaff', 'friendly']"
73,1632445:3,The service is good and ambience is good for a date or group outing.,good,positive,"['service', 'good', 'ambience', 'good', 'date', 'group', 'outing']"
74,1632929:5,Truly the mark of an attentive waiter.,attentive,positive,"['truly', 'mark', 'attentive', 'waiter']"
75,1660047:1,"The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.",terrible,negative,"['service', 'terrible', 'wait', 'everything', 'ask', 'several', 'different', 'people', 'thing', 'allowed', 'served']"
76,1660047:2,"The waitress, seems to be more concerned of looking good than actually waitressing.",concerned|concerned,negative,"['waitress', 'seems', 'concerned', 'looking', 'good', 'actually', 'waitressing']"
77,1660047:4,"We did tip, I guess the model/waitress just wanted more and complained to the manager.",more,negative,"['tip', 'guess', 'modelwaitress', 'wanted', 'complained', 'manager']"
78,1660047:5,"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.",good,negative,"['whole', 'set', 'truly', 'unprofessional', 'wish', 'cafe', 'noir', 'would', 'get', 'good', 'staff', 'despite', 'current', 'one', 'great', 'place']"
79,1662726:0,I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,worst|worst,negative,"['week', 'back', 'worst', 'customer', 'service', 'experience', 'restaurant', 'ever']"
80,1662726:1,"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",much|much|much|much,negative,"['gentleman', 'maybe', 'manager', 'came', 'table', 'without', 'much', 'smile', 'greeting', 'asked', 'order']"
81,1671113:2,"I have tried to make reservations, but both times, the hostess didn't have my name.",-|-,negative,"['tried', 'make', 'reservation', 'time', 'hostess', 'name']"
82,1700205:2,"Considering we were the last patrons there and it was after the closing time, the waitstaff did not rush us at all and made us feel comfortable and relaxed.",last|last,positive,"['considering', 'last', 'patron', 'closing', 'time', 'waitstaff', 'rush', 'u', 'made', 'u', 'feel', 'comfortable', 'relaxed']"
83,1702257:3,Friendly staff that actually lets you enjoy your meal and the company you're with.,friendly,positive,"['friendly', 'staff', 'actually', 'let', 'enjoy', 'meal', 'company']"
84,1707201:3,but the service was a bit slow.,slow,negative,"['service', 'bit', 'slow']"
85,1707741:3,Service was also very good.,good,positive,"['service', 'also', 'good']"
86,1727363:2,An excellent service,excellent,positive,"['excellent', 'service']"
87,1728733:1,We were greeted promptly by the waiter who was very nice and cordial.,nice,positive,"['greeted', 'promptly', 'waiter', 'nice', 'cordial']"
88,1748839:1,"Immediately after we paid, the waiter took the money and said, okay, you guys are outta here.",okay|okay,negative,"['immediately', 'paid', 'waiter', 'took', 'money', 'said', 'okay', 'guy', 'outta']"
89,430342:1,"Kind, attentive wait staff.",attentive|attentive,positive,"['kind', 'attentive', 'wait', 'staff']"
90,433878:3,The counter service is bad.,bad,negative,"['counter', 'service', 'bad']"
91,436868:3,"Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.",unattractive|style,negative,"['calling', 'place', 'hampton', 'chutney', 'co', 'warn', 'folk', 'offer', 'style', 'substance', 'unattractive', 'room', 'unhelpful', 'clerk', 'dearth', 'former']"
92,449802:5,But who says Murray's is anything about service.,-,negative,"['say', 'murray', 'anything', 'service']"
93,454704:1,The service is awful.,awful,negative,"['service', 'awful']"
94,464342:1,I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,sandwich,negative,"['asked', 'open', 'faced', 'cheese', 'sandwich', 'manager', 'basically', 'told', 'take', 'business', 'elsewhere']"
95,475298:0,"Good, fast service.",good,positive,"['good', 'fast', 'service']"
96,483111:0,Winnie and her staff are the best crew you can find serving you.,best|winnie|crew,positive,"['winnie', 'staff', 'best', 'crew', 'find', 'serving']"
97,485767:1,"The service was attentive, yet discreet.",attentive,positive,"['service', 'attentive', 'yet', 'discreet']"
98,490565:1,"The wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).",pleasant|pleasant,positive,"['wait', 'staff', 'pleasant', 'fun', 'part', 'gorgeous', 'wonderful', 'aesthetic', 'beautification', 'way', 'sheswaycuterthanmethatb', 'way']"
99,493514:0,I cannot imagine a friendlier staff working in a restaurant.,friendlier,positive,"['imagine', 'friendlier', 'staff', 'working', 'restaurant']"
100,498657:4,"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",long|typical|like,negative,"['wait', 'long', 'dim', 'sum', 'like', 'sharing', 'table', 'typical', 'raucous', 'dim', 'sum', 'atmosphere', 'gig', 'sleek', 'chinatown', 'alternative']"
101,507937:3,Service is fast and friendly.,fast,positive,"['service', 'fast', 'friendly']"
