,id,review,opinion,label,predict
0,1014458:3,The wine list is interesting and has many good values.,interesting,positive,positive
1,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,worth,positive,positive
2,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,worth|worth,positive,positive
3,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",fresh,positive,positive
4,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,great,positive,positive
5,1119578:1,The pizza is overpriced and soggy.,soggy,negative,negative
6,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",great|price,positive,positive
7,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,tiny,negative,negative
8,1221938:0,The drinks are always welll made and wine selection is fairly priced.,welll,positive,negative
9,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,interesting|interesting,positive,positive
10,1338124:0,"This is some really good, inexpensive sushi.",good,positive,positive
11,1338124:2,The spicy Tuna roll is huge and probably the best that I've had at this price range.,huge|huge,positive,negative
12,1338124:4,"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.",limited|more,negative,negative
13,1340075:1,"They have it all -- great price, food, and service.",great,positive,positive
14,1398844:3,Slightly above average wines start at $70+ with only one selection listed at $30+.,average,negative,negative
15,1439875:3,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,greatest|greatest|food|food|food,positive,positive
16,1506491:0,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",mortal|last,positive,negative
17,1538149:0,"I found the food, service and value exceptional everytime I have been there.",exceptional,positive,positive
18,1561259:4,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",worth,positive,positive
19,1572027:3,I ate here a week ago and found most dishes average at best and too expensive.,average,negative,negative
20,1609375:4,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",nasty|small,positive,positive
21,1611489:1,"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",-|-|-,negative,negative
22,1632445:5,"Even though its good seafood, the prices are too high.",good,positive,positive
23,1655504:1,Cheese plate is a varied delight and great bargain at $10.,delight|delight|bargain,positive,positive
24,1655504:4,Wine list is extensive without being over-priced.,extensive,positive,negative
25,1655521:2,"The food was very good, a great deal, and the place its self was great.",good,positive,positive
26,1661757:2,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",prices|tasty,positive,negative
27,1671113:1,The food is great and reasonably priced.,great,positive,positive
28,1748813:1,All of the pizzas are terrific and the price is even better!,terrific,positive,positive
29,404464:3,I expected quite a bit more from such an expensive menu.,expensive,negative,negative
30,426930:0,Authentic Taiwanese food that's cheap... what more could you ask for?,authentic,positive,positive
31,436868:2,"The sandwiches are dry, tasteless and way overpriced.",dry,negative,negative
32,475298:2,Food is great and inexpensive.,great,positive,positive
33,490565:4,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.",recommend|shanty,positive,positive
34,498657:2,"The rest of the dim sum, though pricey by Chinatown standards, is worth it.",worth,positive,positive
35,507937:2,Spreads and toppings are great - though a bit pricey.,great,positive,positive
36,512294:0,"Great food, great prices, great service.",great,positive,positive
37,527109:3,The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,extensive,positive,negative
38,584025:2,The food is great and they have a good selecion of wines at reasonable prices.,great|good,positive,positive
39,620892:3,Ravioli was good...but I have to say that I found everything a bit overpriced.,good|overpriced,positive,negative
40,624715:4,"Just straight up cheap, good food.",good,positive,positive
41,626269:3,bottles of wine are cheap and good.,cheap|cheap,positive,negative
42,657129:3,the drinks are amazing and half off till 8pm.,amazing,positive,positive
43,720418:4,Great food and the prices are very reasonable.,reasonable,positive,positive
44,720620:5,Simply some good tasting Chinese food at incredible prices...,good|good,positive,positive
45,735448:2,"good music, great food, speedy service affordable prices.",good|good,positive,positive
46,740923:2,Price and quality of fish alone will keep us from making a return visit.,-,negative,negative
47,744478:1,"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!",trendy|trendy,positive,positive
48,751493:0,I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.,side,negative,negative
49,757762:0,Baluchi's has solid food and a nice decor at reasonable prices.,solid,positive,positive
50,Z#3:2,"I paid just about $60 for a good meal, though :)",good,positive,positive
51,TM#7:0,Excellent food for great prices,excellent,positive,positive
52,P#10:3,And $11 for a plate of bland guacamole?,bland|bland,negative,negative
53,TM#3:3,"The food was good, the place was clean and affordable.",good,positive,positive
54,BzG#2:1,"The food is flavorful, plentiful and reasonably priced.",flavorful,positive,negative
55,TVU#6:3,The martinis are amazing and very fairly priced.,amazing,positive,positive
56,CLF#3:13,"However, our $14 drinks were were horrible!",horrible,negative,negative
57,CLF#3:23,I would not expect this for a $55 dinner.,-,negative,negative
58,CLF#3:28,"By the time we left our wallets were empy and so were our stomachs AND we missed the show we were supposed to see following our dinner, which would have been acceptable if we got to enjoy the experience of good food and belly dancers!",enjoy|food|food,negative,positive
59,BFC#9:21,"All in all the food was good - a little on the expensive side, but fresh. ",good,positive,positive
60,BG#5:7,"But if you're prepared to spend some $ and remember to ask if something they offer is complimentary, then this is the place to go for Indian food",indian,positive,negative
61,BG#8:3,The lunch buffet is expensive but is deff worth it.,expensive|expensive,positive,negative
62,DBG#6:7,"The meat is fresh, the sauces are great, you get kimchi and a salad free with your meal and service is good too.",fresh|good|great|kimchi|salad,positive,positive
63,TR#5:6,"Price is high but the food is good, so I would come back again.",good,positive,positive
