,id,review,opinion,label,preprocessed
0,1655521:2,"The food was very good, a great deal, and the place its self was great.",food,positive,"['food', 'good', 'great', 'deal', 'place', 'self', 'great']"
1,1661757:2,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",fun|food,positive,"['ambience', 'fun', 'price', 'great', 'top', 'fact', 'food', 'really', 'tasty']"
2,490565:4,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.",recommend,positive,"['get', 'completely', 'delish', 'martini', 'glass', 'thats', '', '', 'drink', '', 'recommend', 'vanilla', 'shanty', 'mmmm', 'great', 'homey', 'setting', 'great', 'music']"
3,493013:1,"Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.",good|location,positive,"['location', 'good', 'fact', 'hutner', 'college', 'near', 'price', 'reasonable', 'make', 'student', 'go', 'back', 'suan']"
4,505535:0,this little place has a cute interior decor and affordable city prices.,cute|little|affordable,positive,"['little', 'place', 'cute', 'interior', 'decor', 'affordable', 'city', 'price']"
5,744478:1,"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!",fabulous|soho/village/upper|soho/village/upper,positive,"['fabulous', 'decor', 'make', 'feel', 'like', 'trendy', 'manhattan', 'restaurant', 'good', 'food', 'cheaplypriced', 'generally', 'friendly', 'staff', 'manhattanite', 'spend', 'time', 'manhattan', 'rice', 'avenue', 'make', 'feel', 'homevery', 'sohovillageupper', 'west', 'side', 'minus', 'expensive', 'price', 'pretentious', 'clienteleall', 'roosevelt', 'avenue']"
6,757762:0,Baluchi's has solid food and a nice decor at reasonable prices.,solid,positive,"['baluchi', 'solid', 'food', 'nice', 'decor', 'reasonable', 'price']"
7,TM#3:3,"The food was good, the place was clean and affordable.",clean,positive,"['food', 'good', 'place', 'clean', 'affordable']"
8,TFS#5:8,"Yes, the place is classy and beautiful, but they most certainly target the uber whealthy Not the common joe that wants to go all out every once in a while.",classy,positive,"['yes', 'place', 'classy', 'beautiful', 'certainly', 'target', 'uber', 'whealthy', 'common', 'joe', 'want', 'go', 'every']"
9,BG#5:4,"I have it a 4 instead of 5 because of the price (just chicken tikka masala - no bread of rice - is $25), which I would expect at a upscale Indian restaurant but this place doesn't have an upscale feel.",upscale|feel,negative,"['', 'instead', '', 'price', 'chicken', 'tikka', 'masala', 'bread', 'rice', '', 'would', 'expect', 'upscale', 'indian', 'restaurant', 'place', 'upscale', 'feel']"
10,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",kills,negative,"['decor', 'night', 'thobut', 'really', 'need', 'clean', 'vent', 'ceilingits', 'quite', 'unappetizing', 'kill', 'effort', 'make', 'place', 'look', 'sleek', 'modern']"
11,1055910:4,Ambiance- relaxed and stylish.,stylish,positive,"['ambiance', 'relaxed', 'stylish']"
12,1086478:5,"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",nice,positive,"['ambience', 'pretty', 'nice', 'conversation', 'casual', 'lunch', 'would', 'probably', 'best']"
13,1090587:1,If you've ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer.,-|-|-,positive,"['ever', 'along', 'river', 'weehawken', 'idea', 'top', 'view', 'chart', 'house', 'offer']"
14,1102681:0,"Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.",small,positive,"['step', 'cosette', 'miraculously', 'small', 'offthebeaten', 'path', 'parisian', 'bistro']"
15,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",fare|warm|fare,positive,"['leon', 'east', 'village', 'gem', 'casual', 'hip', 'well', 'prepared', 'basic', 'french', 'bistro', 'fare', 'good', 'special', 'warm', 'lively', 'atmosphere']"
16,1126886:2,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",great,positive,"['service', 'excellent', 'decor', 'great', 'food', 'delicious', 'come', 'large', 'portion']"
17,1153034:2,Located at the end of a magnificent block.,magnificent,positive,"['located', 'end', 'magnificent', 'block']"
