,id,review,opinion,label,preprocessed
0,1014458:3,The wine list is interesting and has many good values.,interesting,positive,"['wine', 'list', 'interesting', 'many', 'good', 'value']"
1,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,worth,positive,"['took', 'advanatage', 'half', 'price', 'sushi', 'deal', 'saturday', 'well', 'worth']"
2,1084394:3,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).,worth|worth,positive,"['prix', 'fixe', 'menu', 'worth', 'every', 'penny', 'get', 'enough', 'quantity', 'quality']"
3,1086415:2,"$6 and there is much tasty food, all of it fresh and continually refilled.",fresh,positive,"['', 'much', 'tasty', 'food', 'fresh', 'continually', 'refilled']"
4,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,great,positive,"['add', 'great', 'service', 'great', 'food', 'reasonable', 'price', 'beginning', 'great', 'evening']"
5,1119578:1,The pizza is overpriced and soggy.,soggy,negative,"['pizza', 'overpriced', 'soggy']"
6,1189674:4,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",great|price,positive,"['great', 'wine', 'selection', 'gigondas', 'worth', 'price', 'house', 'champagne', 'great', 'value']"
7,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,tiny,negative,"['tiny', 'dessert', 'just', 'plain', 'overpriced']"
8,1221938:0,The drinks are always welll made and wine selection is fairly priced.,welll,positive,"['drink', 'always', 'welll', 'made', 'wine', 'selection', 'fairly', 'priced']"
9,1225162:4,The bar is very well stocked with interesting beers and well priced wines.,interesting|interesting,positive,"['bar', 'well', 'stocked', 'interesting', 'beer', 'well', 'priced', 'wine']"
10,1338124:0,"This is some really good, inexpensive sushi.",good,positive,"['really', 'good', 'inexpensive', 'sushi']"
11,1338124:2,The spicy Tuna roll is huge and probably the best that I've had at this price range.,huge|huge,positive,"['spicy', 'tuna', 'roll', 'huge', 'probably', 'best', 'ive', 'price', 'range']"
12,1338124:4,"I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.",limited|more,negative,"['reservation', 'eat', 'deal', 'however', 'choice', 'fairly', 'limited', 'probably', 'order', 'food', 'eat', 'le', '', 'going', 'menu']"
