,review,target,dp,dp_clause
0,"while , there are flaws with the machine , the xtra gets five stars because of its affordability . ",affordability!+,,xtra!flaws|affordability!xtra
1,"like it 's predecessor , the quickly revised nx , this player boasts a decent size and weight , a relatively-intuitive navigational system that categorizes based on id3 tags , and excellent sound ( widely known to be better than ipod - not surprising considering the number of years creative has been in the audio peripheral business ) . ",size!+|sound!+,size!decent|weight!decent|system!relatively-intuitive|system!decent|business!size|predecessor!size|sound!surprising|nx!size|number!creative|player!nx,size!decent|weight!decent|system!relatively-intuitive|system!decent|system!size|predecessor!size|business!surprising|business!decent|business!size|nx!size|sound!surprising|player!nx|number!creative
2,"yes , the ipod looks in tune with the carefully articulated urban-hipster-persona thats become popular as of late , but sure-as-hell is n't worth the $ 200 premium ( unless you are just dying to match your music-player with that volkswagen-beetle and urban outfitters wardrobe ) . ",,sure-as-hell!worth|premium!sure-as-hell,ipod!popular|sure-as-hell!worth|tune!ipod|premium!sure-as-hell
3,"i looked up the ipod , the dell-jukebox , and the samsung napster-player . ",,,napster-player!samsung|dell-jukebox!samsung
4,that 's important because i have a lot of music . ,,,lot!important
5,"transfering is easy , the software makes everythig pretty easy . ",software!+,,everythig!easy|software!everythig
6,they player 's interface itself is also very easy to use . ,interface!+,interface!easy|player!easy,|interface!easy|player!easy
7,"can 't complain and i recommend it over all the other players , just hope that remote will come out soon . ",,,hope!remote
8,i was a little concerned to be the black sheep buying this player instead of the incredibly overpriced apple-i-pod . ,,apple-i-pod!overpriced,sheep!black|apple-i-pod!overpriced
9,"i 've had it for a week now , do n't regret the purchase one bit , and i never leave home without it . ",player!+,purchase!regret|bit!purchase,|purchase!regret|bit!purchase
10,"software is easy to use ( although redhat-software is better , but costs money ) ",software!+,software!easy|redhat-software!better|money!redhat-software,redhat-software!better|software!easy|money!redhat-software
11,"much cheaper than i-pod good looking player ( beautiful blue back-lit screen ) if you 've read about the player , some have complained about the lack of a viewing hole for the face when the case is on , but this is good because the face does n't get damaged / scratched fast transfer-rate ",price!+,screen!beautiful|player!beautiful,rate!damaged|transfer!damaged|screen!beautiful|player!beautiful|face!rate
12,for me the sound of the music is what is important . ,,,sound!sound
13,the battery is replaceable ( a real plus ) and there is a leather-case ( another real plus ) . ,battery!+,battery!replaceable|plus!real|leather-case!real,leather-case!real|battery!replaceable|plus!real|plus!battery
14,"i would have given this thing 4.5 stars but since i can 't , i 'll be sweet and give it the full 5 stars . ",,t!sweet,thing!sweet|t!sweet
15,this thing lasted well over 14 hours when i played it straight for the first time . ,,|time!first,time!first
16,"the zen-nx is $ 100 cheaper than the ipod of the same size , so you have to wonder just how much apple 's markup is anyway ! ",,zen-nx!cheaper|size!same|ipod!same,markup!much|apple!much|zen-nx!cheaper|ipod!same|size!same
17,you wo n't appreciate the quality this thing has to offer unless you are using a good set of cans. ,,quality!appreciate|set!good,set!good|quality!appreciate
18,"it could be a little bit bigger , but it 's easy to get used to . ",size!-,bit!easy,bit!little
19,"the screen may be a little smaller , but it is very readable and does n't come in the overused blue . ",screen!-,,screen!little
20,"the included leather-pouch is a big plus : it actually protects the unit well , something a lot of ' carrying cases ' fail to do with other audio devices . ",leather pouch!+,lot!fail|plus!big|leather-pouch!big|something!lot|unit!something,lot!fail|leather-pouch!big|plus!big|something!lot|unit!something
21,"other plusses : changable battery , loads of presets for environments , decent construction , still quite small and light despite being slightly bigger than an ipod . ",battery!+,construction!decent|battery!changable,construction!decent|construction!small|battery!changable
22,i probably would have liked to have a player in something other than silver / metallic ... like the battery adapters on their usb-thumbdrive ( muvo-nx ) mp3-player models . ,,|something!other,something!other
23,"since the front plate is removable to access the battery-compartment , aftermarket-alternate covers would not be difficult or expensive to make . ",,battery-compartment!difficult|plate!removable,plate!front|battery-compartment!difficult|battery-compartment!aftermarket-alternate
24,after messing with it at a store i noticed how bad the i-pod was . ,,,store!messing
25,"it was marked up increadably high compared to other models ( almost $ 500 for a 30gb ) , and theres was nothing about it that made it worth that much money . ",,|money!much,money!much
26,the creative labs zen-xtra has all the features the i-pod has and if you get if from amazon your only going to pay $ 300 for this great player . ,player!+|price!+,zen-xtra!creative|player!great|i-pod!zen-xtra,player!great|xtra!creative|zen!creative|i-pod!xtra
27,"the music is easy to get to ( all of the menus are easy to understand despite what alot of i-pod owners say ) and if you know how to search for an artist by name-online , then you can do the same with the zen . ",menu!+,music!easy|music!easy|zen!same,zen!same|music!easy
28,"the screen is very easy to read and the blue light is bright enough to read at night , but dim enough so it does n't blind you when you stare too long . ",screen!+,screen!easy|light!bright,light!bright|screen!easy
29,"all in all this a great player that blows the i-pod away , with easy to use and understand features , software that is simple to understand and use , and a great sound ( which is all that matters in a mp3-player ) . ",player!+|software!+,player!great|sound!player|software!sound,player!great|player!sound|sound!player|software!sound
30,just get some new headphones and your set . ,,|set!new,set!new
31,"the only complaint i have is that when you push in the scroll-wheel to select , you have to push straight in or it sticks . ",scroll wheel!-,,scroll-wheel!only
32,"it has several play options , one of the best is an option to shuffle , based on all or a certain playlist . ",play option!+,|playlist!certain|play!several|option!several,playlist!certain|play!several|option!several
33,"the only downside i see is that it does n't look like you can manage playlists from the nomad , it has to be done from the computer . ",playlist!-,,computer!only
34,for ipod you have to buy a cable and it is n't compatible with all windows pcs. ,,,ipod!compatible
35,"they 're pretty comfortable , stay in place and deliver a decent audio quality . ",earbud!+,quality!decent,stay!comfortable|place!comfortable|quality!decent
36,"one thing i should note is that i have only had this product for one day , so there are many options i have not explored . ",,,product!only|day!product
37,the main problem with the nomad-jukebox-zen xtra 30 gb is the software . ,software!-,software!problem|gb!nomad-jukebox-zen|problem!nomad-jukebox-zen|xtra!nomad-jukebox-zen,software!problem|gb!nomad-jukebox-zen|problem!nomad-jukebox-zen|gb!software|xtra!nomad-jukebox-zen
38,"on my relatively new computer ( p4 with windows xp and usb 2.0 ) , the os complained about the installation of the drivers . ",,|computer!new|p4!new,p4!new|computer!new
39,"despite the instructions insisting that the process was fairly automatic , i had to install the usb drivers and the nomad-interface-software manually . ",,|process!automatic,process!automatic
40,"the setup-process for the nomad is infuriating , and the interface with the player is sub-par . ",setup!-,setup-process!infuriating|nomad!infuriating|interface!sub-par|player!sub-par,interface!sub-par|player!sub-par|setup-process!infuriating|nomad!infuriating
41,"although the sound-quality is good , it takes more than good sound on a portable-mp 3 player to result in a good product . ",player!-,sound-quality!good|player!portable-mp|product!sound|sound!sound-quality,product!good|product!sound|sound-quality!good|player!portable-mp|sound!sound-quality
42,this is a great investment for someone like me who enjoys music and hates carrying multiple cds . ,,investment!great|someone!great|music!enjoys,music!enjoys|investment!great|someone!great
43,i just transfered over some 40 cds and have plenty of space left for me . ,,,plenty!left|space!left
44,"one beef is the scroll , it does n't work as well as i 'd like . ",scroll!-,,scroll!work
45,zennx 's replaceable battery was the deciding factor in my purchase of zennx over ipod . ,battery!+,battery!replaceable|factor!replaceable|zennx!replaceable,battery!replaceable|factor!replaceable|zennx!replaceable|zennx!factor
46,apple 's solution - pay-apple another $ 400 + for a new ipod ( less a paltry discount ) . ,,discount!paltry|ipod!paltry,ipod!new|discount!new
47,"the zennx will keep running for the price of a replacement-battery , just like any other battery-powered appliance . ",battery!+,|appliance!other,appliance!other
48,notmad by red chair-software is an explorer-based program that enables simple drag-and-drop transfer of music files from pc to zennx . ,,|program!notmad|notmad!red|chair-software!program|transfer!simple|pc!transfer,transfer!simple|pc!simple|chair-software!red|notmad!red|program!notmad|program!transfer
49,"the blue-screen display in the zennx-xtra-model is an improvement , but the toggle-switch is still tricky . ",screen!+,display!improvement|zennx-xtra-model!improvement|toggle-switch!tricky|improvement!blue-screen,toggle-switch!tricky|display!improvement|zennx-xtra-model!improvement|improvement!blue-screen|improvement!toggle-switch
50,zennx 's capacity / price-ratio on the 30g model ( $ 10/gig ) ) trumps ipod 's 30g model ( $ 14/gig ). ,,|model!30g|price-ratio!30g|capacity!model|ipod!30g,|model!30g|price-ratio!30g|ipod!30g|capacity!model
51,choosing zennx is a no-brainer when factoring in the cost of a new $ 400 + ipod every few years versus the $ 50 cost of replacing zennx 's rechargeable battery . ,,|battery!rechargeable|cost!new|ipod!new|zennx!rechargeable|no-brainer!zennx,battery!rechargeable|cost!new|ipod!new|zennx!rechargeable|no-brainer!zennx
52,zennx hopefully will gain market-share and prompt arrogant apple to lower prices and enable consumers to replace the battery . ,,zennx!gain|market-share!gain|apple!gain,zennx!gain|market-share!gain|apple!gain|apple!zennx
53,"lithium-ion rechargeable batteries are good for 300-500 rechargings , so battery-lifespan will vary according to your usage . ",,lithium-ion!good,usage!rechargeable|lithium-ion!good
54,"for some this might be a problem , but for the price of a 30 gig-ipod , you can get a 60gb nomad , the ipod simply pales in comparison . ",price!+,ipod!pales|problem!nomad|price!problem|gig-ipod!problem|nomad!ipod|comparison!ipod,ipod!pales|problem!nomad|nomad!ipod|price!problem|gig-ipod!problem|comparison!ipod
55,"the free ( i didnt know they still did that ) carrying case is really protective , and to me its the only accessory you need ( except good headphones ) . ",case!+,case!protective|accessory!only,accessory!good|case!protective
56,"on the subject of headphones , this thing seems like a normal mp3-player when you use the headphones they give you in the box , but invest 30 dollars in a nice pair and the sound quality goes up through the roof ! ",headphone!-|sound!+,pair!nice|quality!nice|mp3-player!normal,pair!nice|quality!sound|mp3-player!normal
57,"i just sold my archos 20gb jukebox-recorder after not being satisfied with it 's slow loading & difficult navigation , not to mention it froze quite a bit . ",,loading!slow|navigation!slow|bit!froze|jukebox-recorder!20gb,navigation!difficult|bit!froze|loading!slow|loading!difficult|loading!navigation|jukebox-recorder!20gb
58,i was in search of a new item to take it 's place as my new mp3-player / harddrive . ,,|item!new|search!new|mp3-player!item|place!new|harddrive!new,harddrive!new|mp3-player!new|item!new|search!new
59,"i refused to go for an ipod , i am not going to spend all that money just for the apple-name and because it is "" trendy "" to have that player . ",,,ipod!refused
60,after receiving my zen-xtra 40gb mp3-player .. . ,,|mp3-player!40gb|zen-xtra!40gb,
61,"the leather-case it comes with is pretty nice , similar to a pda-style-case and does hold and protect it perfectly . ",leather case!+,leather-case!nice,leather-case!nice|pda-style-case!nice
62,"lots of sound options , has an equalizer almost like winamp with the options . ",sound option!+,|winamp!sound,winamp!sound
63,also navigating while playing music is a plus unlike my previous player . ,navigation!+,|player!previous,player!previous
64,"another plus in my book , no file limits ! ",file limit!+,file!limits|book!file,|file!limits|book!file
65,i am quite happy having over 10 gigs of music stored on this baby as well as a few gigs of media files in the data folder . ,storage!+,|music!few|folder!few,music!few|folder!few
66,"when plugged in , it does n't lag the computer like the archos did ... unless you are doing a massive transfer of data in one load . ",,computer!lag|transfer!massive|load!transfer,transfer!massive|computer!lag|load!transfer
67,"after playing with this little device , i do n't know why i would look at an ipod with the same space when it costs $ 500 and i got mine for a little more than half that price ! ",,|device!little|ipod!same|space!same,device!little|space!same|ipod!same|space!same|ipod!same
68,i really do recommend this to anyone in need of a new player . ,player!+,|player!new|need!new,player!new|need!new
69,"in fact , my boyfriend is now going to invest into one of these suckers as well ... now he realizes that this is the best choice over his current archos and the ipod he was eyeing . ",,choice!best|ipod!current,choice!best|choice!current|ipod!current
70,i am going to have to try an online download and see if that works . ,,,download!online
71,and it holds sooooo much music and audio files . ,storage!+,|music!much|audio!music,music!much|audio!music
72,the lcd-screen was very large and readable . ,screen!+,|lcd-screen!large,lcd-screen!large
73,my last mp3-player 's screen drove me nuts . ,,|mp3-player!last|screen!last,screen!last
74,you 're talking totally different hardware . ,,|hardware!different,hardware!different
75,"the devices competing with the ipod are the iriver-ihp 120 , the rio-karma , and the philips hdd100 . ",,,|rio-karma!iriver-ihp
76,i should point out that the new rio-karma is now down to about $ 280 and is reviewed readily as being as good as ( and better in some areas ) the ipod . ,,|rio-karma!new,rio-karma!new
77,that 's a huge difference ... especially in this price-range . ,,|difference!huge|price-range!huge,difference!huge|price-range!huge
78,i doubt-anyone has ever seen an add or commercial for any other mp3-player . ,,|mp3-player!other,
79,i gave the zen 5 stars because it 's excellent for the class that it is in and it 's not really appropriate to rate it based on players in a different class . ,zen!+,|class!different,class!excellent|class!different
80,"my personal favorite is the karma ( i currently own a karma , a zen-usb 2.0 , a philips hdd100 , and an upgraded 60 gig archos jukebox-recorder ). ",,karma!favorite|gig!upgraded|jukebox-recorder!upgraded|favorite!own,karma!own|zen-usb!own|karma!favorite|jukebox-recorder!upgraded|favorite!own|jukebox-recorder!zen-usb|gig!upgraded
81,"i guess that 's why you so often see "" ipodders "" bashing every other player out there ( very often not knowing anything about them the whole "" i spent $ 120 more for something not any better and so should you ... so i can feel better "" thing . ",,player!bashing|something!better|anything!whole|thing!something,player!bashing|anything!whole|something!better|something!whole|thing!better|thing!something
82,i originally purchase a 30 gb-nomad-zen xtra as a portable mp3-player . ,,mp3-player!portable,
83,"scroll-button - the scroll-wheel was a nice idea to keep less clutter , but the button would sometimes get stuck or keep scrolling . ",scroll wheel!-,idea!nice|scroll-button!nice|scroll-wheel!nice|button!idea,idea!nice|scroll-wheel!nice|scroll-button!nice|button!idea
84,"software - music-match-jukebox is n't the greatest , the search-funtion is n't fast even when accessing it with the hotkey-shortcut . ",software!-,music-match-jukebox!greatest|software!greatest,search-funtion!fast|music-match-jukebox!greatest|software!greatest
85,"the navigion on it can be a little quirky , but still operates better than the zen 's did . ",,|navigion!quirky,navigion!little
86,"the casing scratches a little easy , but the glove cases work great to protect against this . ",,,glove!work
87,"sound quality was the same between the two , but the zen did have more sound adjustments with the normal eax features . ",sound quality!+,|quality!same|eax!normal,eax!normal|quality!same
88,"granted it is a little more than the zen , it is well worth it . ",,,zen!little
89,itunes is a versatile program and i have n't had any issues with the ipod itself . ,,program!versatile|program!issues,program!versatile
90,"the software was great , as long as you have an adminstrative user-account ( windows xp ) . ",software!+,software!great,software!great|user-account!adminstrative|xp!adminstrative
91,"anyway , this player is a great deal and i really love it . ",player!+,deal!love|player!love,deal!great|player!great
92,"first , the cons ... a tad bulky ... not the most asthetic looking player ... and does n't support a folder-stucture . ",size!-,folder-stucture!support|tad!cons|player!asthetic|player!cons,player!bulky|tad!bulky|folder-stucture!support
93,i find it pretty easy to use ... and unlike the remote interface for the audigy 2 nx ( on the pc ) .. . ,interface!+,|interface!remote|nx!remote,interface!remote|nx!remote
