,0,aspect,prediction
0,this camera is perfect for an enthusiastic amateur photographer . ,camera!+,camera!perfect
1,"the pictures are razor-sharp , even in macro . ",picture!+|macro!+,
2,it is small enough to fit easily in a coat pocket or purse . ,size!+,
3,it is light enough to carry around all day without bother . ,weight!+,
4,"operating its many features is easy and often obvious - i 'm no annie lebovitz , but i was able to figure out most of its abilities just messing around with it at a camera store . ",feature!+,|lebovitz!able
5,"the auto-focus performs well , but i love having the 12 optional scene modes - they are dummy-proof , and correspond to many situations in which i would actually seek to use the camera . ",auto focus!+,
6,"comes with a 16 mb compact flash and one rechargable battery the charging unit , included , is fast and small . ",rechargable battery!+,flash!compact|flash!fast|battery!rechargable|mb!compact|unit!compact
7,i enthusiastically recommend this camera . ,camera!+,camera!recommend
8,"i got my camera three days back , and although i had some experience with digital cameras prior to purchasing this one , i still rate myself as a beginner . ",,|experience!digital
9,"it 's easy to use , and yet very feature rich . ",camera!+|use!+|feature!+,
10,"the battery life is very good , i got about 90 minutes with the lcd turned on all the time , the first time around , and i have been using it with the lcd off every now and then , and have yet needed to recharge it . ",battery life!+,life!good|battery!good|time!first
11,i love photography . ,,
12,reason for two ? ,,
13,it was not easy sharing one with my teen age kid . ,,
14,the two cameras are very similar in functionality and pricing . ,,
15,i 've had no problem with canon whatsoever . ,,
16,1 . pictures wo n't transfer to pc directly from the camera using the included transfer cable . ,transfer!-,
17,"i did everything i could , and it took many days of frustration before concluding that the only way to transfer to pc is with the card reader . ",,|frustration!many
18,card reader is included . ,,
19,"2 . the speed is noticeably slower than canon , especially so with flashes on . ",,speed!slower|canon!speed
20,"3 . with low battery , it twice wiped out the entire pictures in the memory chip . ",,|battery!low
21,be very careful when the battery is low and make sure to carry extra batteries . ,,|battery!low
22,. this camera keeps on autofocussing in auto mode with a buzzing sound which can 't be stopped . ,auto mode!-,sound!buzzing|t!buzzing
23,would be really good if they have given an option to stop this autofocussing . ,,
24,". if you want to have the date ; time on the image , its only through their software "" nikon view "" which reads the images date ; time from the images meta-data . ",,
25,. even the slightest of the shakes totally distorts your image ,image!-,image!distorts
26,. images taken indoor were n't so clear . ,indoor image!-,
27,. lens cap is a really annoying ,lens cap!-,cap!annoying|lens!annoying
28,. go ; get a high speed like lexar 12x or higher cf card . ,,|speed!high|12x!high|card!12x|cf!12x
29,"else with simpler viking cf cards , it takes couple of seconds to write a picture with approximately "" fine **"" picture quality  "" image size : 1600 . ",,size!fine|viking!simpler|cf!simpler|picture!fine|quality!fine|image!fine
30,. the movie clips taken will always have some ' noise ' in it - you can 't avoid that . ,movie!-,
31,but overall this is a good camera with a ' really good ' picture clarity ; an exceptional close-up shooting capability . ,camera!+|picture!+|close-up shooting!+,camera!good|clarity!good|capability!good
32,"within a year , there are problems with my menu dial knob . ",menu dial knob!-,year!problems
33,"i send my camera to nikon for servicing , took them a whole 6 weeks to diagnose the problem . ",servicing!-,
34,"got a "" system error "" problem 30 days after purchase . ",system error!-,error!problem|system!problem
35,made the camera totally inoperable . ,camera!-,camera!inoperable
36,"also , the lens cap design is flawed . ",lens cap!-,
37,you have to manually take the cap off in order to use it . ,,
38,audio on video also lacking . ,audio!-,audio!lacking|video!lacking
39,"still , had to send it back to nikon for repair . ",,
40,here were my requirements in a digital camera : ,,|camera!digital
41,"1 . i had initially thought of buying a 2 or 3 megapixel camera but these are good for 4x6 "" or 5x7 "" prints and i wanted some really great 8x10 "" photos once in a while . ",,8x10!great|while!8x10
42,2 . i did not want a very small camera as it seems to get lost in my hands and i was n't comfortable with that . ,,|camera!small
43,i wanted a decent sized camera with a contour for my fingers to hold it steadily . ,,camera!decent|contour!camera
44,"3 . i wanted a camera that had a lot of built-in settings for different types of suroundings while giving me an option to use my photography skills although , i am an amateur with an interest in photography by turning on the manual settings . ",,|lot!built-in|camera!lot
45,"4 . and , of course , i wanted a respected brand and had to stay within my budget because i had bought an expensive camcorder before but had n't used it much . ",,camcorder!expensive
46,"depending on all the above requirements , i had narrowed down my search to nikon 4300 and canon powershot s400 models . ",,
47,a few things that might make it even better : ,,
48,1 . pictures taken in an indoor setting are a little dull and rarely hazy if you tend to take photographs from a distance . ,indoor picture!-,|setting!indoor
49,2 . it takes a while for the camera to actually capture the photograph from the time you click the button and i have seen people becoming a little impatient waiting for the flash to glow . ,delay!-,
50,3 . the pictures come out hazy if your hands shake even for a moment during the entire process of taking a picture . ,picture!-,
51,try to buy a tripod and that should solve some of those problems . ,,
52,hope this review has helped you in making up your mind . ,,review!helped|hope!review
53,i have taken about 150 photographs so far and have absolutely loved the experience . ,,experience!loved
54,i am looking forward to my vegas trip for some great photographs now . ,,trip!great
55,"with our compact 35mm broken , and a vacation in europe at hand , i finally decided to enter the digital age . ",,mm!compact|vacation!compact|age!digital|europe!mm|hand!mm
56,"i first intended to buy the 3100 , but am really happy to invest the extra money for the 4300 . ",,|money!extra
57,"the lense is a lot better , and the 4mb produce fantastic pictures . ",,produce!fantastic
58,the movie mode is also working great . ,movie mode!+,
59,"even at the "" normal "" setting , a 8x10 print ! shows not a single sign of visible rendering or pixels - you could never tell that the picture has been taken by a "" digital "" . ",print!+,|setting!normal
60,"i therefore bought a second battery as a backup , and due to the lightingfast charging with the included charger , which by the way works on 110v as well as 220v in europe , we ran never out of "" juice "" . ",,|battery!second|backup!battery|lightingfast!battery
61,"i highly recommend the accessory kit , which provides you with everything else you need : ",,kit!recommend
62,"a nice camera bag , which holds camera plus all the cables and the charger . ",,bag!nice|camera!nice|charger!camera
63,"furher it contains a card reader , a flash card folder for up to 8 cards , a lense cleaning rag , and an ac adapter , which is very helpful when working in an "" outlet environment "" . ",,
64,"after reading all the glowing review on this camera , i went to my local camera shop to try one . ",,review!glowing|camera!glowing
65,"however , indoor pictures of subjects more than a few feet away can be blurry or grainy . ",,
66,"anyway , in the store , i tried coolpix 4300 along with two other 4mp models minolta dimage s414 , and panasonic lumix . ",,|s414!other
67,"focusing on a display rack about 20 feet away in a brightly lit room during day time , pictures produced by this camera were blurry and in a shade of orange . ",picture!-,
68,pictures produced by the minolta were orange but not blurry . ,,
69,pictures produced by the panasonic were excellent . ,,
70,"anyway , i ended up purchasing the lumix . ",,
71,"however , as an average person with unsteady hands , i doubt it 'll perform well in lower light settings . ",,person!unsteady
72,i purchased the nikon 4300 after several weeks of searching . ,,
73,"the value , name , and resolution signed the lease . ",,
74,"i love all of the features , and presets as well . ",feature!+,
75,"sunset feature takes incredible pics in the morning , and the evening ! ",sunset feature!+,
76,"touchups , redeye , and so on are very easy to alter , and correct . ",touchup!+|redeye!+,
77,i definately recommend a large memory card . ,,card!recommend|memory!recommend
78,"i use a 128mb card , and usually get around 70 to 100 pics 1024-1280 res. , with good resolution . ",,resolution!good|card!128mb
79,very large pics take 8mb each ! ,,
80,"all and all , i am extremely pleased with this camera . ",camera!+,
81,making the step from film to digital has been a great move . ,,move!great|step!move
82,"great camera , great investment ! ",camera!+,camera!great|investment!great
83,"the nikon coolpix 4300 is wonderful -- easy to use , high quality , and compact in size . ",use!+,quality!easy|size!quality
84,with an extra battery and a couple of good sized memory cards you are all set for a day of picture taking while on vacation . ,,couple!good|battery!extra|memory!good
85,after much research i decided on the nikon coolpix 4300 . ,,
86,it has many great features and very few bad ones . ,camera!+,
87,if you cant get great pics from this camera its because you havent read the manual . ,,
88,downloads are a snap and quick . ,download!+,
89,controls easy yo use and easy to get to . ,control!+,use!easy|yo!easy
90,really happy with this little camera . ,camera!+,|camera!little
91,"got it for christmas , still learning a few of the settings , but i do n't take pictures every single day . ",,
92,"settings for just about everything , beautiful pics and beautiful prints . ",picture!+,everything!beautiful
93,"did buy a 256mb compact flash , it holds a lot of pics at any resolution . ",,flash!compact
94,"still , at least from my perspective , a great camera for the money , and i 'm a happy camper ! ",camera!+,camera!great|money!great|camper!happy|camper!great
95,this is a wonderful camera . ,camera!+,camera!wonderful
96,my wife and i read and read and read reviews on different cameras for months . ,,
97,"4 mp gives you room for the future gaining experience ; cost offsets over time from wanting more in a camera , 3x optical and the fact that it carries nikon 's quality reputation behind it make the whole package prove itself worthwile at the price . ",4mp!+,experience!gaining|room!gaining|package!whole|cost!optical|mp!room|time!optical|fact!reputation|3x!fact
98,this little camera has created a marriage between myself and nikon. never knew i could love a digital camera so much . ,camera!+,camera!love|marriage!camera
99,100 % perfect if you put some thought and time into reading the manual before you take the photos . ,,|time!manual|thought!time
100,i took the camera and just gave it to someone . ,,
101,no instructions . ,,
102,just point and shoot and the photos were great . ,photo!+,
103,just imagine if you place a bit of knowledge when you take your photos . ,,
104,my pda becames a digital album . ,,|album!digital|pda!album
105,i have a 128mb card in it and can shoot over 150 hi res photos . ,,|card!128mb
106,go get it . ,,
107,before they are sold out ! ,,
108,i bought my nikon coolpix4300 about a week ago . ,,
109,i particularly like the way it aids me in taking my macro shots . ,macro!+,
110,i assume this is the case for most cameras since it does not have enough power to do autofocus . ,,power!enough|case!power
111,battery life is ok . ,battery life!+,
112,i plan on buying a second battery and a larger cf for it . ,,|battery!second|cf!second|plan!battery
113,i 've been using it for about 3 months now . ,,
114,the quality is superb . ,quality!+,quality!superb
115,"the small size is perfect for my little hands , but may perhaps be uncomfortable or awkward for a bigger person . ",size!+,size!perfect
116,"we got a 256mb card , and have been hard-pressed to fill it over a weekend . ",,|card!256mb
117,the only drawbacks that i have noticed : ,,
118,"i set the camera to the "" manual "" mode for one main reason : ",,
119,in any other mode it autofocuses continuously and burns batteries . ,,|mode!other
120,they take excellent macro shots as well . ,macro!+,macro!excellent
121,"i compared this to a lot of other cameras , believe me , it 's value for money . ",camera!+,|lot!other
122,the picturers are amazing . ,picture!+,
123,"do n't waste time looking at anything else , just buy this one . ",,time!waste
124,it do n't get any better then the nikon 4300 . ,,
125,"i am a nikon fan , and owned and used slr nikon fe , n50 and n90s for many many years . ",,
126,"recently bought this coolpix 4300 along with a 256mb ultra flash card . as expected , i happily found that qualities of the picture are excellent with 3m-4m pixel / fine combos and many of the user-friendly functions are very similar to slr models , and with added convenience of a digital camera that you can see pictures immediately . ",picture quality!+,picture!excellent|card!256mb|ultra!256mb|pixel!3m-4m|flash!256mb|camera!digital|convenience!digital
127,"i particularly like the "" txt "" file which records all the control information for all the pictures you take. ",txt file!+,
128,"try to buy a high capacity ultra card , as it 's 2x as faster as the regular cf card . ",,|card!high|capacity!high|ultra!high|cf!high
129,use the rechargeable because that saves you money and helps the environment in a long run . ,,|run!long
130,i would expecct the card to hold over 200 pictures for size of 1.2 mb/per . ,,
131,anybody can explain that ? ,,
132,"a nikon will make you happier and leave you lots of good memories , as always . ",nikon!+,
133,"first of all , let 's start with my needs : 1 $ 500 budget 2 4mp resolution , 3 optical clarity and color , 4 fast - very little shutter lag and quick sep-up for next picture , 5 compact size , and 6 good camera grip to minimize camera shake . ",,size!compact|resolution!compact|picture!next|budget!4mp|lag!resolution|shutter!resolution|sep-up!quick|clarity!4mp|color!clarity|camera!resolution|grip!good|grip!4mp
134,"for three months , i 've researched the internet and magazines , queried various sales personnel , and took hands-on in-store test drives . ",,
135,and i finally settled on the nikon coolpix 4300 . ,,
136,the shutter lag is on par with what i 've experienced with point and shoot 35mm and aps film cameras and the next frame advance is about a couple seconds using a high speed 12x 128mb compact flash card a salesperson recommended the high speed card since next frame advance speed was important to me - and it was only a few dollars more . ,,par!lag|speed!compact|advance!next|frame!next|shutter!par|card!high|12x!high|couple!advance|salesperson!recommended|flash!high
137,uploading the images to my windows-based pc is very fast and simple . ,image download!+,pc!fast
