,0,aspect,prediction
0,i recently purchased the canon-powershot-g3 and am extremely satisfied with the purchase . ,canon powershot g3!+,
1,"the camera is very easy to use , in fact on a recent trip this past week i was asked to take a picture of a vacationing elderly group . ",use!+,camera|fact|week|trip
2,"after i took their picture with their camera , they offered to take a picture of us . ",,
3,"i just told them , press halfway , wait for the box to turn green and press the rest of the way . ",,|box
4,they fired away and the picture turned out quite nicely . ( as all of my pictures have thusfar ) . ,picture!+,
5,a few of my work constituants owned the g2 and highly recommended the canon for picture-quality . ,picture quality!+,canon|picture-quality|g2
6,i 'm easily enlarging pictures to 8 1/2 x 11 with no visable loss in picture-quality and not even using the best possible setting as yet ( super fine ) . ,picture quality!+,
7,"ensure you get a larger flash , 128 or 256 , some are selling with the larger flash , 32mb will do in a pinch but you 'll quickly want a larger flash-card as with any of the 4mp cameras . ",,|pinch
8,"bottom line , well made camera , easy to use , very flexible and powerful features to include the ability to use external flash and lense / filters choices . ",camera!+|use!+|feature!+,line|line|flash|lense|ability
9,i 'd highly recommend this camera for anyone who is looking for excellent quality pictures and a combination of ease of use and the flexibility to get advanced with many options to adjust if you like . ,picture quality!+|use!+|option!+,camera|quality|combination|anyone|flexibility
10,great job-canon ! ,,job-canon
11,yep . ,,
12,"this is my first digital camera , and what a ' toy ' it is ! ",camera!+,|camera|toy
13,"i am a software-engineer and am very keen into technical details of everything i buy , i spend around 3 months before buying the digital camera ; and i must say , g3 worth every single cent i spent on it . ",,g3|camera|cent
14,"just a little overview , powershot-g3 is the flagship of canon 's powershot-series and its an slr-like camera , its 4 megapixel and ( alsmost ) full manual control gives the pictures a touch of brilliance . ",picture!+,|overview|flagship|touch|camera|megapixel|control|canon|alsmost
15,"whether you are a novice or an expert , its ease of use and functionality goes together . ",use!+,novice|expert
16,"+ you can have different kind of lens if you want + flashes , etc. ",,|kind|lens
17,"as its 4mp , you might need bigger storage to store high quality images and recording movies ( you can record 3 minutes of video ) . ",,|quality
18,i am using kingston-512mb-cf which works great and is very fast . ,,
19,"a good choice could be cf type ii , microdrives that can store around 1 gb of images . ",,choice|type
20,some things that i did n't like ( but hey . nothing is perfect ). ,,nothing
21,* main dial is not backlit . ,dial!-,|dial
22,* lens visible in optical viewfinder . ,viewfinder!-,|lens|viewfinder
23,( well thats only for old-school die-hard optical viewfinder fans ) use lcd instead which is brilliant and you can twist around too . ,,
24,overall i 'm happy with my toy . ,camera!+,
25,i did extensive research comparing different 4 and 5 megapixel cameras . ,,|megapixel
26,"a couple of online camera-review sites were extremely helpful , as they provided complete exhaustive reviews of nearly every camera made , plus provided a great number of high resolution-sample images to compare amongst the models . ",,couple|number|camera
27,"following my research , i decided on the g3 . ",,
28,"in a word , "" awesome "" is how i would describe this camera . ",camera!+,
29,"i wo n't go into the details here , as the online sites ( stevesdigicams , dpreviews ) go into great depth in their reviews , but i am very pleased with the features , the speed , the picture-quality , the flexibility , the automation , and the functional conveniences this camera offers . ",speed!+,depth
30,"with the automatic settings , i really have n't taken a bad picture yet . ",auto setting!+,picture
31,"and with the panoramic "" stitch "" mode , it guides you through stitching together multiple pictures to build a seamless panoramic image . ",,stitch|mode|image
32,"i am absolutely in awe of this camera , canon put enormous quality into the g3 . ",camera!+,|quality|awe|canon|g3
