,reviewID,sentenceID,review,target,category,polarity
0,1004293,1004293:0,"Judging from previous posts this used to be a good place, but not any longer.",place,RESTAURANT#GENERAL,negative
1,1004293,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",staff,SERVICE#GENERAL,negative
2,1004293,1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",NULL,SERVICE#GENERAL,negative
3,1004293,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,"food,portions","FOOD#QUALITY,FOOD#STYLE_OPTIONS","negative,negative"
4,1004293,1004293:4,"After all that, they complained to me about the small tip.",NULL,SERVICE#GENERAL,negative
5,1004293,1004293:5,Avoid this place!,place,RESTAURANT#GENERAL,negative
6,1014458,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",food,FOOD#QUALITY,positive
7,1014458,1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,Saul,RESTAURANT#GENERAL,positive
8,1014458,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,"foie gras terrine with figs,duck confit","FOOD#QUALITY,FOOD#QUALITY","positive,positive"
9,1014458,1014458:3,The wine list is interesting and has many good values.,"wine list,wine list","DRINKS#STYLE_OPTIONS,DRINKS#PRICES","positive,positive"
10,1014458,1014458:4,"For the price, you cannot eat this well in Manhattan.","NULL,NULL","RESTAURANT#PRICES,FOOD#QUALITY","positive,positive"
11,1016296,1016296:0,I was very disappointed with this restaurant.,restaurant,RESTAURANT#GENERAL,negative
12,1016296,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,SERVICE#GENERAL,negative
13,1016296,1016296:2,I had to ask her three times before she finally came back with the dish Ive requested.,NULL,SERVICE#GENERAL,negative
14,1016296,1016296:3,"Food was okay, nothing great.",Food,FOOD#QUALITY,neutral
15,1016296,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,"Chow fun,pork shu mai,NULL","FOOD#QUALITY,FOOD#QUALITY,RESTAURANT#MISCELLANEOUS","negative,negative,negative"
16,1016296,1016296:5,I/we will never go back to this place again.,place,RESTAURANT#GENERAL,negative
17,1028246,1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",Fish,RESTAURANT#GENERAL,positive
18,1028246,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","Service,oysters,NULL","SERVICE#GENERAL,FOOD#QUALITY,RESTAURANT#PRICES","positive,positive,positive"
19,1028246,1028246:2,You can't go wrong here.,NULL,RESTAURANT#GENERAL,positive
20,1032695,1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,Restaurant Saul,RESTAURANT#GENERAL,positive
21,1032695,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.","NULL,service,decor","FOOD#QUALITY,SERVICE#GENERAL,AMBIENCE#GENERAL","positive,positive,positive"
22,1032695,1032695:2,I had the duck breast special on my last visit and it was incredible.,duck breast special,FOOD#QUALITY,positive
23,1032695,1032695:3,Can't wait wait for my next visit.,NULL,RESTAURANT#GENERAL,positive
24,1041457,1041457:1,And I hate to say this but I doubt I'll ever go back. ,NULL,RESTAURANT#GENERAL,negative
25,1041457,1041457:2,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","food,Thai fusion stuff,NULL","FOOD#QUALITY,FOOD#QUALITY,FOOD#QUALITY","negative,negative,negative"
26,1041457,1041457:3,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,Grilled Chicken special with Edamame Puree,FOOD#QUALITY,positive
27,1041457,1041457:4,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,"Edamame pureed,Edamame pureed","FOOD#QUALITY,FOOD#STYLE_OPTIONS","positive,positive"
28,1041457,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.","place,decor,vent","AMBIENCE#GENERAL,AMBIENCE#GENERAL,AMBIENCE#GENERAL","negative,positive,negative"
29,1053543,1053543:2,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!","sake list,NULL","DRINKS#STYLE_OPTIONS,SERVICE#GENERAL","positive,positive"
30,1053543,1053543:3,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!","spicy tuna roll,rock shrimp tempura","FOOD#QUALITY,FOOD#QUALITY","positive,positive"
31,1053543,1053543:4,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,service,SERVICE#GENERAL,positive
32,1055910,1055910:0,we love th pink pony.,pink pony,RESTAURANT#GENERAL,positive
33,1055910,1055910:1,THe perfect spot.,spot,RESTAURANT#GENERAL,positive
34,1055910,1055910:2,Food-awesome.,Food,FOOD#QUALITY,positive
35,1055910,1055910:3,Service- friendly and attentive.,Service,SERVICE#GENERAL,positive
36,1055910,1055910:4,Ambiance- relaxed and stylish.,Ambiance,AMBIENCE#GENERAL,positive
37,1055910,1055910:5,"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",place,RESTAURANT#GENERAL,positive
38,1058221,1058221:2,the food is decent.,food,FOOD#QUALITY,neutral
