id,id_word,review
1,1,I can hear bass sound
2,2,They like grilled bass
3,3,Very clear sound a bathtub and easy to use
4,4,A little fresh air might clear some of the cobwebs.
5,5,"It was clear that he do not understand what i am said but also what i wished to, very poor service. disappointing"
6,6,Very awesome and polite made sure we had everything we needed and even got us an early check-in. 
7,6,They gave us ideas on tourist activities we could partake in for our stay we even got gift bags over all i loved it will visits again
8,7,Excellent service! Got our room early! Very friendly and gave us great advice about the city as hotel! Room is beautiful! Would definitely recommend this hotel and Allison and Alam were very nice and informative
9,8,"To summarise this stay during our visit to New York in September, it was truly overly expensive"
10,8,"the service at reception was awful, we were ignored by the reception staff, the rooms were little more basic than we expected and the price we paid did not even include breakfast the next day. "
11,8,Could not wait to leave the next day!
12,9,First let me say this hotel smelled sooo good when you walk in! 
13,9,"Second the service was AMAZING!! Especially Alam and Allison,they made sure we was in our room before the 4 PM check-in which was Awesome!! And "
14,9,the location of this hotel is right of this hotel is right where u want to be!! 
15,9,Definitely will stay here again! Thanks again Alam and Allison!
16,10,"Alam and Allison were very helpful when we arrived they immediately took care of us, they got us situated with our room gave us some recommendations on where to enjoy our stay and explained all we needed to know to make this trip a success!! Would definitely recommend this hotel!!"
17,11,"We received the best service ever once we walked in! Everyone was very welcoming, they tools care of us, recommend an awesome breakfast place to eat while our room was being serviced! 10:10 would stay here again"
18,12,We came to the hotel totally exhausted after a long drive from Toronto. Met Mr. Alam and Mrs. Allison in the lobby. Mrs. Allison gave us a great room in the 20th story with excellent city view. Mr. Alam helped us with the luggages and show the amenities briefly. Great experience.
19,13,I am Mitch alarm at the lobby and I made Alison she is so pretty and very helpful she give me the very nice room on 20 flor and alarm help me out with the luggage storage show us the room everything and
20,14,The hotel is clean and comfortable. 
21,14,Convenient to subway . 
22,14,The staff is very helpful and courteous. 
23,14,The rooms and bed was very comfortable. 
24,14,Nice coffee and baked goods 
25,15,"My friend Paul and I came here to visit friends We had a good experience here Mohammed and dolly were very friendly , They explained to us of some tourist attractions around the area definitely will come back here again"
26,16,Stayed 7 days on the 16th floor. Fantastic location. 
27,16,Old carpet that is a trip hazard. Filthy bathtub. Peeling paint. Dirty walls. 
28,16,Phone did not work. Electrical wires hanging out of the wall. Generally unclean. Old paint. The lobby has been refurbished but that is it. 
29,16,The breakfast to go was not free. 
30,16,Some staff were wonderful and some were rude.
31,17,"Awesome awesome awesome time in NYC!!!! Me and my crew had good times in the city! When we arrived we were greeted by the most amazing hostess, Allison. It could have really been a bad experience, but Allison change all of that. Simple smile and the way she spoke touch our soul. We appreciate the kind of service because normally folks do not write about the good but I could not let this one pass. Well appreciated!!!"
32,18,Had a lovely night out with my wife. Allison gave us a upgrade to a nicer room. She was very helpful to our needs. She deserve a promotion. We were having trouble with our room and she was very accommodating. Thanks Allison
33,19,Had a wonderful experience at Manhattan Times Square hotel. 
34,19,"Allison was exceptional at the front office, she made sure me and my wife had a wonderful stay after a rough day. "
35,19,"We were literally in the middle of everything bars, restaurants and lots of retail stores."
36,20,Check-in today for one night on the 18th floor and I love the room. 
37,20,Great view and good service. Aerial gave us free breakfast for the one night that we are here which was really nice of her. I plan on coming back very soon
38,21,"Second time staying at this location and i have to say the service is great! Check-in and Ariel at the front desk immediately remembered me. It is not often I check into a hotel and that happens, especially in nyc!"
39,22,We had a very nice stay in the manhattan at Times Square hotel! 
40,22,Hotel is in a great location. 
41,22,Alam helped make our stay very easy and comfortable. 
42,22,I would happily stay in this hotel again if I return to New York City.
43,23,My wife and our two little toddlers are really exhausted from our long haul fight. We arrived at the hotel early than the advertised check-in time We are greeted by a friendly staff named Mohammad. He was very accommodating and helpful in sorting the room for us. Even gave us free vouchers for breakfast! Appreciate his help a lot!
44,24,Great stay at a very convenient location in New York especially if one is visiting NY for the first time. 
45,24,Mr. Mohammad at the front desk was exceptionally helpful and courteous. We were assigned rooms quite promptly on the 22nd floor. 
46,24,"Location of this hotel is just perfect....just two blocks from the hustle and bustle of Times square and Broadway shows,yet quiet and peaceful. There are atleast 4 subway stations at walking distance from the hotel. Taxis are easily available too. Most tourist attractions are at waliking distance ."
47,24,The rooms are clean
48,24,bathrooms well maintained with hair dryers provided. 
49,24,The carpetting on the floor may need a bit more cleaning but rest is just fine.
50,25,Fabulous... thank you to Alam and Mohamed! Such a perfect start to our getaway weekend. Super helpful and friendly with hotel information and what to do while in NYC 
51,25,Great hotel in a great location
52,26,We had a very nice stay in the manhattan at Times Square hotel! Hotel is in a great location. 
53,26,Alam helped make our stay very easy and comfortable. I would happily stay in this hotel again if I return to New York City.
54,27,My wife and our two little toddlers are really exhausted from our long haul fight. We arrived at the hotel early than the advertised check-in time We are greeted by a friendly staff named Mohammad. He was very accommodating and helpful in sorting the room for us. Even gave us free vouchers for breakfast! Appreciate his help a lot!
55,28,I have stayed in the city a lot and was blown away at the customer service I received from Allison. She was accommodating and got us in a little before check-in time and even put us in a great room with a view. 
56,28,Rooms were clean and the hotel quiet. 
57,28,The bellman was awesome too!
58,29,What is so special about having a hotel room on this particular floor is that a single hotel elevator is designated to be used only for its guests and so this elevator travels one stop from the hotel lobby to the 18th floor and then back within just a few minutes thereby eliminating the time one may waste traveling in an often slower hotel elevator. 
59,30,Check-in tonight for a business trip. I usually stay further downtown but everything was sold out. Was greeted by the receiptionist Aerial who helped me with my surroundings and also gave me breakfast for my one night here. No complaints from me!
60,31,Staying at this hotel and I just wanted to acknowledge Aerial for great customer service. The hotel does not have umbrella and she let me use her personal one which was so nice of her. Thanks again Aerial
61,32,Star and Muhammad were so helpful at check-in. This is our first time in New York and we are with a architecture grupo and are excited to see the City and all it has.
62,32,But the traffic is horrible.
63,33,Great location very near to everything. 
64,33,Not here for the rooms just here to see the city so the condition does not matter to me really.
65,33,The bed is comfortable and the AC is working. 
66,33,Reviews had me on the fence about that but Aerial made sure I had a room with the best AC ever!
67,34,A lot of AC trouble in the rooms. Moved to two different rooms before there was a functioning one.  
68,34,Thank you to Aerial for the breakfast as compensation it is truly appreciated.
69,34,Location is well and the price is not bad.
70,35,"Well placed hotel, close to all amenities, "
71,35,"well used and well worn must have been very good 15yrs ago but now very tired, "
72,35,"nice staff helpful,room service very good, "
73,35,"But watch out for the hidden costs facility fees $30 per day what facilities, No bar, No restaurant or eating facilities No pool, plenty in the area but No facilities on site, 2 star only No more!"
74,36,"This hotel was amazing but the service was impeccable ! Alam was an absolute gentleman, he made our stay so comfortable, from when we arrived to when we left he did everything to such a high standard !"
75,37,Alam and mr Mohmameed both the guy are very cooperative and very gentle and they showed me the fire exit the safe water station how make international call and the tv channel and all my questions fulf
76,38,Mr alam bell man and me mahmomeed from front desk   They are very nice and there service is very good . I request the hotel do not leave them hotel location is very good alam showed me how to make call ..
77,39,I really had a great experience!!!!!! The people at front desk are extremely HELPFUL!!!!!!! I was assisted by Starena and Mohammad!!! They are the greatest ever!  Super professional! And i travel a lot! But i can tell for sure they are the best ever !!!!!!!! I would recommend everyone to go to this hotel especially because u will be treated on a high level!
78,40,"Super helpful and friendly. Kindly explained everything that we need too know about the room and hotel, made the start of our experience a good one! Would highly recommend this hotel to anyone visiting New York!"
79,41,First time to New York but it is not the last time. 
80,41,Our hotel was centrally located and comfortable. 
81,41,Only problem was that the breakfast was not included. 
