,review,target,dp,dp_clause
0,"the camera is very easy to use , in fact on a recent trip this past week i was asked to take a picture of a vacationing elderly group . ",use,camera|fact|trip,camera|trip
1,"bottom line , well made camera , easy to use , very flexible and powerful features to include the ability to use external flash and lense / filters choices . ",camera|use|feature,line|line,camera|line
2,i am using kingston 512mb cf which works great and is very fast . ,,,cf|kingston
3,* main dial is not backlit . ,dial,,|dial
4,( well thats only for old-school die-hard optical viewfinder fans ) use lcd instead which is brilliant and you can twist around too . ,,,lcd
5,"a couple of online camera review sites were extremely helpful , as they provided complete exhaustive reviews of nearly every camera made , plus provided a great number of high resolution sample images to compare amongst the models . ",,couple|number|number|sample,couple|number|sample
6,"i am absolutely in awe of this camera , canon put enormous quality into the g3 . ",camera,|awe,quality|awe
7,"do n't walk , run and buy this camera if you have the budget , i guarantee you will not be disappointed . ",,,guarantee
8,i bought my canon g3 about a month ago and i have to say i am very satisfied . ,canon g3,,g3
9,"the lens is visible in the viewfinder when the lens is set to the wide angle , but since i use the lcd most of the time , this is not really much of a bother to me . ",viewfinder,,lens
10,still i am a little suprised that canon did not correct this design flaw before releasing the camera . ,,canon|design|flaw,canon|design
11,"despite this minor disappointment , i highly recommend the canon g3 anyone who is serious about digital photography . ",camera,anyone|canon|photography,|photography
12,i have only had this camera for one full day and i have to say that it is wonderful . ,camera,|day,camera|day
13,"1 ) slr like programming and exposure control gives you latitude to be creative , yet its progam and auto exposure settings provide excellent photos if you do n't want to bother with the settings . ",exposure control,|programming|latitude,progam|programming|latitude
14,"you can move the focus range to almost anywhere in the scene with the push of a button , and it has an on-screen manual focus mode that would be really helpful if shooting a scene that is tough to automatically focus . ",focus,|push,mode|manual|push
15,"1 ) quite bulky ( it 's about the same size as my minolta vectis s-1 aps slr ) and uses a heavy battery , although not very solid as it is contructed mostly of plastic ( unlike canon 's elph line ) ",size,|size,battery|size
16,the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry . ,optical zoom,addition|14x,zoom|addition|zoom|zoom|14x
17,"i have not yet seen any of the usual problems with digital pictures ( purple fringing , etc ) so i am very pleased . ",picture,|fringing|etc,fringing|etc
18,the only two minor issues i have with the camera are the lens cap ( it is not very snug and can come off too easily ) and the lens itself ( it partially obstructs the view through the viewfinder but not views through the lcd ) . ,lens cap,cap|lens,view|cap|lens
19,newbies will find the full auto setting will give them perfect pictures right out of the box . ,auto setting,box|auto,box|setting
20,4 megapixels is enough for anybody and the photo quality is awesome . ,photo quality,|anybody,quality|anybody
21,i recommend unreservedly the powershot g3 to any potential buyer looking for a first-class digital camera at a reasonable price - there is no better camera out there - period ! ,camera,g3|powershot|buyer,camera|buyer
22,"it gives great pictures , the controls are easy to use , the battery lasts forever on one single charge , the software is very user-friendly and it is beautiful in it chrome casing . ",picture|control|battery|software,software|casing,software|charge|casing
23,i began taking pics as soon as i got this camera and am amazed at the quality of photos i have took simply by using the auto mode . ,photo quality|auto mode,,mode
24,i bought a 512 mb card by simpletech and it works great with my canon . ,,|simpletech,card|simpletech
25,"i showed her how to turn it on , where the lens zoom lever is , and she loves it ! ",,,lever
26,"this camera has canon 's great colorimetry , plus what you see in the lcd is what you get . ",canera,colorimetry|canon,colorimetry
27,"although canon 's batteries are proprietary , they last a really long time , recharge fairly quickly in the camera , plus if you want ' more power ' , you can even find a knockoff charger and spare batteries right here on amazon . ",battery,canon|charger,recharge|camera|charger
28,i can hand this to anyone and know they will take some great photos ! ,,,anyone
29,"i love having the option to manually control the f-stop , shutter speed and even focus . ",control,|speed,|f-stop|speed
