,review,aspect
0,i recently purchased the canon powershot g3 and am extremely satisfied with the purchase . ,canon powershot g3[+3]
1,"the camera is very easy to use , in fact on a recent trip this past week i was asked to take a picture of a vacationing elderly group . ",use[+2]
2,"after i took their picture with their camera , they offered to take a picture of us . ",
3,"i just told them , press halfway , wait for the box to turn green and press the rest of the way . ",
4,they fired away and the picture turned out quite nicely . ( as all of my pictures have thusfar ) . ,picture[+2]
5,a few of my work constituants owned the g2 and highly recommended the canon for picture quality . ,picture quality[+1]
6,i 'm easily enlarging pictures to 8 1/2 x 11 with no visable loss in picture quality and not even using the best possible setting as yet ( super fine ) . ,picture quality[+1]
7,"ensure you get a larger flash , 128 or 256 , some are selling with the larger flash , 32mb will do in a pinch but you 'll quickly want a larger flash card as with any of the 4mp cameras . ",
8,"bottom line , well made camera , easy to use , very flexible and powerful features to include the ability to use external flash and lense / filters choices . ","camera[+2], use[+2], feature[+1]"
9,i 'd highly recommend this camera for anyone who is looking for excellent quality pictures and a combination of ease of use and the flexibility to get advanced with many options to adjust if you like . ,"picture quality[+3], use[+1], option[+1]"
10,great job canon ! ,
11,yep . ,
12,"this is my first digital camera , and what a ' toy ' it is ! ",camera[+2]
13,"i am a software engineer and am very keen into technical details of everything i buy , i spend around 3 months before buying the digital camera ; and i must say , g3 worth every single cent i spent on it . ",
14,"just a little overview , powershot g3 is the flagship of canon 's powershot series and its an slr-like camera , its 4 megapixel and ( alsmost ) full manual control gives the pictures a touch of brilliance . ",picture[+2]
15,"whether you are a novice or an expert , its ease of use and functionality goes together . ",use[+1]
16,"+ you can have different kind of lens if you want + flashes , etc. ",
17,"as its 4mp , you might need bigger storage to store high quality images and recording movies ( you can record 3 minutes of video ) . ",
18,i am using kingston 512mb cf which works great and is very fast . ,
19,"a good choice could be cf type ii , microdrives that can store around 1 gb of images . ",
20,some things that i did n't like ( but hey . nothing is perfect ). ,
21,* main dial is not backlit . ,dial[-1]
22,* lens visible in optical viewfinder . ,viewfinder[-2]
23,( well thats only for old-school die-hard optical viewfinder fans ) use lcd instead which is brilliant and you can twist around too . ,
24,i did extensive research comparing different 4 and 5 megapixel cameras . ,
25,"a couple of online camera review sites were extremely helpful , as they provided complete exhaustive reviews of nearly every camera made , plus provided a great number of high resolution sample images to compare amongst the models . ",
26,"following my research , i decided on the g3 . ",
27,"in a word , "" awesome "" is how i would describe this camera . ",camera[+3]
28,"i wo n't go into the details here , as the online sites ( stevesdigicams , dpreviews ) go into great depth in their reviews , but i am very pleased with the features , the speed , the picture quality , the flexibility , the automation , and the functional conveniences this camera offers . ","speed[+2],picture quality[+2],function[+2]"
29,"with the automatic settings , i really have n't taken a bad picture yet . ",auto setting[+2]
30,"and with the panoramic "" stitch "" mode , it guides you through stitching together multiple pictures to build a seamless panoramic image . ",
31,"i am absolutely in awe of this camera , canon put enormous quality into the g3 . ",camera[+3]
32,"do n't walk , run and buy this camera if you have the budget , i guarantee you will not be disappointed . ",
33,i bought my canon g3 about a month ago and i have to say i am very satisfied . ,canon g3[+3]
34,i have taken hundreds of photos with it and i continue to be amazed by their quality . ,photo quality[+2]
35,"the g3 is loaded with many useful features , and unlike many smaller digital cameras , it is easy to hold steady when using slower shutter speeds . ",feature[+2]
36,flaws ? ,
37,"the lens is visible in the viewfinder when the lens is set to the wide angle , but since i use the lcd most of the time , this is not really much of a bother to me . ",viewfinder[-1]
38,still i am a little suprised that canon did not correct this design flaw before releasing the camera . ,
39,"despite this minor disappointment , i highly recommend the canon g3 anyone who is serious about digital photography . ",camera[+2]
40,i have only had this camera for one full day and i have to say that it is wonderful . ,camera[+2]
41,the photo quality is amazing and i know i 'm going to have fun with all the features . ,photo quality[+3]
42,"i 've figured out most of its features on my own already ( because i have used digital cameras before , so i know things like symbols ) . ",
43,"i 'm one of those people that can only concentrate on one screen at a time so i 've been having trouble paying attention to the little display panel on top , but that does n't stop me from loving this camera . ",
44,"the reason i rated it a four is because of that darn diopter adjustment dial. its very small and hard to turn so you can 't get an accurate adjustment ( for those of you who do n't know what a diopter adjustment is , it is to adjust the focus of the viewfinder to your eyesight . ) ",darn diopter adjustment dial[-1]
