,index,sentence
0,3,"i just told them , press halfway , wait for the box to turn green and press the rest of the way . "
1,8,"bottom line , well made camera , easy to use , very flexible and powerful features to include the ability to use external flash and lense / filters choices . "
2,19,"a good choice could be cf type ii , microdrives that can store around 1 gb of images . "
3,24,overall i 'm happy with my toy . 
4,26,"a couple of online camera review sites were extremely helpful , as they provided complete exhaustive reviews of nearly every camera made , plus provided a great number of high resolution sample images to compare amongst the models . "
5,30,"with the automatic settings , i really have n't taken a bad picture yet . "
6,34,i bought my canon g3 about a month ago and i have to say i am very satisfied . 
7,36,"the g3 is loaded with many useful features , and unlike many smaller digital cameras , it is easy to hold steady when using slower shutter speeds . "
8,38,"the lens is visible in the viewfinder when the lens is set to the wide angle , but since i use the lcd most of the time , this is not really much of a bother to me . "
9,41,i have only had this camera for one full day and i have to say that it is wonderful . 
10,45,"the reason i rated it a four is because of that darn diopter adjustment dial. its very small and hard to turn so you can 't get an accurate adjustment ( for those of you who do n't know what a diopter adjustment is , it is to adjust the focus of the viewfinder to your eyesight . ) "
11,57,"1 ) quite bulky ( it 's about the same size as my minolta vectis s-1 aps slr ) and uses a heavy battery , although not very solid as it is contructed mostly of plastic ( unlike canon 's elph line ) "
12,65,"i have not yet seen any of the usual problems with digital pictures ( purple fringing , etc ) so i am very pleased . "
13,76,those used to 35mm cameras will find the g3 very comfortable and friendly to use . 
14,80,i recommend unreservedly the powershot g3 to any potential buyer looking for a first-class digital camera at a reasonable price - there is no better camera out there - period ! 
15,81,"it gives great pictures , the controls are easy to use , the battery lasts forever on one single charge , the software is very user-friendly and it is beautiful in it chrome casing . "
16,87,i bought a 512 mb card by simpletech and it works great with my canon . 
17,89,"i make photographs at work , and so wanted a camera good enough to compare with what i use professionally . "
18,97,"although canon 's batteries are proprietary , they last a really long time , recharge fairly quickly in the camera , plus if you want ' more power ' , you can even find a knockoff charger and spare batteries right here on amazon . "
19,99,"the canon g3 gives tons of control for photo buffs but still has an "" auto "" mode that makes it very easy for the novice to use . "
20,106,"with a quick spin of the dial you can select shutter priority ( for high speed subjects ) , aperture priority ( for focal length ) or full program mode where the camera selects both for ideal photo quality . "
21,110,"you feel like you are holding something of substance , not some cheap plastic toy . "
22,112,i would recomend that you purchase a lexar media cf for the camera as the sandisk card that comes packaged is too small and too slow ! 
23,114,"this is my first digital camera , and i am very pleased with it . "
24,116,"seriously , this thing has everything that a pro or expert amateur could want . "
25,137,"b ) the lens cover is surely loose , i already accidently finger-printed the len a few times , and au lens tigt and cause potential damage . "
26,139,"the zooming lever is shaky , i hope it does not operate mechanically , otherwise you 'll feel uneasy . "
27,148,"maybe it is my lack of experience , but i found shots with this camera very disappointing . "
28,149,it was ( i sold it after a few months ) too expensive for the shots that i got . 
29,158,the grain was terrible . 
30,160,"well flash photos are never great , and there was still a lot of noise . "
31,176,"i figure that is at least three years off , and i am getting impatient . "
32,179,"the two limitations i knew i would have to deal with are the very long lag time before it focus-locks ( even in bright light ) , and the unsatisfactory light quality of the built-in flash . "
33,183,"once i get focus lock , i can then wait until my restless subject ( a pet or a child ) strikes an amusing pose and then fire the shutter with some reasonable probability of getting my subject still in focus . "
34,185,"relative to what i can easily achieve with external flash on my nikon slr , the internal flash on the g3 produces harsh , flat images with ugly hot spots . "
35,187,"i cant use my nikon external flash on a canon camera , but i can use my metz , with the proper metz module and extension cord connected between the g3 and the 60 ct-4 . "
36,195,"unfortunately , the neutral density filters for the metz flash are no longer available , so the first problem cant easily be solved . "
37,198,"the 60 ct-4 flash head can actually be reversed 180 degrees and then tilted , enabling you to bounce the flash off the walls behind you . "
38,207,"without any tweaking at all , if the exposure is accurate , the colors are as realistic as ive ever seen produced by film , and this is a raw image ! "
39,211,but at least youre starting with the most photorealistic images ive ever seen from a camera . 
40,220,"not perfect ( yes , the viewfinder can get obstructed in instances.but the lcd works well enough in those instances ) , not the cheapest 4.0 mp , but the best 4.0 mp . "
41,221,"if you do n't believe me on that , check the consumer reports review as well as the many digital camera review sites out there . "
42,231,"by cocking the shutter to the halfway position and getting the settings ready to shoot , i was able to produce excellent stopaction photos -- contrary to what other reviewers experienced . "
43,233,in the coastal redwood forests i was able to use these additional features along with the macro-focussing option to shoot wonderful close-up photos of the trilliums and other flowers in bloom . 
44,239,"being a great fan of the g2 i set out with g3 with a somewhat negative expectation , difficult as it is to improve drastically on something already as ' perfect ' as the powershot g2 . "
45,258,"9 . in dim lit environs the g2 could easily outperform any other camera , and thankfully g3 maintains this rep . "
46,267,got way too many blurry pictures . 
47,272,her main focus was having a camera that is easy to understand and use . 
48,285,"4mp , 4x optical zoom , takes absolutely beautiful photos with detail that challenges all of the above 5mp cameras , easy to understand and use ( has a great swivel lcd screen ) , a lot of features and add-on options , comes with great software ( not to be overlooked ) , and last but by far not least , received my fiance 's stamp of approval ( two thumbs up ! ) "
49,288,"i have no buyers remorse with this baby , and i never will . "
