,0,aspect,prediction
0,this camera is perfect for an enthusiastic amateur photographer . ,camera!+,camera!perfect
1,"the pictures are razor-sharp , even in macro . ",picture!+|macro!+,
2,it is small enough to fit easily in a coat-pocket or purse . ,size!+,
3,it is light enough to carry around all day without bother . ,weight!+,
4,"operating its many features is easy and often obvious - i 'm no annie-lebovitz , but i was able to figure out most of its abilities just messing around with it at a camera-store . ",feature!+,|annie-lebovitz!able
5,the manual does a fine job filling in any blanks that remain . ,manual!+,job!fine|manual!job
6,"the auto-focus performs well , but i love having the 12 optional scene modes - they are dummy-proof , and correspond to many situations in which i would actually seek to use the camera . ",auto focus!+,
7,"comes with a 16 mb compact flash and one rechargable battery the charging unit , included , is fast and small . ",rechargable battery!+,flash!compact|flash!fast|battery!rechargable|mb!compact|unit!compact
8,"i bought a 256 mb-cf and a second battery , so it 's good to go on a long vacation . ",,|battery!second|mb-cf!second|vacation!long
9,i enthusiastically recommend this camera . ,camera!+,camera!recommend
10,"i got my camera three days back , and although i had some experience with digital cameras prior to purchasing this one , i still rate myself as a beginner . ",,|experience!digital
11,i bought this camera because it fit my budget and the pre-production and production-model reviews were positive . ,,budget!positive|pre-production!positive
12,"it 's easy to use , and yet very feature rich . ",camera!+|use!+|feature!+,
13,"in the auto-mode it functions basically as a point and click , the scene modes are very easy to use and produce good results . ",auto mode!+,scene!easy
14,the manual mode is feature rich and i can 't-wait to get the hang of it . ,manual mode!+,mode!rich|feature!mode
15,"the macro-mode is exceptional , the pictures are very clear and you can take the pictures with the lens unbelievably close the subject . ",macro mode!+,macro-mode!exceptional
16,"the battery-life is very good , i got about 90 minutes with the lcd turned on all the time , the first time around , and i have been using it with the lcd off every now and then , and have yet needed to recharge it . ",battery life!+,battery-life!good|time!first
17,"the camera comes with a lexar 16mb starter card , which stores about 10 images in fine mode at the highest resolution , i intend to buy a bigger card soon . ",,mode!fine|card!16mb|lexar!16mb
18,i love-photography . ,,
19,i had an older camera that was simply a point and shoot camera . ,,
20,"i needed something with more power , so i bought a nikon coolpix 4300 . ",,|coolpix!nikon
21,"i fell in love with this camera , it combines ease of use , with an immense amount of options and power . ",camera!+|use!+,amount!immense|amount!ease
22,"you can use the scene modes , or fine tune the options , i. you can change the iso-level , shutter speed , etc. ",,tune!fine|scene!tune
23,"this camera is ideal for people who want more power , but do n't want to spend 1000s dollars on a camera . ",camera!+,camera!ideal
24,i bought coolpix 4300 two months after i had bought canon-powershot-s400 . ,,
25,reason for two ? ,,
26,it was not easy sharing one with my teen age-kid . ,,
27,the two cameras are very similar in functionality and pricing . ,,
28,i 've had no problem with canon whatsoever . ,,
29,"with nikon , although picture qualities are as good as any other 4 mp cameras , i 've had the following headaches ; ",picture quality!+,picture!good|mp!other|nikon!headaches
30,1 . pictures wo n't transfer to pc directly from the camera using the included transfer cable . ,transfer!-,
31,"i did everything i could , and it took many days of frustration before concluding that the only way to transfer to pc is with the card-reader . ",,|way!only|frustration!many|card-reader!only
32,card-reader is included . ,,
33,"2 . the speed is noticeably slower than canon , especially so with flashes on . ",,speed!slower|canon!speed
34,"3 . with low battery , it twice wiped out the entire pictures in the memory chip . ",,|battery!low
35,i used lexar 256 mb and i still use it which means nothing is wrong with lexar . ,,nothing!wrong|lexar!nothing
36,be very careful when the battery is low and make sure to carry extra batteries . ,,|battery!low
37,"the other reviewers have clearly pointed all the good things about this camera , which i do agree . ",,camera!good
38,"but there are certain issues might be they are to me here - all of them are minor; not major ones though , ",,
39,. this camera keeps on autofocussing in auto mode with a buzzing sound which can 't be stopped . ,auto mode!-,sound!buzzing|t!buzzing
40,would be really good if they have given an option to stop this autofocussing . ,,
41,". if you want to have the date ; time on the image , its only through their software "" nikon view "" which reads the images date ; time from the images meta-data . ",,
42,so if you use your card-reader ; copy images - you got to onceagain open them through their software to put the date ; time . ,,
43,"in that too , there is n't a direct way to add date ; time - you got to say ' print images ' to a different directory in which there is an option to specify the date ; time . ",,|way!direct|directory!way|option!way|time!way
44,. even the slightest of the shakes totally distorts your image ,image!-,image!distorts
45,. images taken indoor were n't so clear . ,indoor image!-,
46,you got to have flash ' on ' to get it eventhough your room is well lit ,,
47,. lens cap is a really annoying ,lens cap!-,cap!annoying|lens!annoying
48,. go ; get a high speed like lexar 12x or higher cf card . ,,|speed!high|12x!high|card!12x|cf!12x
49,"else with simpler viking-cf cards , it takes couple of seconds to write a picture with approximately "" fine **"" picture-quality  "" image-size : 1600 . ",,viking-cf!simpler
50,. the movie clips taken will always have some ' noise ' in it - you can 't avoid that . ,movie!-,
51,but overall this is a good camera with a ' really good ' picture-clarity ; an exceptional close-up-shooting-capability . ,camera!+|picture!+|close-up shooting!+,camera!good|picture-clarity!good|close-up-shooting-capability!exceptional|close-up-shooting-capability!good
52,i would rate this is 4.5 stars picture-quality ; image-size defined above are specific to nikon coolpix . ,,|coolpix!nikon
53,"within a year , there are problems with my menu-dial-knob . ",menu dial knob!-,year!problems
54,it became stucked which makes it almost impossible to switch between modes . ,,
55,"i send my camera to nikon for servicing , took them a whole 6 weeks to diagnose the problem . ",servicing!-,
56,"worse of all , they claim that it 's some kind of internal damage and refuse to cover the cost via warranty ! ",,
57,they would n't repair my camera unless if i pay $ 100 for parts ? and labor ! ,,
58,"it is a good camera in terms of the function and quality , but take your chance with it because nikon absolutely sucks when it comes to customer-service . ",camera!+,camera!good|nikon!sucks|chance!camera
59,"got a "" system-error "" problem 30 days after purchase . ",system error!-,system-error!problem
60,made the camera totally inoperable . ,camera!-,camera!inoperable
61,"also , the lens-cap-design is flawed . ",lens cap!-,
62,you have to manually take the cap off in order to use it . ,,
63,audio on video also lacking . ,audio!-,audio!lacking|video!lacking
64,"otherwise , it takes very good pictures ; shutter-delay is n't so bad either . ",picture!+,shutter-delay!bad
65,"still , had to send it back to nikon for repair . ",,
66,i am an amateur photographer and here is a piece of advise to all the folks who are thinking about making a move the digital world . ,,|world!digital|piece!amateur|move!digital
67,"nikon 4300 , i feel , is the best camera out there for the features and price . ",camera!+,camera!best
68,here were my requirements in a digital camera : ,,|camera!digital
69,"1 . i had initially thought of buying a 2 or 3 megapixel camera but these are good for 4x6 "" or 5x7 "" prints and i wanted some really great 8x10 "" photos once in a while . ",,8x10!great|while!8x10
70,2 . i did not want a very small camera as it seems to get lost in my hands and i was n't comfortable with that . ,,|camera!small
71,i wanted a decent sized camera with a contour for my fingers to hold it steadily . ,,camera!decent|contour!camera
72,"3 . i wanted a camera that had a lot of built-in settings for different types of suroundings while giving me an option to use my photography skills although , i am an amateur with an interest in photography by turning on the manual settings . ",,|lot!built-in|camera!lot
73,"4 . and , of course , i wanted a respected brand and had to stay within my budget because i had bought an expensive camcorder before but had n't used it much . ",,camcorder!expensive|brand!respected|course!brand
74,"depending on all the above requirements , i had narrowed down my search to nikon 4300 and canon-powershot-s400 models . ",,
75,"nikon got the final nod for its settings auto and manual along with movie modes , medium; compact size , price , brand-name , good software that is included and previous reviews . ",,size!compact|price!compact|software!good|nod!nikon|nikon!nod|auto!final|manual!auto
76,i should say i have been very happy with my decision ever since . ,,
77,the pictures are absolutely amazing - the camera captures the minutest of details . ,picture!+,
78,a few things that might make it even better : ,,
79,1 . pictures taken in an indoor setting are a little dull and rarely hazy if you tend to take photographs from a distance . ,indoor picture!-,|setting!indoor
80,2 . it takes a while for the camera to actually capture the photograph from the time you click the button and i have seen people becoming a little impatient waiting for the flash to glow . ,delay!-,
81,3 . the pictures come out hazy if your hands shake even for a moment during the entire process of taking a picture . ,picture!-,
82,"all the above , i think , are problems with all the digital cameras out there and so i have no major complaints . ",,
83,try to buy a tripod and that should solve some of those problems . ,,
84,"whichever camera you buy , add upto about 200 dollars for an additional memory-card i bought a 256 mb-card , usb-card-reader , camera-bag and the warranty . ",,|upto!additional
85,"and finally , get your pictures developed at a kodak-picture-maker machine even though it costs you a little extra - no one can beat kodak-processing in terms of clarity and brightness . ",,
86,hope this review has helped you in making up your mind . ,,review!helped|hope!review
87,i have taken about 150 photographs so far and have absolutely loved the experience . ,,experience!loved
88,i am looking forward to my vegas trip for some great photographs now . ,,trip!great
89,"with our compact 35mm broken , and a vacation in europe at hand , i finally decided to enter the digital age . ",,mm!compact|vacation!compact|age!digital|europe!mm|hand!mm
90,"i first intended to buy the 3100 , but am really happy to invest the extra money for the 4300 . ",,|money!extra
91,"the lense is a lot better , and the 4mb produce fantastic pictures . ",,produce!fantastic
92,"the possibilities with auto , manual , and the very helpful "" scene "" mode , which offers 11 optimized situational settings like portrait , landscape , beach / snow , sunset-etc. , are endless . ",auto mode!+|manual mode!+|scene mode!+,scene!helpful|auto!helpful|mode!helpful|manual!auto
93,the movie-mode is also working great . ,movie mode!+,
94,"the 4300 comes with excellent easy to install software i use it on xp and win98 without problem , battery-charger , usb and video-cable . ",software!+,
95,"a 64mb flash-card-camera comes with a 16mb holds 52 pictures on "" normal "" resolution . ",,|resolution!normal
96,"i experimented with online print ordering with the two major us brick and mortar retailers , and they both delivered great results . ",print!+,|print!online
97,"even at the "" normal "" setting , a 8x10-print ! shows not a single sign of visible rendering or pixels - you could never tell that the picture has been taken by a "" digital "" . ",print!+,|setting!normal
98,"the battery-life is ok , but can be somewhat short when working a lot with the monitor on . ",battery life!+,|battery-life!ok
99,"i therefore bought a second battery as a backup , and due to the lightingfast charging with the included charger , which by the way works on 110v as well as 220v in europe , we ran never out of "" juice "" . ",,|battery!second|backup!battery|lightingfast!battery
100,"i highly recommend the accessory kit , which provides you with everything else you need : ",,kit!recommend
101,"a nice camera-bag , which holds camera plus all the cables and the charger . ",,camera-bag!nice
102,"furher it contains a card-reader , a flash-card-folder for up to 8 cards , a lense-cleaning-rag , and an ac-adapter , which is very helpful when working in an "" outlet-environment "" . ",,
103,"over all a fantastic very compact camera , which made us experience photography on a totally new level ! ",camera!+,camera!fantastic|level!new
104,"after reading all the glowing review on this camera , i went to my local camera-shop to try one . ",,review!glowing|camera!glowing
105,i currently own an olympus-d-550 which takes wonderful outdoor pictures . ,,
106,"however , indoor pictures of subjects more than a few feet away can be blurry or grainy . ",,
107,"anyway , in the store , i tried coolpix 4300 along with two other 4mp models minolta-dimage-s414 , and panasonic lumix . ",,|minolta-dimage-s414!other
108,"focusing on a display-rack about 20 feet away in a brightly lit room during day-time , pictures produced by this camera were blurry and in a shade of orange . ",picture!-,
109,pictures produced by the minolta were orange but not blurry . ,,
110,pictures produced by the panasonic were excellent . ,,
111,"the store-clerk concluded that the blurriness may be caused by shaking the camera slightly when i press the button , which is understandable since this camera is lighter than the other two models . ",,camera!lighter
112,"anyway , i ended up purchasing the lumix . ",,
113,i 'm sure that this camera has all the wonderful features that others talk about . ,,
114,"however , as an average person with unsteady hands , i doubt it 'll perform well in lower light settings . ",,person!unsteady
115,i purchased the nikon 4300 after several weeks of searching . ,,
116,"the value , name , and resolution signed the lease . ",,
117,after nearly 800 pictures i have found that this nikon takes incredible pictures . ,picture!+,
118,"the digital zoom takes as good of pictures , as the optical zoom does ! ",digital zoom!+,|zoom!digital
119,"the inside pics , can be a bit challenging , but when you can instantly delete pics you dont like , that are not focused perfectly , or need lighting adjustments , make this camera very simple and effective . ",picture!-,|camera!simple
120,"i love all of the features , and presets as well . ",feature!+,
121,"sunset-feature takes incredible pics in the morning , and the evening ! ",sunset feature!+,
122,the software you get with this camera is perfect . ,software!+,software!perfect
123,"touchups , redeye , and so on are very easy to alter , and correct . ",touchup!+|redeye!+,
124,i definately recommend a large memory-card . ,,memory-card!recommend
