,sentence
0,"ensure you get a larger flash , 128 or 256 , some are selling with the larger flash , 32mb will do in a pinch but you 'll quickly want a larger flash card as with any of the 4mp cameras . "
1,"i am a software engineer and am very keen into technical details of everything i buy , i spend around 3 months before buying the digital camera ; and i must say , g3 worth every single cent i spent on it . "
2,i am using kingston 512mb cf which works great and is very fast . 
3,( well thats only for old-school die-hard optical viewfinder fans ) use lcd instead which is brilliant and you can twist around too . 
4,"and with the panoramic "" stitch "" mode , it guides you through stitching together multiple pictures to build a seamless panoramic image . "
5,still i am a little suprised that canon did not correct this design flaw before releasing the camera . 
6,i have only had this camera for one full day and i have to say that it is wonderful . 
7,"4 ) the great thing about digital , in general , is that you can generally see the results of your exposure settings on the lcd screen before you take the picture , not two weeks later when you get the film developed . "
8,"1 ) quite bulky ( it 's about the same size as my minolta vectis s-1 aps slr ) and uses a heavy battery , although not very solid as it is contructed mostly of plastic ( unlike canon 's elph line ) "
9,2 ) not very ergonomical - you 'll find even for a point-and-shoot lens ) 
10,4 ) the viewfinder is borderuer lcd scoying . 
11,newbies will find the full auto setting will give them perfect pictures right out of the box . 
12,i began taking pics as soon as i got this camera and am amazed at the quality of photos i have took simply by using the auto mode . 
13,"i make photographs at work , and so wanted a camera good enough to compare with what i use professionally . "
14,and you get about 120 images on a 256mb card at highest quality . 
15,"but if you 've used a slr 35mm camera , the controls are very intuitive ! "
16,"with a quick spin of the dial you can select shutter priority ( for high speed subjects ) , aperture priority ( for focal length ) or full program mode where the camera selects both for ideal photo quality . "
17,the manual mode is easy to use with fast access for the selection of shutter speed and aperture without having to fumble through menu options . 
18,it does n't do you any good if a camera has all the features but you can 't access them quickly when you need them ! 
19,this camera also has a great feel and weight to it . 
20,"you feel like you are holding something of substance , not some cheap plastic toy . "
21,"the more i work with it , the more i love it ! "
22,i would recomend that you purchase a lexar media cf for the camera as the sandisk card that comes packaged is too small and too slow ! 
23,i did n't think i would find this quality and ease of use for under $ 1500 - i 'm thrilled with my purchase ! 
24,"this is my first digital camera , and i am very pleased with it . "
