,sentence
0,"ensure you get a larger flash , 128 or 256 , some are selling with the larger flash , 32mb will do in a pinch but you 'll quickly want a larger flash card as with any of the 4mp cameras . "
1,( well thats only for old-school die-hard optical viewfinder fans ) use lcd instead which is brilliant and you can twist around too . 
2,overall i 'm happy with my toy . 
3,"and with the panoramic "" stitch "" mode , it guides you through stitching together multiple pictures to build a seamless panoramic image . "
4,still i am a little suprised that canon did not correct this design flaw before releasing the camera . 
5,"4 ) the great thing about digital , in general , is that you can generally see the results of your exposure settings on the lcd screen before you take the picture , not two weeks later when you get the film developed . "
6,2 ) not very ergonomical - you 'll find even for a point-and-shoot lens ) 
7,4 ) the viewfinder is borderuer lcd scoying . 
8,"i make photographs at work , and so wanted a camera good enough to compare with what i use professionally . "
9,and you get about 120 images on a 256mb card at highest quality . 
