,id,review,label,pred_single,pred_multiple,terms
0,0,"i am not necessarily fanatical about this place, but it was a fun time for low prices.",VALUE,VALUE,VALUE|VALUE|VALUE|VALUE,price|rice|time|place
1,2,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|VALUE|VALUE|VALUE|VALUE|FOOD,price|rice|view|high|going|food
2,3,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|VALUE|VALUE|VALUE|VALUE|FOOD,price|rice|view|high|going|food
3,4,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|VALUE|VALUE|VALUE|VALUE|FOOD,price|rice|view|high|going|food
4,5,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|VALUE|VALUE|VALUE|VALUE|FOOD,price|rice|view|high|going|food
5,6,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|VALUE|VALUE|VALUE|VALUE|FOOD,price|rice|view|high|going|food
6,7,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|VALUE|VALUE|VALUE|VALUE|FOOD,price|rice|view|high|going|food
7,8,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|VALUE|VALUE|VALUE|VALUE|FOOD,price|rice|view|high|going|food
8,9,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|VALUE|VALUE|VALUE|VALUE|FOOD,price|rice|view|high|going|food
9,10,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|VALUE|VALUE|VALUE|VALUE|FOOD,price|rice|view|high|going|food
10,11,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|VALUE|VALUE|VALUE|VALUE|FOOD,price|rice|view|high|going|food
11,12,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|VALUE|VALUE|VALUE|VALUE|FOOD,price|rice|view|high|going|food
12,13,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|VALUE|VALUE|VALUE|VALUE|FOOD,price|rice|view|high|going|food
13,14,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|VALUE|VALUE|VALUE|VALUE|FOOD,price|rice|view|high|going|food
14,15,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|VALUE|VALUE|VALUE|VALUE|FOOD,price|rice|view|high|going|food
15,16,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|VALUE|VALUE|VALUE|VALUE|FOOD,price|rice|view|high|going|food
16,17,the high prices you're going to pay is for the view not for the food.,VALUE,VALUE,VALUE|VALUE|VALUE|VALUE|VALUE|FOOD,price|rice|view|high|going|food
17,18,bad food and high prices,FOOD|VALUE,VALUE,VALUE|VALUE|VALUE|FOOD,price|rice|high|food
18,19,bad food and high prices,FOOD|VALUE,VALUE,VALUE|VALUE|VALUE|FOOD,price|rice|high|food
19,20,bad food and high prices,FOOD|VALUE,VALUE,VALUE|VALUE|VALUE|FOOD,price|rice|high|food
20,21,bad food and high prices,FOOD|VALUE,VALUE,VALUE|VALUE|VALUE|FOOD,price|rice|high|food
21,22,bad food and high prices,FOOD|VALUE,VALUE,VALUE|VALUE|VALUE|FOOD,price|rice|high|food
22,23,bad food and high prices,FOOD|VALUE,VALUE,VALUE|VALUE|VALUE|FOOD,price|rice|high|food
23,24,bad food and high prices,FOOD|VALUE,VALUE,VALUE|VALUE|VALUE|FOOD,price|rice|high|food
24,25,bad food and high prices,FOOD|VALUE,VALUE,VALUE|VALUE|VALUE|FOOD,price|rice|high|food
25,26,bad food and high prices,FOOD|VALUE,VALUE,VALUE|VALUE|VALUE|FOOD,price|rice|high|food
26,27,bad food and high prices,FOOD|VALUE,VALUE,VALUE|VALUE|VALUE|FOOD,price|rice|high|food
27,28,bad food and high prices,FOOD|VALUE,VALUE,VALUE|VALUE|VALUE|FOOD,price|rice|high|food
28,29,bad food and high prices,FOOD|VALUE,VALUE,VALUE|VALUE|VALUE|FOOD,price|rice|high|food
29,30,bad food and high prices,FOOD|VALUE,VALUE,VALUE|VALUE|VALUE|FOOD,price|rice|high|food
30,31,bad food and high prices,FOOD|VALUE,VALUE,VALUE|VALUE|VALUE|FOOD,price|rice|high|food
31,32,bad food and high prices,FOOD|VALUE,VALUE,VALUE|VALUE|VALUE|FOOD,price|rice|high|food
32,33,prices are fair across the board for both food and bev.,VALUE|VALUE,VALUE,VALUE|VALUE|FOOD,price|rice|food
33,34,"price is high but the food is good, so i would come back again.",FOOD|VALUE,VALUE,VALUE|VALUE|VALUE|VALUE|AMBIENCE|FOOD,price|rice|high|would|good|food
