,name,type,chunk,P,R,F
0,Apex AD2600 Progressive-scan DVD player,0,1,0.85785536159601,0.5545454545454546,0.6736328469847996
1,Canon G3,0,1,0.8549019607843137,0.6426512968299711,0.733735312540091
2,Creative Labs Nomad Jukebox Zen Xtra 40GB,0,1,0.921727395411606,0.6221024258760108,0.7428394513116618
3,Nikon coolpix 4300,0,1,0.8465909090909091,0.625,0.719111969111969
4,Nokia 6610,0,1,0.8251748251748252,0.708411214953271,0.762347967645981
5,Apex AD2600 Progressive-scan DVD player,1,1,0.8653366583541147,0.5511049723756906,0.6733653189114528
6,Canon G3,1,1,0.8784313725490196,0.6232057416267942,0.7291288552069699
7,Creative Labs Nomad Jukebox Zen Xtra 40GB,1,1,0.9298245614035088,0.5985758789497108,0.7283046241239093
8,Nikon coolpix 4300,1,1,0.8579545454545454,0.6053811659192825,0.7098706318666969
9,Nokia 6610,1,1,0.8601398601398601,0.7066246056782335,0.7758613406924518
