,label,prediction
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,2
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,2,1
16,1,1
17,2,1
18,2,1
19,1,1
20,2,1
21,2,2
22,2,1
23,1,1
24,2,2
25,2,1
26,2,1
27,2,2
28,2,1
29,2,1
30,2,2
31,1,1
32,1,1
33,1,2
34,1,1
35,1,1
36,1,1
37,2,1
38,2,1
39,2,1
40,2,2
41,2,1
42,1,1
43,2,2
44,2,2
45,2,2
46,1,2
47,1,2
48,2,1
49,2,1
50,2,1
51,1,1
52,1,1
53,2,2
54,2,2
55,2,1
56,2,1
57,2,1
58,1,1
59,2,2
60,2,2
61,2,1
62,2,1
63,2,1
64,2,1
65,2,1
66,2,1
67,2,1
68,2,1
69,2,2
70,2,2
71,2,1
72,1,1
73,2,2
74,2,2
75,2,2
76,1,1
77,1,1
78,2,1
79,2,2
80,2,2
81,2,1
82,2,2
83,2,1
84,2,1
85,2,2
86,2,1
87,2,1
88,2,2
89,1,1
90,2,1
91,2,2
92,2,2
93,2,1
94,2,2
95,2,2
96,2,1
97,2,1
98,2,1
99,2,1
100,1,1
101,2,2
102,2,1
103,1,1
104,1,2
105,1,2
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,2,1
112,2,1
113,2,2
114,1,1
115,1,1
116,1,1
117,2,1
118,2,1
119,1,1
120,1,1
121,1,1
122,1,2
123,1,2
124,2,1
125,2,1
126,2,1
127,2,1
128,2,1
129,1,1
130,1,2
131,2,2
132,1,1
133,1,1
134,1,1
135,1,1
136,1,2
137,2,1
138,1,1
139,2,2
140,2,1
141,2,1
142,2,1
143,1,1
144,2,1
145,2,1
146,2,1
147,1,1
148,2,2
149,2,1
150,2,1
151,2,1
152,2,2
153,1,1
154,1,1
155,1,2
156,1,1
157,2,2
158,2,1
159,2,2
160,2,2
161,2,2
162,1,1
163,1,1
164,1,1
165,2,2
166,1,1
167,1,1
168,1,1
169,2,1
170,2,1
171,2,1
172,2,1
173,2,2
174,2,2
175,2,2
176,2,1
177,2,1
178,2,1
179,2,1
180,2,2
181,2,1
182,2,1
183,2,1
184,2,2
185,2,1
186,2,1
187,2,1
188,2,2
189,2,1
190,1,1
191,1,1
192,1,1
193,1,1
194,2,2
195,1,1
196,1,1
197,2,2
198,2,2
199,2,2
200,1,1
201,2,2
202,1,1
203,1,1
204,1,1
205,1,2
206,1,1
207,1,1
208,2,1
209,2,2
210,2,1
211,1,1
212,1,2
213,1,1
214,1,1
215,2,1
216,1,1
217,1,1
218,1,1
219,1,1
220,2,2
221,2,1
222,1,2
223,2,1
224,2,1
225,2,1
226,2,1
227,2,1
228,2,1
229,1,1
230,2,1
231,2,2
232,1,1
233,1,1
234,1,1
235,2,2
236,2,2
237,2,1
238,2,1
239,2,1
240,2,1
241,1,1
242,2,1
243,1,1
244,2,1
245,2,1
246,2,1
247,2,2
248,2,1
249,2,2
250,2,1
251,2,1
252,1,1
253,1,1
254,2,1
255,1,1
256,1,2
257,1,1
258,1,1
259,1,2
260,2,2
261,2,1
262,2,1
263,2,2
264,1,2
265,1,1
266,1,2
267,1,1
268,2,1
269,2,2
270,2,1
271,2,1
272,2,2
273,1,2
274,2,1
275,1,1
276,1,1
277,1,1
278,2,1
279,1,1
280,2,1
281,2,1
282,2,1
283,2,1
284,2,1
285,2,2
286,2,1
287,1,1
288,2,1
289,2,2
290,2,1
291,2,1
292,2,1
293,1,2
294,2,1
295,2,2
296,1,1
297,1,1
298,2,1
299,1,1
300,2,1
301,2,1
302,2,2
303,2,2
304,2,1
305,1,1
306,1,1
307,1,1
308,2,2
309,2,1
310,1,1
311,1,1
312,1,2
313,1,1
314,2,1
315,1,1
316,1,1
317,2,2
318,2,2
319,2,1
320,2,2
321,2,1
322,1,1
323,2,2
324,1,2
325,1,1
326,2,2
327,1,2
328,1,2
329,1,1
330,1,1
331,1,1
332,1,1
333,1,1
334,1,1
335,1,1
336,1,1
337,1,1
338,1,1
339,1,1
340,1,2
341,1,1
342,1,1
343,1,1
