,tweet,label,polarity
0,This computer is absolutely AMAZING!!!,GENERAL,positive
1,10 plus hours of battery...,OPERATION_PERFORMANCE,positive
2,super fast processor and really nice graphics card..,"OPERATION_PERFORMANCE,GENERAL","positive,positive"
3,and plenty of storage with 250 gb(though I will upgrade this and the ram..),DESIGN_FEATURES,positive
4,This computer is really fast and I'm shocked as to how easy it is to get used to...,"OPERATION_PERFORMANCE,OTHERS","positive,positive"
5,I've only had mine a day but I'm already used to it...,OTHERS,positive
6,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,"OTHERS,OPERATION_PERFORMANCE","positive,positive"
7,the laptop was really good and it goes really fast just the way i thought it would of run.,"GENERAL,OPERATION_PERFORMANCE","positive,positive"
8,i would really recommend to any person out there to get this laptop cause its really worth it.,GENERAL,positive
9,and its really cheap and you wont regret buying it.,"OTHERS,GENERAL","positive,positive"
10,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;","OTHERS,QUALITY,OTHERS","positive,positive,positive"
11,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.","DESIGN_FEATURES,OTHERS,OTHERS","positive,positive,positive"
12,I highly recommend this computer for students looking for a solid machine to get them through college.,"OTHERS,QUALITY","positive,positive"
13,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",DESIGN_FEATURES,positive
14,Oh my goodness-I am not a happy camper.,GENERAL,negative
15,My HP is very heavy.,DESIGN_FEATURES,negative
16,Not easy to carry.,OTHERS,negative
17,The battery has never worked well.,"QUALITY,OPERATION_PERFORMANCE","negative,negative"
18,The battery gets so HOT it is scary.,QUALITY,negative
19,"Yet, HP won't do anything about the problem.",QUALITY,negative
20,I returned the computer to HP and they kept it for 3 months.,QUALITY,negative
21,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,QUALITY,negative
22,"So, you can imagine how unhappy I am with this item.",GENERAL,negative
23,Currently if I use the laptop I can't sit it on my lap because it will burn my legs.,QUALITY,negative
24,"Well, they don't care a bunch.",QUALITY,negative
25,"But, at the same time they (the company) would not and could not do anything about my problem.",QUALITY,negative
26,I would  say if you want to buy one of these machines be careful.,GENERAL,negative
27,"And, if you are going to deal with HP be careful.",GENERAL,negative
28,"In my house, HP is a nasty word.",GENERAL,negative
29,"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.",GENERAL,positive
30,The netbook is easier for me to take to bed and carry around with me.,OTHERS,positive
31,"The screen takes some getting use to, because it is smaller than the laptop.","OTHERS,DESIGN_FEATURES","neutral,neutral"
32,I have not have any problems.,GENERAL,positive
33,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.",GENERAL,positive
34,He gave me this PC about 3 years ago and up to this point im still sitting here using it.,QUALITY,positive
35,Its still going.,QUALITY,positive
36,It is in the best condition and has a really high quality.,QUALITY,positive
37,This is something i would deffinately reccomend to someone.,GENERAL,positive
38,You will not regret buying such a great thing like this!,GENERAL,positive
39,It can't get any better.,GENERAL,positive
40,"Waited on getting this computer, but it has been a great change.",GENERAL,positive
41,Ease of use is just one of the benefits I love about my Mac.,OTHERS,positive
42,This laptop meets every expectation and Windows 7 is great!,"GENERAL,GENERAL","positive,positive"
43,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.","OPERATION_PERFORMANCE,OTHERS,OTHERS","positive,positive,positive"
44,It's even easy to hook up to other wireless networks.,OTHERS,positive
45,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,OPERATION_PERFORMANCE,neutral
46,I don't use my laptop in a way though that needs a long battery life so it's perfect for me.,OPERATION_PERFORMANCE,positive
47,"Most everything is fine with this machine: speed, capacity, build.","GENERAL,OPERATION_PERFORMANCE,DESIGN_FEATURES,QUALITY","positive,positive,positive,positive"
48,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",QUALITY,negative
49,I bought it for really cheap also and it's AMAZING.,"OTHERS,GENERAL","positive,positive"
50,Recommended to people as their first laptop.,OTHERS,positive
51,"Plain and simple, it(laptop) runs great and loads fast.",OPERATION_PERFORMANCE,positive
52,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.","OTHERS,OTHERS","positive,positive"
53,I'm already hooked on the sleek look and dependability that this laptop has shown.,"DESIGN_FEATURES,QUALITY","positive,positive"
54,"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",OTHERS,neutral
55,The unibody design is edgy and durable.,"DESIGN_FEATURES,QUALITY","positive,positive"
56,The LED backlit display makes my pictures pop so much more.,DESIGN_FEATURES,positive
57,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,"DESIGN_FEATURES,OTHERS","positive,positive"
58,A key contributor that led me to Mac is the art aspect.,DESIGN_FEATURES,positive
59,They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,OTHERS,positive
60,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,"GENERAL,OPERATION_PERFORMANCE","positive,positive"
61,It's more expensive but well worth it in the long run.,"OTHERS,GENERAL","negative,positive"
62,"Great product, very easy to use and great graphics.","GENERAL,OTHERS,GENERAL","positive,positive,positive"
63,"One drawback, I wish the keys were backlit.",DESIGN_FEATURES,negative
64,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.","GENERAL,OTHERS","positive,neutral"
65,It had most of the features and all of the power that I wanted to replace my desktop machine.,"DESIGN_FEATURES,OPERATION_PERFORMANCE","positive,positive"
66,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,"DESIGN_FEATURES,OTHERS","neutral,positive"
67,I'm very happy with this machine!,GENERAL,positive
68,"I love the size, keyboard, the functions.","DESIGN_FEATURES,GENERAL,OPERATION_PERFORMANCE","positive,positive,positive"
69,I don't really have a complaint.,GENERAL,positive
70,"It is easy to use, good quality and good price.","OTHERS,QUALITY,OTHERS","positive,positive,positive"
71,Perfect trifecta!,GENERAL,positive
72,I would recommend this product.,GENERAL,positive
